74.2664 -55.6733 | 1.54444 4.08388 | -10660.4 1740.9
74.6567 -55.3663 | -4.31056 -2.68802 | -2391.82 -6643.27
75.0576 -55.0781 | -0.565195 -1.64116 | 14913.9 12987.7
75.4777 -54.7959 | 1.96563 -1.66716 | -997.265 -10296
75.9075 -54.5299 | -3.95126 -3.46304 | -407.409 22623.5
76.339 -54.2512 | -1.39678 -8.0895 | 18938.8 -12862
76.7944 -54.0024 | 4.66558 0.0117832 | -21064.3 -5434.01
77.2407 -53.7687 | -0.631396 1.22679 | -15151 -2000.82
77.6772 -53.543 | -2.14141 3.71791 | 6543.95 -11570.8
78.12 -53.3331 | -1.97499 7.45494 | -2600.21 8438.88
78.553 -53.1019 | 0.734501 0.44831 | 7864.04 4196.17


-34.5178 31.7713 | -0.416865 -3.61551 | -2.6924 4890.86
-34.0184 31.7918 | -1.0668 -4.95444 | -1763.34 -9815.4
-33.5204 31.7553 | -1.70214 -1.6215 | 5556.48 2350.2
-33.0236 31.6824 | -1.47792 -1.59779 | -7467.65 5563.45
-32.536 31.5837 | -2.12277 -2.4805 | 4374.71 379.541
-32.054 31.4513 | -1.27395 -1.55601 | 3889.65 -6420.67
-31.5828 31.2745 | 0.0606841 0.616058 | -7223.11 1122.14
-31.1301 31.0645 | 0.171336 -0.393245 | 684.624 3764.24
-30.6888 30.8343 | -0.164177 -1.72755 | 2645.2 310.182
-30.258 30.5844 | 0.0705381 -1.33328 | -7915.95 1844.9
-29.8455 30.3137 | 0.694311 -2.72365 | 5928.11 2312.71
-29.4427 30.0244 | 2.21319 -1.4928 | 7879.29 -5077.62
-29.0554 29.7045 | 2.17495 -1.1463 | -5058.78 -9280.41
-28.6996 29.3462 | 0.124832 -0.885837 | -3492.22 87.6377
-28.364 28.9704 | 1.49018 2.29743 | 5516.27 9271.28
-28.0264 28.5999 | 0.287662 2.17703 | -6041.24 511.059
-27.6943 28.2283 | -2.09127 2.32267 | -1763.36 -7310.87
-27.3581 27.8548 | -0.852189 1.52693 | 18665.9 -2329.51
-26.9907 27.497 | 0.760957 1.53007 | -2593.01 -657.192
-26.6108 27.1539 | 1.15422 1.63463 | -19623.4 1214.5
-26.2288 26.8291 | -0.69106 -0.831472 | 14870.5 10834
-25.8094 26.5511 | -1.39635 3.50008 | -2204.35 -6164.39
