77.2256 -56.495 | 4.31992 -9.05154 | -13466.2 22618.3
77.6524 -56.2335 | -4.71675 0.743245 | -12031.4 -15586.7
78.0705 -55.9798 | -0.950518 6.35187 | 5681.47 14249.9
78.4908 -55.7177 | 1.66478 4.21843 | 6131.86 -14217.8
78.9221 -55.476 | 5.6732 -3.60911 | -13455.6 3412.7
79.3452 -55.2272 | 2.14786 0.550966 | 28109.8 19516.9
79.7827 -54.9648 | -1.54027 1.5013 | -18863.4 -27137.4
80.211 -54.7212 | 6.46699 -1.36741 | -11585.1 8101.23
80.6219 -54.456 | 4.48081 4.91905 | 28479.5 16382.8
81.0415 -54.17 | 0.464176 0.0666718 | -20508.5 -21550.7
81.4446 -53.889 | -0.932815 -0.111988 | 8473.83 9897.81


-3.37739 16.6073 | -2.33851 7.53488 | -2832.73 -3214.98
-2.90926 16.7709 | -0.522657 1.60387 | -4710.65 7566.07
-2.43379 16.9067 | -2.8009 0.885416 | 410.076 -4527.07
-1.94539 16.9906 | -3.2785 -0.867904 | 18754.5 -9186.36
-1.43841 17.0193 | -1.23526 -0.32736 | -1766.82 13177.5
-0.930877 17.0323 | 0.190402 -2.18191 | -14165 -2315.12
-0.432058 17.0177 | -0.130603 -4.50583 | 8773.92 -6577.88
0.0698404 16.9725 | 0.81493 0.623364 | 2526.6 10820.7
0.572231 16.918 | 2.29417 2.95208 | -3363.24 -4709.89
1.06806 16.8327 | 1.14785 1.84368 | -5323.86 -5807.62
1.55392 16.7146 | 0.542937 2.63595 | -368.153 5088.17
2.03663 16.5871 | 0.527952 0.388764 | 7228.28 -1119.91
2.52265 16.4539 | 1.48161 1.80401 | -1585.62 430.463
3.00778 16.3184 | 1.57217 3.19182 | 1635.68 2517.74
3.49331 16.1824 | 0.77728 0.525395 | 1093.76 44.3101
3.97587 16.0376 | 0.477837 -2.18265 | -8757.26 -309.614
4.44656 15.8751 | -1.89499 -3.30778 | -1594.87 -5910.34
4.90972 15.694 | -2.20997 -0.479959 | -703.347 3289.18
5.37371 15.5181 | 0.09375 2.09657 | -13.0796 612.776
5.84451 15.3598 | -1.12949 1.15725 | 7612.63 380.572
6.32887 15.228 | -3.23084 1.73619 | 2518.44 3454.64
6.82246 15.1237 | -3.06403 -1.26488 | 2823.3 -7716.74
7.3213 15.032 | -0.425666 -0.699492 | -3591.16 4225.38
7.82096 14.9662 | -0.387105 1.56166 | -6261.35 352.049
8.31791 14.9251 | -2.23713 -1.75479 | -3203.78 -2473.9
8.81262 14.9077 | -1.78988 0.777711 | -4621.99 -1050.31
9.30319 14.9227 | -1.40437 3.55988 | -2780.1 1532.58
9.78788 14.9807 | -2.23677 1.02118 | -1146.99 1143.02
10.265 15.0807 | -3.66272 0.574842 | 875.062 5346.87
10.7369 15.2124 | -4.1947 1.97811 | 9564.5 -7655.39
11.2149 15.344 | -4.26802 -3.68869 | 3921.43 5708.75
11.6973 15.4808 | -5.13866 -2.6148 | 8534.07 2121.47
12.1883 15.6108 | -4.57276 -0.583831 | 3049.21 -10602.9
12.6846 15.7197 | -1.99026 0.415538 | -12101.5 -1608.38
13.1711 15.8325 | -2.31179 3.58628 | -9652.73 6399.2
13.6441 15.9722 | -1.18049 0.424297 | 5803.98 -3621.7
14.1144 16.1289 | -1.68208 -0.960005 | 6021.86 1274.05
14.5804 16.3101 | -2.25134 -0.565219 | 395.107 -1315.12
15.032 16.5227 | -1.18754 0.383379 | -9011.22 3315.95
15.4557 16.7777 | -2.4165 3.51006 | -2141.81 3576.96
15.8591 17.0635 | -1.90971 2.97452 | 4999.28 -8221.79
16.2594 17.3529 | -2.24317 0.845779 | -1857.88 1573.58
16.6525 17.6506 | -1.25704 0.547257 | -4489.08 87.7357
17.0396 17.9529 | 1.01089 1.40167 | 5284.2 646.083
17.4342 18.2509 | 0.121465 -0.67881 | 268.412 4371.37
17.8377 18.5411 | -1.77495 0.619338 | 4775.18 -3296.26
18.2578 18.8087 | -2.66894 1.61953 | -7323.52 -241.165
18.6855 19.0553 | -3.11995 -3.70278 | -4653.92 3269.23
19.1249 19.2758 | -3.28223 1.09072 | 7751.97 -6292.7
19.5885 19.4482 | -1.37437 2.08436 | 869.011 4362.64
20.0665 19.5837 | 1.49433 -1.26944 | -826.53 -2054.99
20.5541 19.6813 | 0.294118 -0.912194 | 6185.98 1738.98
21.0517 19.7501 | -3.67962 0.43441 | 3652.14 2637.4
21.5564 19.7964 | -2.76331 4.15132 | 7729.63 2578.25
22.0687 19.8178 | -0.828382 5.02559 | -1711.45 -1732.99
22.5807 19.8021 | -1.20794 -1.08003 | -1875.28 -6487.95
23.088 19.7419 | 2.07065 1.35065 | -665.53 206.582
23.589 19.6525 | 1.90693 3.09423 | -10930.4 5341.28
24.0787 19.5482 | 0.633953 -2.41701 | 1118.09 3069.42
24.5642 19.4277 | 0.905437 -0.155739 | 4169.97 -8320.62
25.0454 19.2779 | -0.427996 0.36629 | -2727.95 -1394.56
25.5207 19.1145 | -0.00267911 -1.24138 | -1815.24 12032.5
25.9949 18.9606 | -1.6617 -1.40394 | -2337.65 -4997.76
26.4653 18.7959 | -2.33446 -1.80981 | 8715.78 -2384.28
26.9374 18.6211 | -1.22105 0.676403 | -8603.1 -1508.35
27.4009 18.4392 | -2.06668 3.34535 | -8207.29 6234.55
27.86 18.2667 | -0.938174 2.84615 | 2045.34 3070.21
28.3227 18.1058 | -0.683364 2.89816 | -790.533 -5670.79
28.7868 17.9462 | -1.66512 3.59611 | 1845.28 4034.25
29.2561 17.7987 | -1.2499 3.92375 | 5217.63 -4854.68
29.7317 17.6555 | -2.91896 0.372425 | 457.914 2379.33
30.2116 17.5221 | -2.34468 -2.02697 | 5642.65 -6262.57
30.6976 17.3923 | -0.84058 1.19425 | -1056.48 -864.028
31.1878 17.2794 | -2.45028 0.782275 | -2050.37 3947.04
31.6825 17.1999 | -0.245226 -0.111762 | -1160.03 -2023.5
32.1808 17.1563 | 1.15251 3.50242 | 915.41 5545.3
32.6823 17.1591 | 1.74519 2.83252 | 8203.26 277.135
33.1883 17.1967 | 1.61847 2.37358 | -239.749 -7122.22
33.6922 17.2575 | 0.130844 1.27379 | -1964.57 4473.41
34.1889 17.3587 | 2.71415 -3.63299 | 1093.95 7141.75
34.6768 17.5006 | 1.85858 -1.71352 | -4006.86 -5724.57
35.1561 17.658 | -0.821418 0.035497 | 215.288 -3190.25
35.631 17.8251 | 0.580727 -3.5231 | -301.816 3230.52
36.1007 18.0074 | -1.18883 -2.29921 | 837.159 -2765.39
36.5669 18.1982 | -2.18131 -1.28748 | 647.351 2282.99
37.0283 18.4019 | -2.74468 -0.125686 | -4361.68 474.323
37.4824 18.6143 | -3.3053 0.417344 | -3027.96 -5375.45
37.9339 18.8246 | -4.36515 3.69677 | 5810.52 1229.14
38.3883 19.0382 | -3.90589 4.40428 | 4019.48 761.767
38.8417 19.2619 | -1.35505 1.65469 | -1268.86 8305.61
39.2869 19.5058 | -0.512354 1.16751 | -3951.33 -636.46
39.7289 19.7521 | -0.859886 -0.255633 | 6809.04 -6131.61
40.1824 19.982 | 0.161905 -1.807 | 1541.73 9606.25
40.6434 20.2048 | -0.35259 -0.0993812 | -4157.4 -2673.51
41.1143 20.3972 | -0.57794 -0.410876 | 1483.14 -9971.79
41.601 20.5387 | -1.64026 -2.71954 | -1436 4585.76
42.0965 20.6432 | -2.96801 -0.250309 | -1639.29 -3948.01
42.5982 20.7047 | -0.747293 2.3376 | 4570.6 -3212.31
43.1058 20.7308 | 0.438085 0.563037 | -17.1142 10398.3
43.6148 20.7415 | -1.16492 -0.134893 | -9265.64 -5187.28


-22.9867 -71.95 | 0.672831 -6.41295 | 1404.12 -758.669
-22.6078 -72.2802 | 2.62679 1.01754 | 4480.42 -4524.3
-22.2204 -72.607 | 2.84148 3.11315 | -1102.34 -1758.1
-21.8243 -72.9231 | 1.7601 -1.22491 | -3332.82 8493.26
-21.4155 -73.2134 | 1.21432 -3.54553 | -1372.23 114.164
-20.9946 -73.483 | 0.255597 -4.01138 | 514.036 -4534.42
-20.5612 -73.7344 | -0.61853 -2.88058 | -2733.57 1983.96
-20.1137 -73.9543 | -0.724227 -2.99919 | -1687.44 2510.29
-19.6503 -74.1328 | 0.683918 -2.11507 | 1253.3 -4363.17
-19.1711 -74.2676 | 0.379275 1.03231 | 507.994 3895.27
-18.6788 -74.3422 | -0.708777 3.13498 | 1585.16 96.2802
-18.1795 -74.3571 | 0.154265 2.16351 | 3878.14 1625.59
-17.6786 -74.3159 | 0.735703 1.03949 | -1660.27 140.794
-17.1846 -74.229 | -1.53132 3.22061 | -4630.74 106.515
-16.7009 -74.1086 | -3.36677 2.0651 | 1434.38 -8842.64
-16.2229 -73.9696 | -1.54746 -1.54148 | 3195.31 3759.07
-15.7547 -73.7932 | 0.344134 -2.67973 | -1637.17 6179.3
-15.3043 -73.5737 | -1.05792 0.579786 | -1085.74 -5982.2
-14.87 -73.3292 | -1.7838 1.56311 | -2732.31 1239.63
-14.4532 -73.0592 | 0.225496 -0.257895 | -1300.09 967.059
-14.0493 -72.772 | -0.609118 2.127 | -1132.18 -7359.3
-13.6509 -72.4827 | 0.692796 2.3423 | 715.98 6622.86
