11.2473 95.2381 | -2.42416 -0.806324 | 19246.5 -5248.94
11.748 95.2517 | -1.71153 1.85493 | 8188.4 1655.93
12.2528 95.3064 | 2.63513 -1.58075 | -9479.17 -562.786
12.7456 95.4034 | 3.62867 -5.1795 | -2286.88 -4079.81
13.2251 95.5428 | -1.66909 0.318152 | 1374.41 10010.3
13.687 95.738 | -5.10409 -3.94757 | -1642.75 -16277.8
14.1304 95.9646 | -4.32982 -5.31545 | 6028.89 26736.1
14.5477 96.2563 | -6.19476 -0.408522 | 1394.59 -17327.7
14.9458 96.5643 | -1.40705 -1.98054 | -14944.1 -5474.58
15.3101 96.8955 | 4.37375 -7.15057 | 8584.29 6029.35


-31.1578 76.4485 | -1.21383 -2.61342 | -1342.38 -2141.02
-30.7058 76.6584 | -1.01357 -1.86161 | 5.58401 3616.92
-30.2707 76.9048 | -0.795199 0.998584 | 5640.52 1380.17
-29.8481 77.1794 | -0.774958 1.52394 | -785.547 -1882.66
-29.4422 77.4765 | 0.911689 0.250971 | -4395.78 1021.35
-29.0567 77.7956 | 2.3789 0.145078 | -1802.76 -3145.65
-28.6853 78.1264 | 1.46643 0.636958 | -2329.83 -2669.05
-28.3227 78.463 | 0.45711 1.48384 | 1491.89 2452.86
-27.9615 78.8036 | 1.02273 -0.399088 | 6324.1 -2806.45
-27.5943 79.1413 | 1.18823 -2.75684 | -2140.97 2862.62
-27.2329 79.4862 | 0.190491 -1.60677 | -2294.35 4799.11
-26.8778 79.8392 | -2.68154 1.0956 | 1392.41 -4359.49
-26.5172 80.1849 | -2.36475 1.33006 | -2253.84 2167.05
-26.1485 80.5219 | -0.303476 0.13143 | 2691.95 1380.66
-25.7607 80.8399 | -0.030979 0.691096 | 4314.91 -3155.03
-25.348 81.1278 | 1.04572 1.79463 | 611.357 790.939
-24.9173 81.39 | 0.355718 2.55088 | 299.896 -615.421
-24.4735 81.6303 | -0.136874 1.48607 | -348.629 2097.31
-24.0214 81.8551 | 1.57986 -2.16169 | -412.272 -2394.34
-23.5626 82.0632 | 0.994874 -0.998931 | -2184.42 117.712
-23.1007 82.2612 | 0.650436 0.551016 | 1521.15 4972.59
-22.6341 82.4538 | 1.81041 -0.653131 | 641.328 -482.384
-22.1605 82.6288 | 2.94137 -1.71658 | -2533.49 -2853.34
-21.6799 82.7763 | 3.94949 -3.90356 | -410.843 955.978
-21.192 82.8944 | 2.0625 -2.6498 | -1797.51 1911.2
-20.698 82.9763 | 0.521298 0.0366622 | -50.3149 -1983.4
-20.1989 83.0071 | 0.219125 0.0647132 | 1254.79 -2208.72
-19.6988 82.9796 | 0.158866 -0.846877 | 1296.26 269.107
-19.2044 82.8968 | 0.934184 -0.284883 | -3172.8 -1303.38
-18.7243 82.7606 | 1.53067 0.066006 | -5727.98 -1737.22
-18.2625 82.5814 | 1.77179 -0.338389 | -356.312 4755.23
-17.8113 82.3819 | 0.493969 -2.38553 | 46.6417 2041.62
-17.3664 82.1694 | -1.23937 -3.9595 | 2665.27 -646.043
-16.9245 81.9443 | -2.07188 -4.98475 | 7989.37 -4891.73
-16.4822 81.7051 | -1.81447 -4.71182 | 102.214 -2179.37
-16.0427 81.457 | -0.222192 -2.00441 | -1310.02 1309.36
-15.6031 81.2102 | -0.588525 -1.31913 | 3800.6 1654.65
-15.1573 80.971 | -1.32964 -1.4052 | 141.773 -2641.44
-14.7079 80.736 | -0.262443 -0.694247 | -2605.94 -4233.18
-14.2544 80.5106 | 0.262346 -0.375634 | -1270.43 4218.19
-13.7886 80.3186 | 0.193405 1.34337 | -528.809 2104.44
-13.3074 80.1729 | -0.61429 0.307203 | 2665.02 1570.87
-12.8117 80.0809 | -0.670726 -0.237526 | 1007.29 4890.15
