10.7469 95.9186 | 0.713113 -4.78243 | -6515.21 7961.73
11.1998 95.742 | -2.29912 -0.372637 | 26106.8 -7790.33
11.681 95.5941 | 0.659067 3.02543 | -3011.67 4225.12
12.1718 95.4793 | 1.11598 0.925226 | 2305.3 -16148
12.6683 95.3848 | -4.27868 2.8506 | -15695.4 16096.7
13.1604 95.361 | -3.26146 -2.56801 | -7269.92 -4749.41
13.6473 95.3983 | -0.688697 -2.77109 | 23348.1 6527.2
14.1396 95.5016 | -2.09249 -0.712245 | -11457.4 -1634.09
14.6134 95.6545 | -0.997488 -2.26917 | -1222.88 -5559.15
15.0722 95.8405 | -3.78617 0.138364 | 5183.93 2111.7


-27.4505 70.1392 | -0.303057 0.0516311 | -292.625 1542.47
-26.9626 70.25 | -1.50435 0.306299 | 1681.92 -266.027
-26.4812 70.3902 | -1.84401 -0.0805164 | 252.835 -509.882
-26.0082 70.5567 | -1.54749 1.81092 | -1410.02 -1028.51
-25.5462 70.7481 | -1.4897 2.08046 | -1195.02 -330.135
-25.0965 70.9649 | -0.336528 -0.486828 | 379.012 256.551
-24.6594 71.2065 | 0.0792918 -0.375413 | 1212.32 1793.42
-24.2346 71.4715 | 0.505476 -0.512771 | -565.436 -1621.81
-23.8223 71.7534 | 0.789835 -0.0516217 | -1780.46 -4295.55
-23.4233 72.049 | 0.103514 0.532038 | -1066.21 920.101
-23.0405 72.365 | 0.648203 0.00465638 | 2581.39 2565.72
-22.6732 72.7028 | 1.52294 0.754598 | 2086.28 1356.45
-22.3222 73.06 | 1.42448 1.90614 | -1391.61 -878.324
-21.9904 73.4337 | 2.30292 1.33194 | -2725.43 -748.486
-21.6779 73.8217 | 2.68179 0.323883 | 1316.84 108.034
-21.3773 74.2196 | 2.32848 0.00390983 | 493.058 1566.47
-21.0844 74.6249 | 1.55183 0.835003 | -527.947 1956.82
-20.7936 75.0333 | 1.50124 0.490085 | 1626.06 986.758
-20.4941 75.4371 | 3.24974 -1.21428 | -378.831 669.849
-20.1785 75.8286 | 3.42905 -1.61717 | 367.611 -2730.29
-19.8382 76.1966 | 2.53582 -0.838055 | 2129.49 -4745.02
-19.4709 76.5355 | 2.84677 -0.521681 | -1064.02 2.87983
-19.0873 76.8544 | 3.1283 -1.15352 | -3750.85 1358.06
