48.6809 17.9844 | 1.31923 -0.677897 | 9154.61 -1543.39
49.0365 17.6274 | 2.64114 -0.886505 | -9614.62 1357.07
49.4111 17.2992 | 0.796549 -2.89164 | -4165.61 11107.9
49.8116 17.0163 | 2.72757 -0.215699 | 2212.83 227.207
50.2357 16.7675 | 1.90918 -0.853606 | 5866.23 -9791.76
50.6769 16.5345 | -0.601709 -1.08594 | 2585.65 -1736.67
51.1312 16.3221 | -0.784328 -0.723614 | -7500.06 2104.7
51.5919 16.1366 | -0.564829 -0.455185 | 4941.69 254.057


-53.1301 -83.9313 | 9.90441 -0.31259 | -3013.1 14050.3
-52.7032 -83.6593 | 1.55738 2.1932 | 25513.4 -21938.3
-52.2476 -83.4219 | -0.0129758 -0.203837 | -11575.5 25849.3
-51.802 -83.1658 | -6.22091 1.49161 | -7588.54 -39108
-51.3593 -82.9393 | -4.52552 1.12224 | -9270.32 31253.7
-50.9399 -82.6667 | 2.28267 -9.10107 | 13885.9 -7574.97
-50.5162 -82.3915 | 3.38838 0.662281 | -12965.6 -8413.62
-50.1 -82.1163 | 3.84024 -2.35131 | 21840.2 26134.1
-49.6712 -81.8231 | -1.31904 3.20713 | -3408.58 -7359.3
-49.2302 -81.5531 | 0.289146 0.164985 | -1391.84 -6947.64
-48.7725 -81.3259 | -7.15436 0.641844 | -12556.4 -13716.9
-48.3093 -81.1495 | -0.477017 -3.09947 | -35751.1 4697.49
-47.8566 -81.0003 | 1.68809 -1.44165 | 50999.7 176.099
-47.3604 -80.8991 | 2.06912 0.460104 | -4702.54 843.953
-46.8576 -80.8338 | 1.82638 -4.1625 | -15269.3 7890.01
-46.3618 -80.7933 | -1.18186 0.330426 | 160.75 -9755.76
-45.8649 -80.8016 | -0.882218 4.71792 | 10417 11631.1
-45.3622 -80.8435 | -4.82365 3.53923 | 17127.4 2332.43
-44.8619 -80.9511 | -0.60117 1.70749 | -38112.3 -21887.3
-44.4178 -81.1702 | -0.658694 6.16409 | 22541.7 10321.1
-43.9925 -81.4392 | -5.0064 -2.78056 | -11388.9 -3184.43
-43.606 -81.7548 | 0.0583295 7.07713 | -3142.02 9763.13
-43.2444 -82.0909 | -1.40387 6.34662 | 7501.87 -2932.37
-42.8947 -82.4474 | 0.84964 5.58959 | 849.312 -18844.2
-42.5569 -82.8282 | 0.264944 1.97491 | 10642.1 21624.1
-42.2067 -83.1916 | 1.79525 2.06839 | -9830.03 -13631.4
-41.8725 -83.5686 | 4.19737 -3.13526 | -10229.8 23812.6
-41.5469 -83.9326 | -0.790031 2.51811 | 8047.53 -9802.78
-41.2226 -84.3065 | -11.2735 -2.31654 | 817.147 -4524.13
-40.9065 -84.6934 | 1.24366 -4.73908 | -5830 -15687.9
-40.5967 -85.0925 | -7.07371 1.17871 | 13307.4 15832.1
-40.2545 -85.4572 | 0.800648 2.75436 | -28304.7 21783.8
-39.908 -85.7886 | 1.35135 4.01108 | 22242.4 -23393.1
-39.5318 -86.1169 | -1.19485 3.94509 | -213.857 -13336.6
-39.1318 -86.4333 | 5.94097 -6.51943 | 35288.1 14369.7
-38.6818 -86.7008 | 3.42851 -1.29077 | -31850.4 -12754.7
-38.2472 -86.9653 | -2.30021 -7.57948 | -22380.4 15913.9
-37.8163 -87.1955 | 5.52608 6.13555 | 13884.5 10053.3
-37.3616 -87.3816 | 0.83096 -1.74083 | -4137.52 -21002.2
-36.9011 -87.5622 | -1.82786 -1.93624 | 4180.86 22060.9
-36.4242 -87.6981 | -7.85139 -4.18242 | 22785.3 -16265.4
-35.9319 -87.8415 | -3.18971 1.27117 | -10682.9 -18385.9
-35.4472 -88.0006 | 8.72841 2.29532 | -16640 23835.1
-34.9652 -88.1102 | -7.25405 -4.0734 | -3767.77 -1652.59
-34.4794 -88.1824 | -4.69533 2.43552 | 13795.4 3660.21
-33.9797 -88.2217 | 2.5257 4.04289 | 11951.4 -9845.35
-33.4693 -88.2527 | -0.345705 7.58567 | -2058.14 12170.4
-32.9583 -88.2645 | -4.37984 0.506854 | 3235.57 -15875.7
-32.4477 -88.2943 | -3.5034 -4.76136 | -24076.8 -2508.53
-31.9501 -88.3184 | 0.14453 0.812232 | 26358.8 15531.3
-31.4369 -88.2996 | 1.62722 9.06915 | -27.5081 -7418.11
-30.9247 -88.2611 | -2.61214 2.12956 | -14820 -7994.71
-30.4282 -88.1954 | -0.208191 0.7702 | -15164.4 16786
-29.9543 -88.0668 | 1.04938 -4.9722 | 6981.31 -9374.73
-29.4855 -87.916 | -5.53623 1.70907 | -6090.62 2426.43
-29.0258 -87.7459 | 6.56507 -7.69659 | 9452.46 -2372.7
-28.563 -87.5733 | -6.17741 -0.13383 | -15319.7 5534.47
-28.1078 -87.4 | -14.11 5.91007 | 9510.99 -3622.37
-27.637 -87.2602 | -0.34575 3.26356 | 3031.03 -7787.88
-27.153 -87.1657 | -0.754251 -4.07314 | 415.959 -1851.24
-26.6632 -87.0919 | -3.77434 -0.876925 | 13450.3 23527.3
-26.1654 -87.0039 | 0.221627 0.873503 | -17624.2 -9374.44
-25.6714 -86.9531 | -5.00645 0.453609 | 21030.9 -12255.7
-25.1627 -86.9589 | 6.71773 -8.76312 | 37.093 21244.7
-24.6562 -86.9905 | 2.71835 1.17424 | -21398 -18001.9
-24.1752 -87.1003 | -7.07749 -2.41396 | -11139.4 8096.15
-23.7153 -87.2591 | -5.89303 -5.08922 | 38152.1 57.2676
-23.2495 -87.4607 | -8.21987 0.968008 | -27670 -8538.5
-22.8267 -87.7267 | 3.13256 6.49397 | 29202.1 -2767.7
-22.4131 -88.0299 | -5.5092 -5.58437 | -28198.8 12820
-22.046 -88.3635 | -7.58867 -4.23421 | 8725.02 -4799.02
-21.7023 -88.7298 | 4.70239 3.3169 | 13281.5 -25003.1
-21.3755 -89.1311 | 1.99679 3.20639 | -17634.1 34260.8
-21.0712 -89.5173 | -2.55151 -6.40524 | -14939.3 26225.6
-20.7871 -89.8944 | -1.45872 -1.53106 | 17455.6 -44608.4
-20.5095 -90.3116 | -3.74628 2.23806 | 11095.1 3093.44
-20.2255 -90.7324 | 1.62946 -8.93051 | -10203.6 4952.78
-19.9504 -91.1542 | 6.63568 -0.858125 | 14897.1 -10189.6
-19.6677 -91.5811 | 1.11765 1.10645 | -25326.6 11800.4
-19.4019 -92.0037 | -2.01606 -1.10223 | 21235.1 -11390.9
-19.1043 -92.4176 | -0.0014066 6.11096 | -4551.83 10243
-18.7873 -92.8062 | 4.30623 0.155557 | -24193.7 18593.6
-18.4648 -93.1676 | -5.79127 -4.14252 | 28670 -28136.4
-18.0996 -93.5215 | 5.2554 0.0178183 | 1931.37 1332.14
-17.7036 -93.8444 | 5.24307 -0.53929 | -12930.7 14111.9
-17.2896 -94.1227 | -3.97905 -3.48226 | -2865.22 -7627.44
-16.8563 -94.3699 | -7.83526 3.66969 | 17294.3 15475.4
-16.3927 -94.5683 | -6.30776 5.0014 | -17061.9 -26754.1
-15.9345 -94.7732 | 0.353733 0.481055 | 9531.61 23351.1
-15.4589 -94.9302 | -1.92165 -4.8547 | -11345.4 -15929.3
-14.9856 -95.0766 | -2.48216 -4.17251 | -13245 5092.34
-14.51 -95.1809 | -2.0338 -4.27913 | 21294.1 7074.16
-14.0115 -95.2249 | -6.65299 2.48898 | 11779.2 -5005.35
-13.5014 -95.2294 | -2.00071 -3.81189 | -12557.2 6693
-12.9983 -95.1983 | 4.63694 -4.39185 | 7249.27 -10629.3
-12.4916 -95.1617 | -3.88385 -0.11966 | 5561.89 1618.91
-11.983 -95.1057 | -3.47813 -3.41309 | -7706.04 -6461.16
-11.484 -95.0215 | 0.824516 -9.65898 | 5508.43 18119.8
-10.9989 -94.8765 | 3.22963 4.67061 | -43349.6 -18305.1
-10.554 -94.7092 | -2.52482 -5.95692 | 31349.8 8350.64


-44.4333 -24.8957 | 1.51729 -0.401636 | -891.016 3537.76
-43.9602 -24.7344 | 3.22522 0.0845016 | -124.088 -5993.28
-43.4751 -24.6188 | 2.89559 2.30097 | -743.719 1168.65
-42.9825 -24.5381 | 3.72567 1.63452 | 6168.03 5454.9
-42.481 -24.485 | 5.42732 -0.0427526 | 4063.46 -1108.07
-41.9736 -24.4711 | 3.66528 0.437407 | -433.026 -4495
-41.4666 -24.5038 | 0.306806 -1.67832 | 2648.59 -295.169
-40.9618 -24.5746 | -0.534661 -1.71681 | -2419.87 -1394.06
-40.4647 -24.677 | 1.55628 -1.14221 | -8836.27 -400.358
-39.9781 -24.7991 | 2.72444 -1.78732 | 1729.77 3660.07
-39.4921 -24.9235 | 3.16593 1.28219 | 2738.28 -2011.7
-39.004 -25.0472 | 2.31368 -0.30618 | -1481.49 -1175.5
-38.5143 -25.161 | 0.185545 -1.71525 | -639.954 7079.09
-38.021 -25.2502 | -0.377458 -0.702225 | -1556.14 -5737.49
-37.5261 -25.327 | -0.0812247 -2.67484 | 2246.93 -1178.54
-37.0271 -25.3802 | 1.1541 -3.32074 | -2547.86 4687.37
-36.5277 -25.3945 | 1.91946 -0.249037 | -4383.17 237.183
-36.0314 -25.3735 | 1.21013 0.129272 | 2061.2 -1860.19
-35.5357 -25.3223 | 0.974839 -0.511654 | 5768.25 2247.28
-35.0395 -25.2392 | 1.81774 0.939421 | 4287.48 2440.4
-34.5458 -25.1288 | 1.61057 0.134031 | -8304.78 -5303.72
-34.0626 -25.0039 | 0.0152513 -0.302522 | -8304.98 -2413.54
-33.5909 -24.8633 | 0.0337806 -0.466015 | 1024.97 310.206
-33.1245 -24.7039 | 1.33 1.1531 | 8912.22 2169.24
-32.6586 -24.5241 | 3.38624 -0.525968 | 1967.11 -938.669
-32.1998 -24.3232 | 1.90084 -0.822196 | -4695.94 -1145.17
-31.7566 -24.0956 | -0.869626 1.21752 | 963.264 2331.36
-31.3296 -23.8374 | -0.740958 0.516212 | 680.407 916.434
-30.9193 -23.5526 | -0.162807 0.197985 | -3648.18 -2856.78
-30.5269 -23.2488 | 0.957557 0.128999 | 201.445 333.373
-30.1472 -22.9295 | 1.11967 -0.373703 | -1269.53 -756.722
-29.7762 -22.6009 | -0.351094 -0.0194 | 6694.1 595.251
-29.4049 -22.2668 | 0.848101 -1.63627 | 1458.02 2066.36
-29.0391 -21.9238 | 2.71567 -4.07478 | -4670.34 -1850.17
-28.6851 -21.5715 | 3.52236 -4.48138 | 5515.76 5707.35
-28.3357 -21.2077 | 0.0119943 1.2118 | 85.5788 -380.597
-27.9919 -20.8387 | -0.426164 3.76739 | -5989.83 -3045.84
-27.6554 -20.469 | -1.87586 3.63875 | -1337.39 1109.37
-27.316 -20.1037 | -3.1407 3.13945 | -836.094 -4073.5
-26.9618 -19.7563 | -0.668587 0.799666 | 3319.03 -4547.31
-26.5866 -19.4316 | 0.740103 2.63705 | 3245.88 8455.05
-26.1971 -19.1149 | 1.10778 1.25288 | -1348.98 5619.49
-25.7955 -18.8102 | -0.574267 0.0450464 | 2327.83 -8157.45
-25.3731 -18.539 | -1.17484 2.17669 | -4578.17 -2856.97
-24.9387 -18.2958 | -0.257517 1.31622 | -4935.3 4558.52
-24.4961 -18.071 | -0.60744 0.754352 | 7345.99 707.672
-24.0348 -17.8755 | -0.652724 -0.542411 | 2551.29 -1315.29
-23.5588 -17.7154 | 0.209663 -2.84725 | -6593.47 -919.861
-23.0781 -17.5885 | 1.02416 0.8353 | -8512.85 1801.86
-22.5955 -17.4935 | 0.132713 1.21568 | 7906.05 -1458.15
-22.1016 -17.44 | 0.126019 0.558501 | 6547.28 364.457
-21.5994 -17.4266 | 2.07809 -0.0258594 | 506.434 631.415
-21.0956 -17.4508 | 0.889383 0.812953 | 6225.04 1333.26
-20.5912 -17.5128 | -1.71637 1.30641 | -2268.71 -4369.05
-20.0964 -17.6202 | -2.97437 -1.57339 | -12036.2 275.353
-19.6197 -17.7634 | -2.88478 -2.30178 | -2876.34 5623.56
-19.1536 -17.9256 | -2.50267 -4.74102 | 825.127 -4228.65
-18.6934 -18.1072 | -2.98258 -2.331 | 1983.91 -777.134
-18.2324 -18.2924 | -0.732328 3.25455 | 5180.47 4969.63
-17.7633 -18.4657 | 0.617102 0.391772 | 6690.56 -5413.01
-17.287 -18.6358 | 2.09412 -0.0921483 | -4857.35 1161.76
-16.811 -18.7972 | 2.01818 3.98667 | -4464.2 2967.64
-16.3345 -18.9449 | -0.821834 4.51296 | 1867.37 -2661.82
-15.854 -19.0807 | -0.259766 3.00851 | -5440.38 -1003.93
-15.3718 -19.1967 | 1.84495 1.77132 | -73.5369 1821.42
-14.8829 -19.2781 | 1.72963 1.20838 | 6586.18 1008.75
-14.3842 -19.3181 | 0.817741 0.411447 | 1837.11 3336.86
-13.8821 -19.317 | 0.273295 1.08081 | -2060.87 -978.659
-13.3821 -19.2897 | 0.537122 3.6976 | -3648.48 -1986.2
-12.8863 -19.2475 | 0.327721 6.22629 | 351.696 -773.837
-12.3926 -19.1952 | -0.604094 4.289 | -6264.16 -2805.74
-11.905 -19.1361 | -0.604324 3.3531 | -5620.38 -249.196
-11.4227 -19.0655 | -0.320687 5.57451 | 7516.84 65.5652
-10.9379 -18.9807 | 0.971211 3.29432 | 2222.59 -1359.37
-10.4546 -18.8778 | 2.60915 2.49117 | -3145.05 4670.84
-9.97815 -18.7477 | 2.02018 4.15298 | 6564.12 -2946.3
-9.50193 -18.6022 | 3.00589 4.07417 | 2169.05 -744.591
-9.02914 -18.4375 | 0.977397 4.93572 | 4458.66 6841.85
-8.56201 -18.2442 | -1.28384 3.97819 | 1233.58 -954.878
-8.10227 -18.0334 | 0.642648 1.58681 | -7163.13 -6265.11
-7.65503 -17.812 | -0.204791 0.532822 | -3971.26 -1760.72
-7.22086 -17.5735 | -1.8631 2.77979 | 1611.3 1840.9
-6.7976 -17.3118 | -2.12169 2.13289 | 6946.66 10536.6
-6.38121 -17.024 | -1.03739 -3.19722 | 4859.84 -4203.08
-5.96616 -16.7302 | 0.792113 -1.44783 | -2112.71 111.413
-5.55836 -16.4281 | -0.152887 1.60161 | -3444.45 3317.86
-5.15869 -16.1176 | -0.476513 -0.896019 | -1931.18 -7825.4
-4.7591 -15.8146 | -0.508459 0.0678099 | 276.477 -258.24
-4.35849 -15.515 | -1.63223 2.81463 | -7257.6 3778.04
-3.96058 -15.2161 | 0.883939 0.758388 | 4045.72 -7518.31
-3.54924 -14.9371 | -0.0789847 1.47186 | 4356.99 2989.75
-3.12726 -14.6683 | -1.25942 3.69395 | -4823.74 6757.75
-2.70324 -14.4034 | 1.11528 -0.0249211 | -2558.75 -5389.48
-2.26893 -14.1642 | 0.945443 -2.79877 | -4765.06 -2025.38
-1.8222 -13.9586 | 0.336068 -0.522609 | 2746.1 -3075.51
-1.35853 -13.7927 | 0.138449 1.08058 | 2496.91 3809.75
-0.882765 -13.656 | -2.25473 1.5673 | -2284.21 4075.96
-0.400019 -13.548 | -2.68954 1.26524 | 1852.2 -4312.81
0.0911584 -13.4825 | -1.00672 -2.1816 | 1390.85 2051.53
0.587075 -13.4537 | 2.48789 0.551967 | 2931.09 143.774


8.07785 52.3569 | -1.91051 -1.69553 | -1228.86 4546.2
8.38314 51.9657 | 0.307006 -1.38722 | -3117.07 -6506.38
8.69046 51.5732 | 0.199504 -2.51209 | 5298.16 2556.22
9.01691 51.1949 | -0.960963 -1.90149 | -659.625 1144.49
9.36036 50.8332 | -0.315636 -1.91685 | -4100.8 -1511.69
9.71846 50.4881 | 1.20564 -2.17582 | -1576.45 -353.356
10.1 50.1699 | -0.103344 -1.4752 | 6384.61 1537.4
10.5162 49.8921 | -2.8494 -1.80985 | 7669.99 -2008.52
10.9631 49.6534 | -1.65337 -3.95857 | -1547.71 -4648.39
11.4276 49.4478 | 2.33308 -0.978898 | -1342.17 486.269
11.908 49.2865 | 1.96859 0.728036 | 375.084 6153.82
12.4023 49.1827 | -0.926674 0.311845 | -5060.19 1758.28
12.9011 49.1279 | -0.53611 -0.676121 | 1170.51 -1626.36
13.4033 49.1093 | 2.65024 0.583496 | 2657.98 -441.803
13.9078 49.1202 | 2.30872 1.30246 | 2405.17 2042.25
14.4122 49.1558 | -0.803877 1.2761 | -7456.81 -9067.38
14.9101 49.2033 | -1.13118 -0.511895 | -3048.53 834.33
15.4018 49.2838 | 0.694197 -2.9898 | 9291.7 11355.3
15.8908 49.4139 | 1.38897 -0.168743 | 2915.42 -1565.45
16.3732 49.5713 | -0.072607 2.69292 | -10077.1 -8245.63
16.8416 49.7426 | -0.402539 -0.910233 | -5529.83 -1694.78
17.2962 49.9359 | 0.625245 1.68227 | 5269.02 3963.55
17.7418 50.1583 | 0.152606 4.26708 | 6373.69 -286.337
18.1771 50.4072 | -1.02269 2.58563 | -8472.23 2439.09
18.5884 50.6874 | -2.05622 2.34183 | -5349.7 -177.627
18.9837 50.9857 | -1.19907 -0.706782 | 9937.54 134.468
19.3857 51.2845 | -2.18363 -0.912153 | 1878.77 4883.1
19.7954 51.5785 | -3.19716 -1.19988 | -1471.91 -3189.99
20.2165 51.851 | -1.61813 -3.41075 | -6237.7 -8893.47
20.6491 52.0912 | -1.21172 -0.752471 | 629.519 4569.7
21.0945 52.3107 | -2.63077 -1.06627 | 6180.08 4933.78
21.5568 52.5063 | -3.97418 -0.607217 | 868.65 -3544.71
22.0337 52.6643 | -1.91926 1.11646 | -2674.01 1770.6
22.5207 52.7858 | 0.884513 0.859671 | 7030.12 -3172.73
23.0209 52.8639 | 0.706462 -0.216338 | 1163.44 1852.64
23.5272 52.9069 | -1.66873 1.38601 | -149.638 4044.1
24.0355 52.9159 | -1.50754 0.293693 | 769.038 -10561.9
24.5421 52.8743 | 0.20677 -0.519047 | -7239.31 6732.9
