79.0065 -56.513 | -0.868 -5.32127 | -12579.8 13268.2
79.4516 -56.268 | -3.75191 1.67611 | 597.328 -22624.2
79.9115 -56.0699 | 0.912373 -3.65007 | -6849.71 15759.1
80.3731 -55.8846 | 2.04391 2.79782 | -10882.6 -20364.1
80.839 -55.7457 | -3.17556 0.808206 | 6234.31 3531.65
81.3119 -55.6169 | -4.13566 6.43007 | 6144.35 9542.72
81.786 -55.4707 | 0.55224 -3.28213 | -1660.8 -7619.22
82.2539 -55.3116 | -1.0043 6.76534 | -4407.12 9344.6
82.707 -55.1171 | 1.3837 2.62245 | 3634.28 -15620.8
83.1506 -54.9056 | -0.744607 -5.56013 | -3118.48 21229.2
83.5684 -54.6378 | -1.26702 1.38123 | 7752.34 -8455.5


9.47292 11.3385 | 0.864607 -0.342346 | 3653.98 -6087.78
9.94412 11.5072 | -1.15278 0.51655 | -5878.73 5425.7
10.4157 11.666 | -2.06497 1.76246 | -3009.94 1451.82
10.889 11.8155 | 1.04244 1.31162 | 3937.28 4022.37
11.3712 11.9485 | -0.70902 2.9431 | 6493.46 113.909
11.8671 12.0462 | -3.09687 -0.322014 | 3933.23 -7291.17
12.3732 12.0936 | -3.04229 -6.22097 | -248.667 2662.58
12.8821 12.105 | -2.65862 -5.15787 | 1727.85 4914.07
13.392 12.0827 | -0.364827 -2.57116 | 2983.48 -10970.2
13.899 12.0071 | 1.19098 -0.885107 | -5675.34 6941.6
14.3964 11.8981 | 1.55389 2.42752 | 5258.79 -5159.94
14.8872 11.7475 | 0.380544 0.6387 | 4464.88 -8572.63
15.3691 11.56 | -0.516709 1.10188 | -13788 10874.7
15.836 11.3657 | 0.461073 -0.575523 | -6178.18 735.448
16.2951 11.1674 | 0.182286 -0.428959 | 4599.16 1702.54
16.758 10.973 | 0.297111 3.56478 | 2137.94 -7210.87
17.2252 10.7805 | 1.00905 0.995092 | -1251.93 3187.12
17.7001 10.6122 | 0.801054 -1.25418 | -852.821 10126.2
18.1845 10.4806 | -0.420259 0.836478 | 6493.67 -5178.82
18.6771 10.3607 | -0.445593 3.57566 | -113.698 -6914.33
19.1712 10.2431 | -0.502937 0.730007 | -8748.84 2165.01
19.6635 10.1449 | 1.01731 -0.447282 | 2731.79 2451.59
20.1617 10.0797 | -1.03183 -2.27142 | -2182.37 2233.27
20.6623 10.0519 | -2.64899 -3.48973 | 3713.85 -37.5099
21.1669 10.0571 | -1.41504 -0.226401 | 6122.55 -1384.37
21.675 10.0915 | -0.743161 -1.10146 | 529.474 1714.77
22.1805 10.1582 | -1.4031 -3.49849 | -4607.72 -3068.96
22.6771 10.2547 | -1.96024 -3.40192 | -5106.2 -806.443
23.1607 10.3893 | -1.40693 -3.20057 | 2310.97 2471.37
23.6311 10.5699 | -0.354203 -2.52968 | 2657.93 7711.26
24.085 10.7979 | -1.90373 2.36421 | 1222.4 -7407.04
24.5244 11.052 | -0.385741 3.54603 | 748.075 6571.82
24.9451 11.3409 | 0.686952 -0.549451 | -3342.78 5977.9
25.3484 11.6551 | -3.22228 1.59453 | 9527.58 -13473.5
25.7529 11.966 | -2.63173 1.68673 | -7848.7 547.436
26.1363 12.2958 | -1.34788 -1.2292 | -6202.79 3458.84
26.4916 12.6534 | -4.28409 -2.60484 | 4236.41 4820.97
26.8316 13.0305 | -6.40647 -1.35575 | -4126.88 -2605.03
27.1621 13.4119 | -5.20054 1.33942 | 375.741 -7412.46
27.4976 13.784 | -5.90974 3.91975 | 4053.97 4161.96
27.8417 14.1522 | -7.50108 1.45142 | -8427.32 3717.5
28.1897 14.5132 | -4.67427 -1.80718 | 1394.52 -9028.34
28.5629 14.8413 | -2.99121 -0.0888453 | 3949.68 -8324.34
28.9628 15.1335 | -3.28963 1.39307 | -5704.71 9331.54
29.369 15.418 | -1.57695 1.49978 | -726.882 3375.57
29.7861 15.6873 | 0.520947 1.15652 | 2425.89 -6321.55
30.2223 15.9226 | -0.994935 3.19835 | -4248.16 474.497
30.6706 16.1292 | -0.73119 1.45777 | 2817.34 5314
31.1336 16.3086 | -1.3212 1.9702 | 1635.02 -134.965
31.6118 16.4469 | -2.20545 5.91112 | -448.006 -512.271
32.1016 16.5338 | -2.03854 3.61184 | -823.289 -3454.21
32.5984 16.5625 | -3.88821 0.557472 | 6012.29 129.777
33.1006 16.5419 | -3.44756 0.472678 | 7660.58 568.505
33.6048 16.4811 | -1.86325 -1.05494 | -7921.16 143.852
34.0984 16.3854 | -1.99992 0.266467 | -5363.1 6424.41
34.581 16.2624 | -2.04362 1.10221 | 4566.12 -3822.46
35.0549 16.0981 | -2.52627 1.1417 | 6947.83 -4888.22
35.5173 15.8904 | -2.05533 2.41512 | -6338.95 815.551
35.9573 15.6482 | -0.622328 3.21993 | -9699.19 9912.89
36.3744 15.3852 | -1.08297 1.28294 | 3121.9 -4392.03
36.7757 15.094 | -3.36318 -1.35734 | 2858.77 -9467.19
37.1662 14.7795 | -5.56387 2.14766 | 666.856 5857.48
37.5591 14.4707 | -6.45163 3.56704 | -1038.27 6017.2
37.9603 14.1772 | -3.32368 -0.491422 | 5172.6 -3727.45
38.3713 13.8906 | -0.443141 -1.75319 | -2066.7 -2002.26
38.7856 13.609 | 0.368931 -0.830087 | -3695.41 1799.63
39.204 13.3385 | -2.73797 -2.39599 | 4475.04 7118.4
39.6332 13.0842 | -4.33533 -3.20058 | 3909.43 -7179.22
40.0635 12.8215 | -4.69216 -3.56374 | 2047.78 -8059.85
40.4892 12.5424 | -6.00015 -3.12928 | 1181 1989.44
40.9128 12.2595 | -4.04134 -0.936159 | -8129.17 -4003.68
41.332 11.976 | -0.75147 0.451319 | 650.355 5258
41.7648 11.7187 | -1.46055 -0.783283 | -1798.45 2013.65
42.2159 11.5004 | -0.562155 -3.07522 | 796.53 3406.32
42.687 11.3318 | 0.184099 -5.04067 | 2190.06 460.093
43.1736 11.2107 | 0.433584 -0.266562 | -4825.84 -3239.05
43.6664 11.1309 | -0.69431 2.50846 | 2009.89 1659.44
44.1663 11.1005 | -1.49962 -1.82243 | 7586.14 2966.47
44.6718 11.1196 | 0.00822421 0.150244 | -1837.25 -4735.01
45.1727 11.1765 | -0.731658 -0.17794 | -10095.3 -38.1334
45.6591 11.2773 | -3.55734 -0.133247 | -2258.58 1178.45
46.1323 11.4233 | -2.50427 1.60011 | 8317.89 1123.2
46.5975 11.6078 | -1.06036 0.991766 | -203.195 1036.01
47.0482 11.8261 | -1.95016 0.560041 | -9281.8 1050.16
47.4809 12.069 | -3.63073 1.89824 | 5789.38 -3480.41
47.9146 12.3147 | -2.60064 2.51751 | 8087.99 -506.243
48.3547 12.5608 | -0.68448 0.685236 | 2355.25 4758.93
48.7935 12.8172 | -2.1128 -1.30928 | 301.363 1563.15
49.2277 13.0829 | -2.80131 -2.721 | -5309.96 506.296
49.6557 13.3527 | -2.42416 -0.740017 | -949.955 -5762.27
50.0862 13.6131 | -3.59185 3.29668 | 2359.67 1493.93
50.5225 13.8674 | -2.74806 1.97431 | 2025.02 4542.43
50.9648 14.1166 | -0.564588 -0.333767 | -2451.76 -487.927
51.4143 14.3486 | -1.14691 -0.171365 | -1237.82 -8399.81
51.8746 14.5485 | -1.70194 0.305668 | -2733.64 -1646.92
52.3405 14.7278 | -1.17507 0.353121 | -3130.1 8302.29
52.808 14.9011 | 0.256229 0.972209 | 207.853 -1883.79
53.2833 15.049 | 0.235852 1.33724 | -2252.24 -2017.88
53.7669 15.1592 | -1.89213 2.86157 | 1764.01 -2551.1
54.2587 15.2267 | -4.12466 1.61696 | 2961.28 2894.32


-22.593 -72.6316 | -1.14481 1.69095 | 473.034 -749.49
-22.1562 -72.8745 | -0.0262444 2.04979 | -1677.68 7345.7
-21.7184 -73.1073 | -0.251759 0.487699 | -9794.85 -6296.34
-21.2873 -73.3447 | 0.991827 1.56891 | 5545 -4617.7
-20.844 -73.5692 | 1.88915 1.75277 | 9525.98 5523.18
-20.3775 -73.7531 | 2.01339 -1.53684 | -4468.35 -4342.75
-19.8998 -73.8988 | 1.3712 0.167495 | -6608.69 3439.42
-19.4144 -73.9891 | -1.34677 0.387578 | -1473.13 7753.7
-18.9228 -74.0174 | -1.26553 -0.562575 | 7482.33 -2338.69
-18.4251 -74.011 | 1.43641 1.25159 | -118.708 -3419.81
-17.9275 -73.9907 | 1.94253 1.77815 | -3637.15 -6018.48
-17.432 -73.9646 | 0.263653 0.675961 | 6509.78 -2127.78
-16.9345 -73.9177 | -0.404515 -1.28153 | -4491.66 5873.27
-16.4453 -73.8267 | 0.993805 -1.07759 | -2244.74 1599.63
-15.9667 -73.6948 | 0.599829 -2.10189 | 4887.59 -1173.99
-15.4944 -73.5336 | 0.0949608 -4.64885 | -2040.68 -4822.98
-15.0328 -73.3481 | -0.481658 -5.62277 | 4025.35 -838.913
-14.584 -73.1272 | -1.58117 -4.07871 | 5370.22 10698.3
-14.157 -72.8532 | -1.6562 -0.93675 | 1462.58 728.097
-13.7585 -72.5366 | -1.28378 -1.88249 | -6350.48 -2687.49
-13.3961 -72.1853 | -2.28992 -2.08327 | -4401.42 787.558
-13.0653 -71.8056 | -2.17195 -2.51533 | 8774.95 4969.92
-12.7463 -71.4074 | -2.40078 -3.47179 | -325.719 2416.07
-12.4378 -70.9992 | -3.41777 -1.30362 | -6415.16 -3577.33
-12.1335 -70.5935 | -1.31997 -1.2114 | 7144.02 -5766.55
-11.8126 -70.2029 | -0.486711 -0.626342 | -4610.61 -3294.12
-11.486 -69.8228 | -0.145852 0.65751 | -7697.7 285.84
-11.1575 -69.4491 | -0.0015317 -0.505831 | 6012.45 1395.05
-10.81 -69.0899 | -1.7318 0.531689 | -2342.04 -3818.7
-10.4449 -68.7525 | -2.30583 1.09347 | -3413.63 803.884
-10.0632 -68.436 | -1.59672 1.04538 | 6816.26 -1368.22
-9.65679 -68.1461 | -0.0249671 2.43535 | 338.571 4610.99
-9.23548 -67.8743 | 0.020091 1.44049 | -3804.77 2593.85
-8.80276 -67.6242 | -0.0953568 -0.119864 | -2510.54 -8197.64
-8.35411 -67.4135 | 1.67654 -1.84635 | 1069.27 2397.93
-7.89097 -67.234 | 1.30584 -0.572347 | 779.306 7410.29
-7.41503 -67.0836 | 0.439845 1.29493 | 2407.78 -617.573
