-75.421 -33.9288 | -0.721792 6.04303 | 3074.48 -1942.59
-74.9179 -33.9266 | -3.15542 5.71636 | 1384.14 6433.03
-74.4147 -33.9495 | -4.43672 4.14354 | -1854.69 -809.123
-73.9168 -34.0135 | -3.63654 2.8434 | -1646.33 -3726.14
-73.4297 -34.1307 | -2.35998 2.30884 | 390.619 -1451.76
-72.9566 -34.2974 | -2.41142 3.05336 | 38.9162 -2472.18
-72.4989 -34.5053 | -3.1864 3.03604 | 179.027 -1729.96
-72.0525 -34.7391 | -2.42596 4.41784 | 1723.88 975.643
-71.6085 -34.9796 | -1.08156 5.39884 | 2311.23 2659.7
-71.1605 -35.2142 | -0.0147576 4.50645 | -1134.86 -2781.17
-70.7086 -35.442 | 0.0758917 2.70725 | 716.312 554.466
-70.2474 -35.6506 | -0.529757 -0.543267 | 1930.73 3502.92
-69.7736 -35.8295 | -0.217045 -0.843189 | -417.217 1897.86
-69.2909 -35.9806 | -0.116311 0.9097 | -2324.06 -72.3303
-68.8039 -36.1116 | -0.0396111 -0.428895 | -376.642 -1758.2
-68.3134 -36.2277 | 0.0972103 -3.5047 | 782.71 1146.8
-67.8191 -36.3267 | 0.601946 -3.90314 | -2680.17 202.381
-67.3242 -36.4107 | 0.954523 -2.73017 | -2307.63 -2925.86
-66.8287 -36.4817 | 0.826625 -0.981253 | 1328.72 438.15
-66.3296 -36.5291 | 0.77014 -0.632575 | 1163.08 2315.82
-65.8279 -36.5442 | 0.324761 -0.384721 | -1311.31 -1755.78
-65.327 -36.5286 | -0.157759 -1.73721 | 65.7412 271.925
-64.8285 -36.4767 | 0.438565 -4.79649 | 1821.23 -1363.39
-64.3351 -36.3847 | 0.447422 -4.79187 | -1333.68 998.167
-63.8548 -36.2435 | 0.045656 -4.0587 | -5482.18 3219.03
-63.3964 -36.0502 | -0.183849 -3.0198 | -1527.05 -1471.81
-62.9569 -35.82 | -0.748174 -2.10228 | 2846.98 -432.462
-62.5293 -35.5651 | -0.961731 -2.85485 | 2101.38 1410.32
-62.1104 -35.2926 | -1.72888 -3.61159 | 2349.4 -4462.18
-61.6977 -35.0117 | -3.04188 -1.4672 | -3412.26 -1848.57
-61.2994 -34.7157 | -2.56201 -0.0682134 | -3496.92 1734.2
-60.9201 -34.398 | -1.06414 -1.19832 | 1376.37 1181.38
-60.5537 -34.0638 | -1.08618 -0.735803 | 456.538 1303.22
-60.1951 -33.7199 | -0.817882 0.53185 | -1376.94 -759.302
-59.8379 -33.3764 | 0.517067 0.496554 | 1456.65 -4389.63
-59.473 -33.0435 | 0.677799 -0.897609 | -1076.28 -237.572
