3.04702 95.2426 | -2.78367 0.164285 | -886.744 1029.35
3.49314 95.4814 | 1.29223 -4.73086 | -14092.4 -12767.9
3.91033 95.7474 | 0.3073 -3.84999 | 11811.1 12074.7
4.30968 96.055 | 1.14373 -2.17212 | 786.029 -1239.17
4.68599 96.3922 | -1.10309 -1.93051 | -4615.84 1445.43
5.03501 96.7547 | 3.84522 0.123899 | 3673.84 -6031.94
5.36571 97.128 | 3.93708 0.506461 | -21480.9 -15147.4
5.66144 97.5083 | -3.95924 -1.37292 | 10246.3 -2256.94
5.95027 97.899 | 0.913008 -5.35879 | 13857.3 33249.7
6.22966 98.3256 | 2.77734 -0.182782 | -6554.05 -14886.7


-36.7046 70.2305 | 2.09334 -5.01945 | -1701.08 339.539
-36.3487 70.5817 | -0.177847 -1.97452 | 5835.21 1544.28
-35.9988 70.9444 | -1.2753 -3.10301 | 2868.86 2996.22
-35.6574 71.3193 | -1.16354 -1.816 | -3706.15 -1019.52
-35.3308 71.7044 | -0.724866 -0.274943 | -3630.93 -1083.39
-35.0158 72.0962 | -1.81924 0.589714 | 1078.23 1249.18
-34.7004 72.489 | -1.47174 -0.834914 | 4849.15 -1601.04
-34.3749 72.8752 | -2.95106 -1.0923 | -3302.51 2355.22
-34.0449 73.2577 | -2.20581 0.558748 | 1788.4 -2922.93
-33.7028 73.6299 | 0.018502 0.178518 | 6767.73 3495.37
-33.3469 73.9971 | -1.09861 1.7218 | 1919.45 11501.1
-32.9852 74.3679 | -2.51775 3.07254 | -2377.9 -7865.3
-32.616 74.7238 | 0.358337 -1.87557 | -9458.67 -6468.73
-32.2421 75.0625 | 2.33741 -3.96545 | 601 3835.85
-31.8529 75.3839 | 1.69899 -2.18615 | -181.263 -2009.88
-31.4402 75.6715 | 0.63511 -0.39087 | -1521.01 -4573.16
-31.002 75.9117 | 1.01379 -0.681624 | -2682.49 -2484.85
-30.5427 76.1015 | 0.761565 -0.797647 | -1102.41 4407.9
-30.0667 76.2451 | 1.54486 0.559949 | 4107.57 -86.6396
-29.574 76.3306 | 1.5198 4.01301 | 4646.25 -3840.66
-29.0715 76.3508 | 0.413896 4.9517 | -4617.37 1222.15
-28.573 76.316 | -0.42929 2.83799 | -6094.87 1087.23
-28.0847 76.2328 | -1.20732 4.0428 | 1574.01 1160.43
-27.6049 76.1072 | -1.12123 1.73369 | 3447.07 -1316.94
-27.1347 75.9418 | -1.06819 -0.0546376 | -2012.77 -115.71
-26.6777 75.7426 | -0.803247 0.106694 | 5108.56 -1996.36
-26.2284 75.5168 | -1.05063 -1.36453 | 4473.71 -3974.9
-25.7843 75.2717 | -2.70055 -1.02667 | -1595.04 3378.75
-25.3451 75.0218 | -1.50133 3.09914 | -4652.27 3136.89
-24.9106 74.7719 | -0.749031 4.35067 | 1013.41 1508.32
-24.4758 74.5223 | -2.20807 3.75372 | 3866.45 -5414.84
-24.0393 74.2667 | -2.38944 2.65165 | 4143.59 -1970.88
-23.5995 74.0116 | -2.76253 1.87475 | -8971.95 4898.3
-23.1632 73.7665 | -1.95368 1.46194 | -12801.3 -1943.46
-22.7287 73.5364 | -0.275461 1.90736 | -121.226 3821.16
-22.2758 73.3513 | 0.464415 4.82742 | 10282 8565.91
-21.7966 73.2276 | -0.399078 3.27318 | 5159.62 -6600.7
-21.3046 73.1363 | -2.50715 -1.04846 | -5794.71 -4923.27
-20.8113 73.0676 | -2.40946 -0.0683855 | 1002.37 -1537.5
-20.3141 73.0323 | -0.557506 -0.517316 | 1169.2 5287.39
-19.8154 73.0463 | 0.563106 0.663964 | -2901.79 -1197.21
-19.3211 73.1029 | 1.2813 0.79921 | 5330.3 -4019.55
-18.8305 73.1984 | -0.214633 -2.7242 | -5598.08 4714.33
-18.3555 73.345 | -1.63089 -1.67119 | 677.034 -6325.68
-17.896 73.5317 | -1.08052 0.0275174 | 1543.46 4439.94
-17.4588 73.7691 | -0.223042 -1.41238 | -5905.81 2801.18
-17.0503 74.0504 | -0.518773 -2.28643 | 7475.52 -4720.68
-16.6554 74.3535 | -1.45188 -1.7737 | -921.592 -815.237
-16.2808 74.6794 | -1.60099 -1.96176 | -5437.94 -1981.76
-15.933 75.0277 | -0.552585 -2.47013 | -81.613 -4058.74
-15.6071 75.3928 | 0.476972 -3.22634 | 163.167 -2371.66
-15.304 75.7759 | 1.54588 -2.94457 | -2732.95 9122.17
-15.0252 76.1829 | 1.22675 -1.62184 | 11674 3505.56
-14.7471 76.5986 | 0.669966 -0.115551 | -3478.31 -3383.24
-14.4763 77.0165 | 1.15917 1.6064 | -2569.55 882.918
-14.2101 77.4364 | 0.314445 1.84221 | 2562.18 -1682.79
-13.9369 77.8517 | -0.456168 0.910745 | 1752.15 -1075.88
-13.6562 78.2619 | -1.21167 1.43861 | -3147.46 1919.75
-13.3744 78.6715 | -1.54676 1.35536 | 1174.2 -1059.81
-13.0855 79.0772 | -1.09525 0.499616 | 4885.74 7475.51
