30.0127 40.1685 | 2.49915 -1.90512 | -4973.86 -1183.87
30.3137 40.5686 | 3.16913 -3.69882 | -3458.7 4220.1
30.6173 40.9659 | 1.22418 -1.1617 | -3358.68 -8840.88
30.9277 41.3505 | 0.930334 -0.538189 | 2373.35 1185.81
31.2472 41.729 | 0.497459 -0.417719 | 3965.62 3469.99
31.5714 42.1074 | -0.109405 1.7486 | -6587.48 -3653.1
31.8876 42.4872 | 1.4345 3.62922 | 1601.11 544.46
32.1989 42.8713 | 3.88247 0.153166 | 3815.06 3988.45


23.5565 -52.7659 | -1.19256 3.07145 | 3930.56 -1262.66
24.0594 -52.7434 | -3.02339 0.628292 | -3105.94 2162.68
24.56 -52.7124 | -1.02791 2.38383 | 2112.64 -3124.56
25.0616 -52.6809 | -0.500046 1.60732 | 645.216 7927.49
25.5634 -52.644 | -2.7239 -0.58897 | -3357.95 -5594.14
26.0636 -52.6282 | -3.0599 -2.23527 | -443.339 -2136.79
26.5625 -52.6381 | -0.641845 -4.32903 | -6963.89 -552.822
27.0558 -52.6696 | 0.454695 -5.04306 | -113.362 -331.57
27.5488 -52.7143 | -1.07146 -2.91325 | 13589 3932.73
28.0507 -52.7628 | 1.36243 -0.662995 | 2488.77 -5949.91
28.5538 -52.8247 | 3.95978 0.209317 | -8923.67 8085.28
29.0508 -52.886 | 1.81921 -0.317005 | 1690.86 -5686.72
29.5466 -52.9617 | 0.328554 3.22267 | 1580.05 3092.54
30.0419 -53.0442 | 1.9658 2.38344 | -2067.72 515.042
30.5339 -53.1383 | 1.17668 0.941706 | 913.763 2857.88
31.0225 -53.2494 | -1.7156 4.05048 | -1348.61 -6734.23
31.5026 -53.3937 | -2.04422 3.71181 | 380.428 -1352.78
31.9759 -53.5604 | -0.512678 0.857852 | 1743.39 4938.67
32.4459 -53.734 | 0.117902 2.63767 | -5653.87 4322.03
32.9073 -53.9174 | -2.2902 1.32811 | -1386.2 -4810.9
33.3592 -54.123 | -1.04693 2.17893 | 5251.25 3064.43
33.8066 -54.3434 | -2.01892 0.493359 | -1156.18 -1800.16
34.2422 -54.5867 | -1.88971 0.245046 | -3358.85 -3482.4
34.6635 -54.853 | -1.31788 1.71041 | 3906.3 3465.48
35.0806 -55.1271 | -2.11342 -0.251969 | 2390.58 2561.13
35.4918 -55.41 | 2.43685 -0.536429 | -7502.97 -4937.3
35.8854 -55.7119 | 0.566346 -1.62617 | -5192 8056.3
36.2702 -56.0157 | -1.95788 0.467265 | 7052.23 -2229.77
36.6586 -56.3227 | -2.24817 0.364456 | -164.416 -15781.9
37.0495 -56.637 | -1.83704 -1.82247 | 3955.54 16458.3
37.4627 -56.9155 | -0.103685 -2.85984 | -3980.42 -9415.62
37.8901 -57.1725 | 0.747415 -0.68547 | 414.613 2551.52
38.3398 -57.3858 | -1.00743 0.0156243 | 2187.04 5894
38.8127 -57.5419 | -2.08322 -0.0418458 | 2056.33 -1576.4
39.3002 -57.6523 | -0.310954 -2.39598 | -3755.95 -907.232
