-12.2356 12.4965 | -2.98181 3.03887 | 4000.18 2205.79
-11.7475 12.6243 | -2.81198 1.55116 | 1454.66 -2220.66
-11.2499 12.7109 | -1.54899 -0.642959 | -178.432 3047.61
-10.7479 12.7596 | -1.25482 1.54251 | -7802.5 -1531.13
-10.2489 12.7609 | 0.224853 1.64349 | 1805.99 -938.117
-9.75134 12.7105 | 0.237573 -1.19967 | 6829.04 -3397.28
-9.25642 12.6083 | -1.30406 0.838818 | -1568.19 -1020.67
-8.77103 12.4641 | -1.29918 2.3481 | 5095.81 -4821.29
-8.29074 12.2895 | -0.542527 -1.41902 | 3228.95 5034.27
-7.81206 12.1072 | 1.38257 -2.40076 | -4004.45 -1745.1
-7.33916 11.9181 | 2.8127 -0.444332 | -5936.94 4266.86
-6.87081 11.7339 | 2.14547 0.567484 | -4885.07 7371.9
-6.40424 11.5585 | 1.39553 0.0395442 | 6810.37 -6312.37
-5.93557 11.3732 | 0.8667 -0.913644 | 2750.64 -5192.34
-5.46781 11.1768 | 0.909102 -1.12977 | -5232.56 416.136
-5.0026 10.9834 | 0.185074 -2.82334 | -3754.37 3104.96
-4.5337 10.8107 | -1.42772 -4.34001 | 44.6827 8360.39
-4.05611 10.6707 | -0.729124 -4.56595 | 2445.73 -4748.6
-3.57284 10.5438 | 1.41306 -2.9823 | -3511.65 -4965.96
-3.08879 10.4269 | 2.12821 -2.01073 | -4081.07 3749.08
-2.60214 10.3379 | 2.85568 0.59663 | 3169.16 2267.25
-2.10896 10.2815 | 2.13493 1.91675 | 1901.54 87.6564
-1.61169 10.251 | 0.958461 0.739454 | 1881.15 -1466.34
-1.11233 10.2376 | 0.678126 2.17584 | -2492.99 -5644.64
-0.614248 10.237 | 1.35718 3.71082 | -1273.35 1813.53
-0.117588 10.2668 | 1.60752 3.21437 | 5818 4533.55
0.378565 10.3367 | 0.952704 1.29222 | -4520.03 -2905.39
0.865653 10.4379 | 1.04778 0.913114 | -5290.15 -3747.85
1.34004 10.5698 | 1.23152 0.891308 | -2271.57 -416.243
1.79929 10.7396 | 0.275012 0.300823 | -1088.51 -1825.13
2.24008 10.9493 | -1.00868 -0.291759 | 1791.76 1896.27
2.6594 11.2015 | -1.46568 -0.671209 | -4364.71 3866.28
3.05422 11.4893 | -0.419795 -1.20336 | 3300.59 -9290.95
3.44092 11.7857 | 0.193402 -0.310629 | 4512.95 2918.92
3.82065 12.098 | 1.05893 0.454321 | 1951.5 8843.11
4.19069 12.4306 | 1.75465 1.79365 | 4382.04 -1413.88
4.5599 12.7677 | 1.0841 2.0144 | 527.145 -4782.87
4.92751 13.1052 | -0.533247 2.63069 | -64.4355 6586.73
5.28812 13.456 | -1.33209 4.33079 | 5245.34 8170.43
5.64804 13.817 | -0.948245 5.35632 | -2885.88 105.362
6.01169 14.172 | -0.910666 5.05449 | -4087.64 -9736.17
6.39045 14.4991 | -0.561088 1.20578 | -3093.12 -6939.64
6.78911 14.7935 | -0.959845 0.465542 | 5507.95 3970.01
7.20862 15.066 | -0.276734 2.93123 | 4353.46 4458.11
7.64294 15.3224 | 1.17173 2.88438 | -8750.47 1075.32
8.08273 15.56 | 0.246152 -0.0737846 | -2625.28 -1687.44
8.53687 15.7628 | -1.39716 -2.26364 | 7395.04 -4250.86
9.01338 15.9166 | -0.802808 -1.03892 | 335.072 3394.26
9.50222 16.0297 | 1.26754 -0.555522 | -4125.54 -529.999
9.99608 16.099 | 2.106 -3.06791 | -3297.39 -368.966
10.4915 16.1221 | 1.84867 -3.58459 | 813.551 1348.43
10.987 16.0989 | 1.5721 -2.37973 | -128.579 -3522.27
11.4773 16.0261 | 0.321412 -2.79328 | -3585.1 4431.66
11.9577 15.9174 | -2.40208 -1.60584 | -373.262 6596.21
12.4267 15.7736 | -3.39609 -0.118533 | -1812.09 -10033.8
12.8767 15.5745 | -1.5657 0.0284237 | 3244.4 -112.662
13.3145 15.3421 | 0.155326 0.52845 | 9217.33 1634.27
13.7503 15.0934 | -0.444717 -0.13587 | 2560 -5599.13
14.1801 14.8275 | -1.09047 -1.25492 | -3814.38 4300.73
14.6035 14.558 | 0.596626 -0.978218 | -4122.87 1357.65
15.0233 14.2894 | 1.76805 -1.84302 | 1535.85 491.293
15.4476 14.0284 | 0.300961 -3.09422 | -1456.07 -121.013
15.8773 13.7786 | 0.0424053 -2.76805 | -1596.13 4286.12
16.3145 13.5474 | 1.17926 -2.64349 | 1960.52 3301.77
16.7587 13.3288 | 0.50464 -3.37004 | -146.655 -9283.09
17.2029 13.1028 | 1.21003 -1.32904 | 3385.72 -103.989
17.652 12.8807 | 2.43972 0.641238 | 2489.91 3837.58
18.1068 12.6694 | 2.28721 -0.321517 | -5203.83 -3489.03
18.5598 12.4598 | 1.90198 -0.0547397 | -1248.19 -1964.7
19.0165 12.2596 | 1.12572 0.11021 | -423.552 387.602
19.4832 12.0862 | 2.1754 1.36943 | 1997.1 3468.17
19.9637 11.9559 | 3.04038 2.24086 | -1915.43 1913.78
20.4522 11.8701 | 3.44841 2.26553 | -4788.48 -1959.16
20.9421 11.8225 | 3.05119 4.30832 | -2853.44 -1442.53
21.4318 11.8135 | 1.18966 2.57125 | -552.543 1122.81
21.9198 11.8468 | 0.772258 -1.23624 | 1247.73 449.306
22.4047 11.9172 | 0.569249 -2.57102 | 522.38 -2117.75
22.8853 12.0143 | 0.451796 -2.56119 | -1106.43 1050.23
23.3609 12.1337 | 0.774783 -2.67045 | 3960.59 -901.772
23.8366 12.265 | 0.437405 -4.16841 | 6680.71 -990.871
24.3157 12.4038 | -0.106746 -3.04283 | 3667.13 2569.49
24.7949 12.555 | -1.32332 0.777839 | 314.308 -3830.33
25.2706 12.7165 | -3.22085 1.62086 | -2441.38 -840.627
25.7365 12.9003 | -4.36926 0.113967 | 3149.13 1389.81
26.1891 13.1193 | -2.98825 0.704495 | -997.578 7595.39
26.6188 13.3839 | 0.283072 2.4377 | -4437.64 3187.74
27.0269 13.6785 | 0.796518 3.4636 | -1628.55 -7422.11
27.4291 13.9736 | -0.481067 2.98344 | -2588.7 -2408.25
27.8341 14.2594 | -1.21044 1.97494 | 1427.73 -1330.16
28.2504 14.5282 | 0.0831444 -1.59845 | 2160.65 -1910.02
28.6799 14.7779 | 1.44935 -2.03049 | 1467.46 6113.73
29.1194 15.0173 | 1.93196 0.983396 | 5450.69 -3201
29.5718 15.2373 | 2.57196 1.53766 | -3345.69 677.38
30.0277 15.4469 | 2.84491 -0.883354 | -2307.1 4057.59
30.4864 15.6498 | 1.30354 -0.952179 | 3390.56 -1450.17
30.9552 15.8334 | 0.183988 0.827788 | 2371.58 1359.13
31.4343 15.9935 | -1.04837 2.30277 | -2914.97 -1594.98
31.9202 16.122 | -1.15269 0.257255 | -4777.48 -5488.25
32.41 16.2142 | -0.060865 2.07874 | 1365.19 7263.96
32.9045 16.2843 | 2.15486 2.52117 | 686.74 -2955.82


26.5754 -29.8679 | 2.38164 4.2443 | 969.284 -8158.36
26.4549 -30.3612 | 2.59458 2.49786 | -4588.84 -518.707
26.3541 -30.8598 | 1.67464 1.39492 | -2622.82 2440.25
26.2833 -31.3621 | 1.40276 2.1622 | 7892.78 -238.428
26.2653 -31.8688 | 1.81113 1.81008 | 238.722 -4274.42
26.2943 -32.3778 | 2.1351 1.21988 | -1678.83 1511.23
26.3654 -32.8811 | 3.70965 1.96651 | 3143.52 7425.36
26.4814 -33.3711 | 1.46782 1.8721 | -2844.49 -549.567
26.6306 -33.8512 | -0.306616 1.9029 | -859.673 -1693.49
26.8126 -34.321 | 0.515212 0.271801 | 2125.58 -1074.86
27.0317 -34.7764 | 1.04941 -1.72137 | 4010.53 417.747
27.2871 -35.2143 | -0.147677 -1.40459 | -1159.32 -2089
27.5662 -35.639 | -2.05811 -1.70913 | -1864.14 -4198.51
27.8651 -36.0514 | -2.79253 -1.42122 | 2640.41 7657.89
28.1909 -36.4387 | -1.53728 -0.810035 | -2818.13 2741.87
28.5332 -36.8076 | -0.474606 -2.23398 | -2503.87 -5537.56
28.8867 -37.1674 | 0.466749 -1.89244 | 3914.57 1193.93
29.2599 -37.509 | 0.772987 -2.31664 | 1651.42 -111.124
29.6508 -37.8314 | 0.992931 -2.40044 | -3194.33 652.872
30.0542 -38.1352 | 1.47538 -0.263883 | 4841.65 4407.96
30.4737 -38.4186 | 1.04899 0.697237 | 5264.59 -1726.99
30.8984 -38.6999 | -0.866523 0.289063 | -7822.83 -1030.05
31.3069 -38.9966 | -0.992776 0.0334998 | -6811.22 4907.92
31.6929 -39.3117 | -1.03759 -1.31168 | -5011.59 -4379.44
32.0554 -39.6513 | -1.05404 -1.74811 | 878.286 36.9666
32.4103 -39.9995 | 0.496533 -0.942403 | 8045.22 3673.49
32.7731 -40.3431 | 1.11154 -0.610078 | -2174.01 -5876.36
