2.81977 95.8764 | -2.21487 2.43383 | -10800.8 -3775.63
3.31673 95.9103 | 0.656719 6.38795 | 9267.03 7023.89
3.81291 95.9868 | 3.34822 -1.79018 | -13182.2 -3890.92
4.29406 96.0911 | 4.29543 -1.01709 | -10179.8 -9478.42
4.76234 96.2148 | 0.49771 -0.786023 | 13894.5 6157.38
5.22929 96.3785 | 0.901706 -0.560349 | 12347.6 4697.56
5.69033 96.5875 | 3.85207 -2.3434 | 3567.39 6411.99
6.13361 96.844 | 4.05402 0.14597 | -4081.1 9674.15
6.55359 97.1374 | -0.702058 6.35317 | -11579.2 -16743.9
6.96292 97.4227 | -2.15357 4.11892 | 5476.93 -10955.7
7.37912 97.6922 | -3.8864 0.0434238 | -1234 10337.3


-36.7843 70.6106 | -1.74805 2.26165 | 5156.85 -4943.94
-36.3505 70.8611 | -1.31123 0.88257 | -6719.28 5423.05
-35.9455 71.1507 | 0.259906 1.04839 | -9906.16 -3032.44
-35.5701 71.4669 | -0.909664 -0.404663 | 4174.31 -5536.17
-35.2042 71.7925 | -2.40246 -1.3979 | 1581.69 959.301
-34.8463 72.1291 | -3.63698 0.980145 | -45.5141 4707.41
-34.4959 72.478 | -3.39136 0.954827 | 5584.32 1721.23
-34.1428 72.8297 | -1.9034 1.23532 | -1077.81 1089.58
-33.7873 73.1794 | -2.39705 2.06754 | -1879.77 -3247.41
-33.425 73.5185 | -2.58116 0.749153 | 1958.66 -4272.74
-33.052 73.8444 | -3.39179 0.244983 | -3610.06 10410.8
-32.6747 74.1704 | -4.3945 0.147371 | 6217.29 830.009
-32.2759 74.4763 | -1.03719 -1.13808 | 5083.56 -8778.68
-31.8531 74.7472 | 0.0600759 -0.820095 | -7170.16 5770.53
-31.4243 75.0036 | -1.03742 0.149861 | -5700.7 -2493.38
-30.988 75.2377 | 0.0287353 0.00948601 | 3273.86 -1044.97
-30.536 75.4439 | 0.908775 0.476239 | 6230.26 2104.64
-30.0684 75.6239 | 2.0155 -0.649297 | -5094.52 1483.53
-29.5951 75.779 | 1.7226 1.33698 | -7150.93 1131.81
-29.1173 75.9019 | -0.398522 2.75162 | 4306.75 -4628.74
-28.6275 75.9764 | 0.210681 0.512937 | 6618.07 -168.15
-28.1286 76.0088 | -0.434815 -2.07493 | -4167.91 3271.39
-27.6314 76.0101 | -0.787198 -0.164885 | -6420.4 1008.27
-27.1396 75.9796 | 0.0835319 -1.68496 | 3212.43 -1953.72
-26.6488 75.9148 | -0.058021 -3.3535 | 4801.11 -1131.94
-26.1585 75.8217 | 0.871384 -3.25595 | 3669.64 2174.14
-25.6695 75.7093 | 0.647455 -3.65256 | -1756.24 2065.2
-25.1867 75.5766 | -1.2182 -3.47298 | -744.84 -1593.44
-24.7126 75.4155 | -1.42252 -1.97044 | 4451.84 -5620.96
-24.2455 75.2239 | -1.18112 -1.33905 | -2410.87 -2151.29
-23.786 75.0163 | 1.44154 0.82977 | -1759.85 9000.94
-23.3272 74.8158 | 2.24715 1.63209 | 2712.38 -17.7643
-22.8672 74.6155 | 1.81135 2.02164 | -3000.95 -5350.53
-22.4113 74.4067 | 3.32383 2.71261 | 782.8 1272.12
-21.9541 74.2025 | 2.08036 0.148752 | -6083.45 2524.3
-21.4957 74.0116 | 2.58052 -1.22533 | 1791.95 478.076
-21.0286 73.8394 | 4.03425 -1.15504 | 9051.36 -1815.81
-20.5478 73.6874 | 2.95593 0.515391 | -2422.75 -5569.58
-20.061 73.556 | 3.06578 -0.443547 | -1702.03 853.005
-19.567 73.4676 | 2.29968 -1.31131 | -5016.2 7569.57
-19.0706 73.4443 | 0.564692 -2.48495 | -3049.95 -1226.28
