-1.68809 -63.0186 | -0.132694 0.422594 | 77.7786 -1544.32
-89.0548 13.764 | 0.236227 -0.04373 | 5.45697e-12 6.42331e-12
-9.01418 87.5206 | -0.550713 -0.242401 | 97.122 1009.09
51.4082 56.1983 | 0.149106 0.737282 | -4.54747e-12 3.18323e-12
68.8887 25.3674 | -1.07156 -0.659007 | 1468.63 -323.675
64.2762 25.2339 | -0.32728 -0.53292 | -1468.63 323.675
-53.6266 -52.8591 | 0.65115 -0.2481 | -2.72848e-12 1.05302e-11
34.7009 -13.8215 | -0.568042 -0.719295 | -1.25056e-12 8.18545e-12
-55.4368 -41.031 | 1.03493 -0.481341 | 1.00044e-11 -2.09184e-11
31.6559 -57.57 | -0.091323 0.75285 | -298.038 619.366
43.9142 83.2609 | 0.214852 0.222352 | 3.63798e-12 1.81899e-12
86.2896 -24.9329 | 0.434369 0.433558 | 7.27596e-12 -9.09495e-13
-61.2256 -5.81415 | 0.620467 0.00830329 | -5.68434e-12 -3.63798e-12
-33.0632 -77.7173 | -0.55502 0.69168 | -2079.4 3048.88
-28.2583 31.2892 | 0.0193679 0.296035 | -4.54747e-13 -2.72848e-12
-28.9496 6.74115 | 0.146537 0.0576434 | -2.359e-12 1.13687e-12
14.6837 -89.2449 | -0.10757 0.885897 | -1.81899e-12 -4.54747e-12
-52.858 37.9236 | 0.389317 0.418633 | 4.11669 41.5417
