27.6978 31.6143 | 0.253193 -0.375488 | 14.4289 603.552
-22.6203 -91.7468 | 0.269116 0.365886 | 67.8732 -685.508
-28.5743 -25.6625 | 0.800808 0.528842 | -290.057 1107.85
26.8076 52.5815 | 0.132887 -0.450492 | 2572.8 5128.8
20.5421 8.6586 | -0.0518784 -0.524439 | 1.81899e-12 -4.54747e-12
60.1349 -25.9033 | -0.901445 0.48037 | 130.864 536.919
-30.7621 65.9235 | 0.247747 -0.140393 | 1.81899e-12 1.18234e-11
-52.0672 45.7941 | 0.0517828 -0.699267 | 83.6752 -165.366
48.3552 -1.63458 | -0.575903 -0.515148 | -6.36646e-12 -2.6148e-12
-25.7739 -5.33659 | 0.784095 1.28559 | 4.54747e-13 -1.31877e-11
76.7647 -43.2213 | 0.435667 -0.20093 | 340.465 -888.81
-16.5616 -71.5973 | 0.602504 -0.172777 | 40.3498 170.539
-55.8662 -39.4863 | 0.715085 0.625109 | -1630.07 4165.2
-44.3325 -52.3963 | -0.433263 0.0164541 | -220.411 1216.62
-46.152 34.7621 | 0.106722 -0.825712 | 45.5292 1917.29
10.1532 74.9117 | 0.522668 0.180981 | 946.612 -222.568
-16.2461 -66.2031 | 0.341065 0.596402 | -66.9541 -489.665
-62.4985 -52.6673 | -0.05814 -0.418639 | 59.4948 -132.861
-9.59676 -54.4834 | 0.98907 0.209749 | -6.82121e-12 -4.09273e-12
-38.7335 -72.0647 | -0.0818845 0.598188 | -604.487 -1282.73
-44.1633 56.4185 | 0.269971 -0.659711 | 9.09495e-13 4.54747e-13
31.581 -37.4223 | -0.259165 0.294904 | 1105.19 4229.17
-51.2298 -61.2771 | -0.436508 0.575761 | -9.09495e-13 1.72804e-11
48.1107 40.3755 | 0.234917 -0.0802118 | -365.062 -633.927
-29.545 -37.2906 | 0.28024 -0.22401 | -2585.07 -3889.06
-78.0961 -8.45965 | 0.806578 -0.55925 | 204.445 2682.93
-41.21 -41.8452 | 0.795473 0.605953 | -5010.03 -5413.62
24.0475 -68.391 | 0.64159 0.120837 | 2720.36 3656.41
18.5035 25.3265 | -0.0842614 0.0897653 | 60.8237 -105.957
29.6079 -75.7638 | -0.489875 -0.582938 | -54.8437 775.087
1.85564 54.3129 | 0.697992 0.276859 | -8.30103 23.0517
-68.0386 54.3288 | 0.349319 0.134335 | -287.649 1084.91
26.6506 67.703 | -0.519272 -0.465756 | -24.0385 37.054
-48.3408 65.2435 | 0.533771 0.707621 | 166.206 156.762
11.9895 73.1698 | -0.120665 0.766912 | -194.661 -943.131
22.2545 50.7341 | 0.918323 0.655803 | -2572.8 -5128.8
-11.2294 75.105 | -0.100099 0.705705 | 13.5985 -9.24083
31.6233 65.7449 | -0.499637 -0.280207 | 28.9676 -45.057
14.7891 46.3457 | 0.254857 -0.366081 | -110.097 254.402
-31.7715 23.867 | -0.0260547 0.0280388 | -9.09495e-13 7.27596e-12
-14.3094 88.8779 | -0.583226 -0.650125 | 714.998 2433.8
-40.8655 16.2041 | -0.447498 -0.704291 | 113.78 591.428
39.768 -11.4512 | -0.0740833 0.0455836 | 4.54747e-13 -7.40386e-12
90.1326 -20.7867 | 0.0994074 -0.0160346 | -1.18234e-11 1.90994e-11
-58.3845 -21.5565 | -0.158503 0.0665105 | -261.596 571.049
51.1925 -49.4906 | 0.785874 -0.13581 | 204.824 2975.13
-7.77776 -11.4007 | 0.215094 0.211404 | 8.03434 15.2752
25.3531 -63.0756 | 0.0859073 -0.366357 | -25.4764 -177.562
26.7548 -30.2829 | -0.847686 0.48245 | 608.276 2613.4
30.9655 34.4412 | -0.00182798 -0.401566 | 7.27596e-12 3.18323e-12
7.50199 93.4693 | -0.707927 -0.560109 | 1.18234e-11 5.79803e-12
-63.9633 -28.2696 | 1.06834 1.15208 | -23.4224 -920.257
-46.3243 4.43188 | 0.764835 0.20422 | 25.9483 -326.612
-23.5898 15.7339 | -0.169605 -0.124918 | -25.9483 326.612
-38.0805 -23.0516 | 0.590244 1.01923 | 238.181 1107.95
-51.0187 -53.0007 | 0.165741 0.317127 | 160.916 -1083.76
42.5422 -28.6547 | -0.15293 0.735092 | -817.875 -1186.67
-56.2024 14.3317 | -0.248324 -1.17576 | 9.80967 -101.459
-35.266 58.2921 | 1.1629 -0.493199 | -5.33509 121.192
-13.3216 -29.1051 | 0.704564 0.342923 | 274.88 -468.828
27.9096 87.3052 | 0.397318 0.0976107 | 439.435 -1267.85
67.4135 -16.6488 | -0.017398 -0.084858 | -52.3235 -79.4984
10.8376 -44.3349 | -0.945528 0.442264 | 0 -1.36424e-12
30.6036 3.10627 | -0.909806 -0.388396 | -5.45697e-12 3.63798e-12
-2.95591 41.9176 | -0.0212716 0.0300009 | -1165.36 1994.91
48.2019 -17.3933 | -1.27056 0.11985 | 52.3235 79.4984
21.5541 -92.1836 | -0.538905 0.810375 | -7.27596e-12 -1.31877e-11
-52.3958 -34.0621 | 0.655439 1.3261 | 1.42912 -655.075
-47.2992 -48.895 | 0.406339 -0.0121371 | -16.1198 -53.3054
56.5159 14.3601 | -0.70107 0.776541 | -9.09495e-13 -3.18323e-12
-22.8963 -89.3894 | -0.465001 -0.286046 | -1364.73 -900.831
-25.8138 -69.5973 | 0.0253532 0.217021 | 35.5797 7.34339
-30.6128 -67.3357 | 0.615658 0.665897 | 528.558 1104.85
-25.1487 -17.7497 | 0.217245 0.208369 | 3.74419 -7.91652
65.3843 34.6813 | 0.26752 0.655286 | -5.45697e-12 4.43379e-12
44.1694 42.2137 | 0.245651 -0.101948 | -26.4293 169.151
69.5633 31.8714 | -0.445604 0.396167 | -2.36469e-11 -3.63798e-12
-61.3454 50.6247 | 0.0706029 -0.468043 | 5.45697e-12 2.72848e-12
-54.4437 7.13204 | 0.686333 -0.984799 | 88.0884 -176.908
