-71.8665 -7.25199 | 0.394543 -0.577618 | 2.30216e-12 2.27374e-12
-68.4937 -29.8339 | -0.0492368 -0.0882868 | -97.0463 54.8473
31.585 14.5631 | 0.681029 0.361487 | 381.493 621.406
13.7332 50.4471 | 0.247606 0.24186 | 112.596 -1322.19
4.63656 86.8575 | 0.751648 -0.551504 | 5.91172e-12 -1.18234e-11
73.7833 -34.7568 | -0.429319 0.260371 | 9.09495e-12 -9.09495e-12
47.9616 -11.1847 | 0.108251 -0.656321 | 144.097 -126.335
-39.3672 37.5271 | -0.349718 -1.00497 | 2.72848e-12 3.18323e-12
5.12028 -51.7442 | 0.204252 0.103393 | -9.09495e-13 -2.50111e-12
37.2149 72.6344 | 0.0453793 0.00946612 | -761.953 -1053.91
-61.1166 12.1938 | -0.0644844 -0.67155 | 15.3377 97.4793
-35.1875 73.5997 | 0.668978 0.221209 | -69.6413 52.3855
23.5041 -29.7914 | 0.0914072 -0.404812 | 873.268 -4309.51
-54.3847 -12.0654 | -0.0733134 0.140789 | -1203.05 999.038
-77.2827 -6.6692 | 0.247892 -0.29511 | -1.81899e-12 -1.00044e-11
-8.64696 44.2683 | -0.310112 -0.213279 | 1.81899e-11 2.95586e-12
2.96346 13.0781 | 0.143984 0.472261 | -381.493 -621.406
-17.7143 19.7206 | 1.0495 -0.00610144 | -5.74119e-12 -4.3201e-12
-60.0675 55.5795 | -0.0693096 0.14063 | -1.81899e-12 -1.81899e-12
-67.8367 -26.0408 | 0.0363023 -0.518665 | -4.54747e-12 -2.00089e-11
-35.9227 -68.2902 | 0.616789 0.031746 | 448.834 -969.991
-41.956 69.0204 | 0.399354 0.223655 | 35.8795 -43.4915
18.858 51.2761 | 0.250125 -0.576103 | -112.596 1322.19
67.1452 46.9643 | -0.257617 -0.534732 | 203.385 -492.565
39.691 -41.1823 | -0.16732 0.235826 | 11.2083 -16.1213
-9.26031 -31.8162 | -1.07518 0.137104 | -873.268 4309.51
39.2368 70.516 | 0.331666 0.280369 | -35.4453 -32.8677
54.2263 9.12438 | 0.147555 -1.15712 | -33.6596 574.475
18.879 -91.1298 | 0.0324293 -0.469282 | 1.81899e-11 5.45697e-12
58.2173 3.68399 | -0.328254 -0.659919 | -346.362 -1220.32
-69.8101 -11.2122 | -0.130927 -0.620919 | -37.869 88.0134
-28.5011 -70.5718 | -0.644897 0.701394 | 1.45519e-11 1.00044e-11
60.1184 57.6313 | 0.201076 -0.190855 | 1.81899e-12 2.95586e-12
-60.3123 7.31188 | -0.00731908 -0.54144 | 14.6198 2168.15
-8.02318 47.3752 | 0.170523 1.15572 | 1.63522 -51.7567
-66.1147 14.7847 | -0.518578 -0.824235 | 12.6296 -6.61076
-38.2697 -8.8924 | 0.254604 0.236398 | 99.7817 -173.041
