44.2459 -2.43672 | -0.14885 -0.59684 | -1470.02 2248.68
-64.2692 -37.9201 | -0.0417773 0.475657 | -36.6892 205.139
-65.2766 15.0108 | 0.644736 0.0180162 | 87.6895 253.826
-19.4596 45.1808 | -0.47669 -0.0347566 | 50.0772 -29.4613
-43.5207 66.7777 | -0.183352 0.455852 | -1.13687e-12 8.86757e-12
-58.2577 -17.6087 | 0.736153 0.224558 | 1.46656e-11 -9.09495e-12
-1.09674 88.5827 | -0.328125 -0.185094 | -1992.29 5713.44
-24.0549 85.5355 | 0.564188 -0.239177 | 788.504 2254.01
60.0472 10.3409 | -0.613972 -0.177241 | -2.50111e-12 1.13687e-13
-5.07849 -80.1121 | 0.0555734 0.162271 | -570.166 1620.63
31.2195 78.6291 | 0.348843 0.199348 | -767.496 842.838
56.9256 45.102 | 1.18067 0.609338 | -1635.96 -921.041
79.5007 -8.56661 | 0.308772 0.169485 | 399.32 680.774
-49.2668 -59.1796 | 0.388855 0.411371 | 4.43379e-12 9.09495e-12
-57.421 -64.0374 | -0.000351306 0.305411 | -9.09495e-13 6.36646e-12
-62.9225 -44.5831 | -0.303779 0.162355 | 1.64846e-12 6.36646e-12
24.9367 81.9162 | 0.229299 -0.275944 | 6.25774 16.8106
9.5869 13.4003 | -0.196224 0.206788 | 1342.75 1360.42
-44.0351 58.4727 | 0.219486 -0.653586 | 6.13909e-12 0
51.855 -38.0065 | 0.328413 0.770337 | 16.3255 102.603
-1.46119 -6.52124 | -0.543861 0.248982 | -3.63798e-12 -9.54969e-12
38.9839 30.4388 | -0.873395 -0.221546 | -2621.77 -1795.56
31.9166 30.0826 | 0.999934 -0.345585 | -69.9502 -669.309
3.77576 84.8932 | 0.0548628 0.121468 | 1602.37 -3935.42
12.8004 -26.135 | -0.582565 0.878164 | 102.846 265.385
-59.5044 50.3372 | 0.111092 -0.532797 | -10.8369 11.8472
-32.1081 34.3034 | 1.05212 0.424369 | -46.9439 123.179
-44.8965 6.36218 | 0.0321103 -0.380551 | 5.6735 -6.27025
75.3791 51.168 | 0.731087 0.10384 | -5189.31 -520.132
72.3451 -26.1634 | -0.173183 0.394883 | 90.9716 -153.193
31.8782 1.59024 | -0.349871 -0.497938 | -2.27374e-13 5.45697e-12
49.5907 51.6349 | -0.61271 0.198483 | -167.486 4.89446
72.0935 -24.0493 | -0.539918 0.465835 | -90.9716 153.193
4.80628 -82.3851 | -0.027146 -0.161404 | 570.166 -1620.63
25.6376 70.1686 | -0.193478 -0.510538 | -9.60426 -14.1779
-2.98155 -68.8653 | 0.0490997 0.474985 | 0 4.54747e-13
13.8012 -90.2581 | 0.910638 0.332694 | -2.36469e-11 -9.09495e-12
67.4869 -35.208 | 0.194784 0.664748 | -3.63798e-12 4.54747e-13
