-33.7482 77.562 | -0.123036 -0.138039 | -407.777 -1852
65.8009 13.819 | 0.186031 -0.50955 | 5.45697e-12 1.81899e-12
60.8285 -67.6429 | 0.0915556 0.276865 | 1.81899e-12 2.72848e-12
5.63962 12.1993 | -0.195056 -0.207033 | 206.812 -770.317
-1.52882 89.1397 | -1.17142 -0.410724 | 982.513 2439.18
-59.7873 45.6581 | -0.559333 0.693654 | -134.82 438.019
7.72805 7.6798 | 0.286048 0.162369 | 2156.99 5267.07
19.7541 -76.3377 | 0.452663 0.137675 | 2.27374e-13 -1.76499e-11
47.1538 72.2774 | 0.341856 0.14817 | -1.00044e-11 1.63709e-11
58.8284 29.3052 | -0.512227 -0.324831 | 423.088 629.278
51.8627 -49.3668 | 0.330331 0.773727 | 123.13 112.17
-10.7427 -78.9194 | -0.077979 0.212288 | 269.589 989.082
78.4648 8.99693 | -0.0900861 -0.599892 | -84.6279 -348.859
20.4507 72.2136 | 0.0922622 0.22739 | -1.81899e-12 5.45697e-12
-34.9773 -77.6143 | -0.840044 0.0945802 | 5.45697e-12 -7.27596e-12
-19.4882 63.7774 | 0.391404 -0.0698606 | 13.2183 34.6478
56.8821 58.2885 | -0.12218 -0.224885 | 2.18847e-12 -1.57456e-11
-41.8149 -69.8827 | 0.306181 0.086196 | 3.69482e-13 4.54747e-13
-21.8262 -17.6542 | 0.661408 -0.440877 | -69.3129 -1655.84
-62.1769 -20.0074 | 0.226111 0.539056 | 243.321 285.23
-62.9444 8.30744 | 0.303982 0.694009 | -2.09184e-11 -1.27329e-11
12.0415 -59.2458 | -0.25281 0.585064 | -188.67 -310.926
6.24768 -47.6907 | 0.83208 0.352497 | 230.39 288.89
-47.2041 6.3588 | -0.224035 0.426875 | -5.32905 11.4052
15.9011 60.8944 | 0.277884 -0.347456 | -0.0193068 -1.67282
-70.6084 29.6286 | 0.440569 0.421086 | 2.76437 -6.8395
-19.7986 91.0357 | -1.10962 -0.0253097 | -712.321 1508.61
-27.0286 -56.4 | -0.124638 0.0949994 | -20.4741 30.825
-46.9226 37.3916 | 0.103878 0.218945 | -310.517 -2526.97
64.693 -60.0276 | 0.488387 0.373359 | -3.63798e-12 -6.36646e-12
49.0596 -8.97432 | -0.531764 0.465872 | -108.644 -808.655
69.0872 -29.4607 | -0.103088 0.259858 | -149.687 170.257
45.436 -57.5268 | 0.220891 0.701296 | -3.86535e-12 -1.45519e-11
-40.575 34.4312 | -0.00483044 0.501014 | 9.09495e-12 2.72848e-12
-36.6983 72.0519 | 0.270006 0.0418255 | 249.64 874.168
-36.4476 81.3472 | -0.316874 -0.0856473 | -65.6746 24.8624
45.7794 -73.8407 | -0.306171 0.393228 | -2.72848e-12 4.43379e-12
29.5499 75.603 | 0.345432 0.176998 | -1.60298e-11 7.04858e-12
-21.8602 -5.17299 | 0.101556 -0.368193 | 645.672 5312.39
-12.6365 -83.7538 | -0.617461 -0.0971937 | 1.36424e-12 -2.27374e-12
24.9498 -32.1129 | 0.101149 0.371145 | -5.45697e-12 1.09139e-11
42.7186 -45.8754 | 0.232761 0.0178445 | 125.27 190.971
-77.459 8.83023 | 0.0777579 -0.419104 | -6.36646e-12 5.00222e-12
67.6526 50.0829 | -0.205934 -0.146029 | -9.09495e-13 1.09139e-11
10.3558 -86.5977 | -0.384821 0.220966 | 1738.52 -4102.82
-10.2277 28.7183 | -0.0213111 0.112531 | -634.062 -601.471
48.7215 2.69604 | -1.16451 -0.154566 | -510.803 -797.081
57.5316 -36.0091 | 0.519799 0.104707 | 345.439 -558.187
42.3585 45.8112 | -0.433288 -0.124921 | 0.36369 3.637
-23.9205 49.3134 | 0.844774 -0.494983 | 0 -7.7307e-12
-64.588 -18.2822 | 0.3407 0.370589 | -155.302 90.3618
-27.2608 -85.29 | -0.403702 0.0954204 | 173.657 562.86
-53.3826 26.4483 | 0.0397501 -0.0840128 | 85.0416 -75.9877
40.7979 11.4874 | 0.793639 -0.00910886 | -233.386 841.858
18.874 -43.5117 | 0.232779 0.14348 | 0.111534 1.8754
80.7781 13.042 | 0.224551 -0.594354 | 110.634 393.706
70.3863 37.2216 | -0.25954 -0.241266 | -3.82261 -12.8359
45.0673 -51.4086 | -0.0883808 0.914826 | -248.4 -303.141
82.9586 -36.867 | 0.358246 0.583336 | 1020.08 2.67913
-28.4159 70.9001 | -0.360975 -0.243435 | -3632.16 1585.69
10.8403 27.621 | 0.232453 -0.125621 | 542.687 1317.01
-72.6815 23.5854 | -0.383096 -0.374157 | 7.27596e-12 -1.36424e-12
-4.3761 -78.9968 | 0.396361 0.390917 | -1996.89 2975.31
35.6925 -54.195 | 0.42304 0.589101 | -230.501 -290.765
50.7502 11.2903 | -0.818349 0.102126 | -6.82121e-12 -1.36424e-12
54.857 69.112 | 0.376152 -0.146207 | -1.77351e-11 6.36646e-12
51.8046 60.6173 | -0.202925 0.385278 | -230.018 -1244.53
28.8771 -83.6039 | 0.0534783 -0.114681 | 3.96715 28.469
52.9717 50.3282 | -0.102417 -0.26347 | -15.9266 -22.1312
-68.4767 -5.63846 | -0.0529999 0.540725 | -0.779022 0.795054
-34.305 11.8032 | 0.882225 -0.0731522 | -1.47793e-11 7.38964e-13
-47.0455 -40.4969 | -0.437491 0.112027 | -7.1051 19.2412
-42.2245 60.4017 | 0.252611 -0.629958 | 7.27596e-12 -1.27329e-11
31.8112 83.7504 | -0.440615 0.108192 | 4.54747e-12 -1.81899e-12
-67.754 39.5405 | -0.305666 0.164559 | 3.08213 -25.1341
63.1634 -18.497 | -0.311062 -0.526827 | -202.07 373.769
46.5166 -5.51065 | 0.205521 0.00285151 | -80.6469 314.093
-26.3425 26.9394 | -0.0764326 -0.336134 | 299.755 307.807
-7.2684 96.1727 | -0.177517 -0.291222 | -38.4344 387.312
-50.4881 -54.2775 | 0.453105 0.0338774 | 226.052 -369.168
12.4699 -78.5199 | -0.0287398 0.541585 | 4.54747e-12 1.36424e-11
24.6124 9.00709 | 0.210346 0.461787 | -4.20641e-12 7.27596e-12
21.5016 33.7789 | 0.14715 -0.348029 | 3486.52 6735.79
50.0009 63.4111 | 0.490528 -0.281521 | 24.1789 740.09
30.0239 85.8748 | -1.05469 -0.1158 | -3.63798e-12 -1.36424e-11
28.207 -89.1718 | -0.721054 0.261704 | -1.63709e-11 1.36424e-12
21.528 -16.4493 | 0.681183 0.296216 | 3.41061e-12 1.13687e-12
-18.6069 -0.603061 | 0.0993481 0.380686 | 1.18234e-11 -2.72848e-12
94.9527 4.12362 | 0.0642298 -0.192002 | 1.81899e-12 1.09139e-11
-43.1144 -72.0729 | -0.603753 0.400781 | 1.94404e-11 -1.18234e-11
-39.8234 78.5238 | 0.168697 0.342813 | 540.996 1692.28
-22.8258 -93.7563 | -0.415743 -0.417583 | 1.09139e-11 -7.27596e-12
-0.0737962 -38.2715 | 0.221138 0.593321 | -198.025 -446.753
-63.5544 -13.7899 | 0.888345 0.536797 | 1287.67 -453.016
-22.7876 6.36166 | 0.559282 -0.0901522 | -36.6357 49.3542
-56.5461 -21.7919 | -3.18332e-05 0.0959497 | -9.09495e-13 -9.09495e-13
-76.3953 -18.6547 | 0.435736 -0.309765 | -1287.67 453.016
-95.6113 -5.26629 | 0.489085 0.0381328 | 1.20508e-11 1.81899e-12
2.67102 52.7406 | -0.135459 0.299534 | -2578.22 1766.1
77.1839 1.35766 | -0.386509 -0.589143 | -26.006 -44.8472
-65.225 -56.0637 | -0.22468 -0.187557 | -9.09495e-12 -8.18545e-12
-25.0735 84.6095 | 0.0763067 0.117128 | -67.5439 134.858
-0.300599 1.45276 | 0.343635 0.057632 | -2098.98 -4985.93
-73.1248 8.256 | -0.349019 -0.813219 | -1.81899e-12 -2.72848e-12
51.6065 38.6735 | 0.1948 -0.329827 | -8.6402e-12 4.54747e-12
-42.7578 -77.5558 | -0.0669109 0.160032 | -263.545 712.333
70.6282 39.536 | -0.105034 -0.508336 | 3.45892 9.19892
56.7677 -30.048 | 0.344516 0.348732 | -221.046 -1387.64
-76.1492 3.3666 | 0.371135 -0.716349 | 1.81899e-12 -5.00222e-12
71.9393 -5.91592 | -0.48026 0.0451518 | 422.286 693.177
