-27.8229 31.8164 | 0.305618 0.217423 | 176.572 -266.346
-42.9656 63.014 | 0.335797 1.79813 | 4.54747e-13 2.95586e-12
-53.6272 -19.2094 | -0.495696 -0.511214 | 296.906 -2363.78
6.53201 87.2039 | 0.0792567 2.48662 | 2.61697 133.997
-16.7166 83.1708 | 0.527562 1.88181 | 22.3585 -1584.86
74.2734 7.4745 | 2.24415 0.0306021 | -3.18323e-12 2.27374e-13
-7.75274 -71.4679 | 1.29336 -1.39915 | -539.828 -438.877
30.5413 63.3513 | -0.456232 0.303642 | 8.63703 -14.0191
56.2773 34.5583 | 0.739315 1.19885 | 4762.14 8826.24
81.6675 -16.1802 | -0.285818 -0.144246 | 77.0833 -515.774
-48.3506 -52.0899 | 0.0605614 -1.90379 | 109.121 1007.23
-49.8959 -64.8253 | -0.912315 -1.73334 | -4.54747e-13 2.27374e-12
-48.6333 -42.2756 | -0.777543 -0.788795 | -79.9126 -167.049
24.3119 71.2763 | -0.65507 1.33387 | 86.9852 -475.218
6.66399 9.0819 | -0.00341198 -1.03079 | -315.358 -2564.96
-50.2859 55.4612 | -0.669533 1.26524 | 2352.55 2376.32
44.3035 -35.9045 | 0.572452 -0.43508 | -1469.55 2495.75
-2.95633 -3.57755 | 0.663265 0.112051 | 4050.54 1927.25
58.8403 18.3036 | -0.216724 0.680745 | -182.08 258.155
49.423 15.5837 | 2.7171 0.900005 | -881.719 605.966
8.19262 76.9096 | -0.35496 1.51169 | 22.0099 192.782
19.4694 -14.1717 | 0.194268 0.0693155 | -8.91302 -55.0804
-64.0518 53.8352 | 0.53701 0.388919 | 126.662 326.305
-53.5807 26.8165 | 0.152066 0.90173 | 828.656 1156.67
-55.2303 0.44271 | -0.433002 -0.24671 | 3376.73 -7468.64
57.6508 52.9335 | 0.289407 1.96221 | 4227.56 1585.41
67.6663 -35.7486 | 1.38061 -0.614069 | -2359.49 -4943.84
15.7736 2.99285 | -1.4179 1.22403 | 2863.95 -7291.3
46.7732 35.2754 | 0.200345 0.865863 | -887.243 1811.92
68.0129 -32.9852 | 0.389686 -0.735297 | 2359.49 4943.84
0.0993436 -74.4588 | -0.149206 -1.57257 | 950.026 3564.41
17.6357 47.887 | 0.905858 0.352654 | -2009.63 2757.74
-10.8932 -50.8015 | 1.47757 -0.439641 | -1929.25 -376.808
9.32428 -90.9349 | -2.10553 -0.128056 | 235.393 630.573
66.7788 -43.213 | -0.659674 -0.105543 | -148.841 -734.371
-27.1222 3.71119 | -2.13412 0.192689 | -74.937 -127.611
-77.6394 -15.2566 | -1.41246 -0.0718021 | 2627.1 2204.48
-11.9299 43.8339 | -0.869069 -0.0544959 | -2.72848e-12 2.27374e-12
87.8219 16.7728 | -0.124431 0.479127 | 1385.95 821.847
63.4886 19.5141 | 1.68592 0.370272 | 293.16 -1452.43
-30.6982 58.5105 | -0.0853094 2.10643 | -399.724 7744.52
-61.6633 37.709 | 0.120285 0.994597 | -175.974 -76.8395
-59.0407 39.477 | -0.192462 0.646315 | -8.94189 363.872
64.335 64.2699 | 0.618245 1.03948 | -1.04592e-11 -1.59162e-11
59.9265 -51.8986 | 1.01649 -0.803214 | -718.656 556.924
-45.9716 83.5565 | -0.211969 1.45224 | -302.991 -152.988
71.7968 38.2051 | -0.256007 0.288815 | 8.1249 -5.60443
9.70887 -41.6083 | -1.00096 -0.860976 | 30.962 275.608
9.42937 93.4766 | -0.883274 0.448424 | -377.411 -505.042
-15.8607 12.3034 | -0.343181 -0.220215 | 1830.14 9050.16
20.7652 -60.3534 | 0.691645 -1.57423 | 64.1348 260.683
56.138 29.9786 | 0.64077 0.475377 | 1513.62 3300.02
64.7323 -46.0895 | -0.840843 -1.08588 | 99.7852 996.123
-8.11477 96.2923 | -0.230036 0.802538 | -329.776 2467.51
81.2627 -12.5161 | 1.60386 -0.746361 | 193.397 1501.95
20.6897 -57.3286 | -0.112361 -1.22752 | 5.00222e-12 -1.81899e-12
65.2074 27.0414 | -1.4461 0.567843 | -1656.84 -3889.3
41.0753 4.64692 | 0.937861 0.317913 | 96.6207 5105.85
-72.5693 -25.7755 | 0.572696 0.138618 | 1073.04 -1611.86
56.8849 16.4907 | -0.816598 0.708503 | 1168.6 724.102
