-24.9125 46.669 | -0.516484 -0.909612 | -2.72848e-12 -3.63798e-12
-9.32842 8.1073 | 0.329183 0.108713 | 8.6402e-12 7.7307e-12
-69.5307 -11.2411 | 0.618382 -0.151864 | -15.3417 423.073
-69.8012 -29.8513 | 0.352046 -0.502579 | 1.00044e-11 -9.09495e-13
33.9058 18.624 | 0.0298714 0.227675 | 0 3.12639e-12
15.1143 48.0334 | 0.147705 -0.367792 | -4.59736 -3.06768
14.3554 81.7599 | 0.169691 0.546154 | 3.63798e-12 4.54747e-12
77.1512 -37.2553 | 0.481857 0.522502 | 353.774 313.719
50.3329 -9.1871 | -0.12964 -0.0143557 | 0 -5.20117e-12
-43.4655 33.2637 | -0.212781 0.0621542 | -16.0744 28.7996
8.76443 -45.4529 | 0.0226006 0.0446448 | 7.27596e-12 3.63798e-12
40.2831 64.9036 | -0.243951 -0.186052 | 1.27329e-11 6.36646e-12
-60.7637 7.58419 | 0.24744 0.731235 | 17.4936 -503.896
-24.561 71.9743 | 0.347462 -0.468778 | -5.45697e-12 7.21911e-12
31.1061 -23.1353 | 0.00090509 0.56106 | 23.9225 -52.8397
-49.1129 -13.9622 | 0.945694 0.380941 | -276.929 -764.672
-76.6337 -11.9232 | -0.456493 -0.273063 | 13.8723 -7.04167
-13.3645 42.7517 | -0.555265 -0.0510129 | -558.966 945.873
4.33167 18.3457 | 0.362988 0.386489 | -1299.95 2604.72
-14.9412 23.2002 | -0.641309 0.77205 | -63.1164 121.607
-60.8552 52.8241 | 0.0198998 -0.355291 | 545.913 -294.401
-71.1656 -27.0411 | 0.413632 0.461282 | 278.579 -861.927
-38.7045 -70.1925 | 0.105285 -0.0729762 | 0 4.54747e-12
-29.8961 68.5831 | 1.02492 -0.0838406 | -1.45748 37.226
21.2677 48.0394 | 0.932356 0.464856 | -6.00891 -82.7844
72.278 41.3042 | 0.0859198 -0.535977 | 618.285 507.158
46.8401 -35.907 | -0.140516 0.0194753 | -415.902 308.137
-8.58773 -27.8773 | -0.130734 -0.194188 | -23.9225 52.8397
41.5517 62.4087 | -0.201673 -0.760469 | 1.25056e-12 -1.02318e-12
49.3339 8.5943 | -0.414048 0.829724 | 1451.59 -5359.25
16.4743 -89.7224 | 0.340898 0.669379 | -95.1821 -299.766
52.5222 2.58326 | 0.480925 -0.425074 | -2602.57 1853.79
-68.7128 -15.1046 | 0.848964 0.3705 | 21.9835 -38.0085
-29.8314 -69.3409 | 0.0157159 0.269749 | 8.83665 90.5573
59.4263 51.8178 | -0.208365 -0.465573 | -5.45697e-12 -9.54969e-12
-60.3727 2.33197 | 0.470512 -0.113813 | 363.072 155.698
-12.2281 46.5071 | -0.470601 -0.285314 | -96.0226 174.898
-67.2425 9.51568 | 0.240719 -0.523974 | 1.36424e-12 7.7307e-12
-37.6966 -8.42696 | 0.884344 -0.249771 | -7.7307e-12 4.54747e-12
42.6306 -63.9509 | 0.126713 -0.0141298 | 20.2995 -57.0707
10.911 88.6628 | 0.0664781 0.15 | -1.18234e-11 4.54747e-12
19.7409 -50.2029 | 0.260035 0.240225 | 14.5732 90.9666
49.6033 -60.875 | -0.0858931 0.389757 | 235.803 -795.673
-70.0852 55.3475 | -0.408491 0.423125 | 1.63709e-11 -5.45697e-12
-7.02579 -4.22845 | 0.325044 0.17764 | 1630.6 -12096.6
-3.49932 -56.7206 | 0.0121831 -0.133294 | -18.6208 298.721
-28.0013 -81.7331 | -0.0254063 0.293571 | -2.54659e-11 1.54614e-11
-68.1106 -34.4898 | 0.256362 -0.475811 | -1.81899e-12 2.72848e-12
71.407 -40.7768 | 0.0529316 -0.279515 | -326.411 -299.643
13.0595 -8.36493 | -0.431155 0.0910959 | -1316.03 5870.07
-46.2466 -57.3406 | -0.388204 -0.310756 | 1.05729e-11 -1.75078e-11
67.4347 51.8716 | 0.264276 -0.670489 | -4.54747e-13 1.95541e-11
-37.2785 46.276 | -0.0502027 -0.0997693 | -2.72848e-12 3.18323e-12
-64.3193 32.1414 | -0.0550102 0.354767 | 4161.45 -4368.56
60.0014 6.76295 | -0.488742 0.434531 | 297.38 568.729
-27.4042 -75.6822 | -0.117364 0.012372 | 10.4238 37.8934
65.6688 -34.8105 | -0.133628 -0.71782 | 393.589 -363.629
