-79.092 31.4572 | -1.40991 -0.358571 | -2.72848e-12 -3.46745e-12
-0.794398 74.4615 | 0.32032 0.770858 | 1.36424e-12 -9.09495e-13
62.8185 43.1894 | 0.326841 0.699412 | 1.93268e-12 3.52429e-12
59.1675 23.8766 | 0.472401 0.12824 | 6.36646e-12 4.09273e-12
58.2703 17.3248 | 0.608563 0.730138 | -7.95808e-13 7.95808e-13
-64.6152 -44.6105 | 0.318711 -1.13766 | -1.04592e-11 -3.41061e-13
36.2996 -3.31982 | 0.171623 -0.285769 | 3.6395 -2.11471
-72.3667 -34.7823 | 0.0144703 0.0357556 | -7.27596e-12 -1.00044e-11
34.3725 -33.939 | 0.429064 -0.676514 | -25.4263 1184.45
36.9819 81.1152 | 0.272816 0.0227482 | 114.219 -520.112
78.9449 -18.0105 | 0.391628 -0.0636541 | -541.553 -311.253
-63.2874 -3.99836 | -0.807856 0.79638 | 4.09273e-12 6.36646e-12
-23.8448 -72.3006 | -0.123449 -1.44996 | -4.54747e-13 2.44427e-12
-39.5489 17.7623 | 0.502349 1.33603 | 2.72848e-12 3.18323e-12
-24.5652 0.42455 | 0.33615 -0.129543 | 9.09495e-13 3.18323e-12
13.6418 -87.4253 | -0.850873 0.702627 | -1.43245e-11 3.41061e-12
-57.7741 30.0705 | -0.698595 0.359301 | 103.341 -654.292
