-17.8224 72.9925 | -0.139148 -0.450583 | 19.6593 -146.943
-48.3982 40.3327 | -1.60461 0.361504 | 1.81899e-12 -2.27374e-13
-32.4469 -77.8056 | -0.763889 0.691875 | 503.072 -1583.06
-26.7356 75.3948 | 1.16312 -0.100029 | -238.627 -713.303
24.5512 77.9052 | 0.978081 0.363541 | -1.81899e-12 -7.10543e-12
33.7301 -70.1598 | 0.604699 -0.201655 | 1.02318e-12 -7.27596e-12
81.0319 -30.0469 | -0.526029 -1.39737 | -1.59162e-11 -3.18323e-12
-53.6899 26.1991 | -0.28141 0.443986 | -2.50111e-12 5.00222e-12
-49.8154 -76.0311 | -0.530872 -0.0179305 | 95.5461 -260.559
-7.32824 7.15003 | -0.5703 0.162351 | 916.739 -1191.45
58.3718 -62.4021 | 0.733361 0.724903 | 2.72848e-12 6.36646e-12
59.8911 45.5106 | 0.351824 -0.113406 | -9.09495e-13 3.18323e-12
34.388 26.0066 | 0.267694 -0.292922 | -1.36424e-12 -2.72848e-12
53.8878 62.8378 | -0.417022 0.418803 | 137.65 157.465
-53.2866 -38.555 | 0.194562 -0.642077 | 4.09273e-12 -2.49578e-13
-2.60616 71.7731 | 0.33392 -0.374218 | -5.45697e-12 9.32232e-12
35.4649 -63.8994 | 0.897052 -0.301996 | -579.238 2714.97
-57.8861 51.5511 | -0.205368 -0.200597 | 9.72022e-12 9.09495e-13
-48.5007 79.0809 | -0.286791 -0.796223 | -2.95586e-11 2.6148e-12
-46.6486 -80.8018 | 0.393407 0.811217 | -1.81899e-12 -1.09139e-11
