-17.6256 79.7866 | -0.928843 0.523606 | -3.63798e-12 -9.9476e-13
-38.3715 44.2308 | 0.335083 -0.262249 | -664.593 -2185.45
-31.6106 -77.3166 | 0.9792 0.475109 | 90.7246 -242.691
-25.16 78.4651 | -0.968185 -0.301226 | -162.507 843.973
33.7137 78.8672 | -0.382411 -0.229833 | -1251.27 -2386.8
35.7748 -74.0207 | 0.231141 -0.725779 | 1.36424e-12 -2.72848e-12
81.6406 -30.8324 | -1.11914 0.349124 | 675.095 -344.81
-50.4677 21.9111 | -0.172881 -0.432429 | -8.6402e-12 3.75167e-12
-58.058 -71.0966 | -0.515071 -0.888135 | -4.09273e-12 -9.09495e-13
-17.973 -4.27931 | 0.433563 -0.870175 | -310.846 -1115.79
48.8793 -49.6747 | 0.220513 -0.0431416 | 1.09139e-11 3.18323e-12
64.6752 44.9573 | -0.241402 -0.221895 | 3.86535e-12 5.00222e-12
41.735 40.5302 | -0.416545 0.456449 | 1.81899e-12 -2.72848e-12
64.5724 64.5402 | -0.0333683 -0.254398 | -4.77485e-12 6.82121e-12
-40.5756 -41.3198 | 1.38146 0.56187 | 998.526 -1551.29
-6.88121 81.0576 | -0.265642 -0.179808 | 0 -2.95586e-12
53.2824 -65.0937 | 0.503242 0.101483 | -8.18545e-12 4.09273e-12
-52.2019 47.5562 | 0.730813 0.0302785 | 664.593 2185.45
-39.0639 74.7501 | -0.0158226 0.00908017 | 162.507 -843.973
-40.3978 -84.4975 | 0.682531 -0.118835 | -1.36424e-11 1.63709e-11
