39.6146 -18.6385 | 1.09759 -0.178503 | 696.786 -530.876
-15.7972 -18.9873 | -0.163541 -0.20779 | -39.8836 -4013.63
-56.1298 31.4465 | -0.757884 0.720883 | 228.884 135.613
30.9622 66.8794 | 1.40783 0.787741 | 0 -2.27374e-12
-28.0034 -3.15494 | -0.433007 -0.20811 | 17.9159 -172.401
40.528 -85.6732 | 0.388223 -0.557541 | 1120.76 996.353
56.7096 -71.2072 | 0.680689 -0.519094 | 1.18234e-11 -9.66338e-12
-29.7818 -26.379 | 0.0102383 1.24574 | 9.77707e-12 3.86535e-12
-52.0556 18.0883 | -1.33527 0.892529 | -3.18323e-12 -3.06954e-12
-60.9692 72.0118 | -1.52738 1.70136 | 272.13 -596.884
-50.4804 50.7347 | -0.551594 1.44444 | -5.96856e-13 -3.41061e-12
-69.733 -23.3675 | 0.00100444 0.275671 | -321.561 407.774
39.4519 -56.0745 | -0.116225 -1.20863 | -77.3962 -642.701
69.0779 -59.4894 | 0.769881 -0.692383 | 7.27596e-12 2.50111e-12
-19.7393 5.45785 | -0.474812 0.0277962 | -17.9159 172.401
-68.0388 -35.9234 | 0.794883 -0.568803 | -2522.13 3443.86
