-11.9944 -52.5533 | 0.229129 -0.343554 | 5.91172e-12 -4.09273e-12
68.4582 11.67 | -0.156644 -0.342404 | -5.45697e-12 1.3415e-11
-69.8745 25.2709 | 0.771337 -0.113705 | -15.813 -270.789
-1.58535 -63.4428 | -0.229042 1.10784 | 3.63798e-12 -1.59162e-12
-89.1729 13.7859 | 0.236227 -0.04373 | 3.63798e-12 2.95586e-12
-8.69267 87.5935 | -0.696577 -0.110093 | 8.6402e-12 -5.22959e-12
51.3333 55.8281 | 0.155126 0.766555 | -75.5693 -449.15
69.4441 25.6926 | -1.11181 -0.650143 | 7.95808e-12 -7.27596e-12
64.4087 25.4944 | -0.226778 -0.488645 | -3.86535e-12 -9.09495e-12
-53.9627 -52.7201 | 0.741996 -0.37704 | 7.27596e-12 5.11591e-12
34.9833 -13.4611 | -0.556395 -0.724914 | -315.13 152.293
-55.9542 -40.7903 | 1.03493 -0.481341 | -9.74865e-12 2.72848e-12
31.6535 -57.8466 | 0.0392571 0.4691 | -6.82121e-12 6.36646e-12
43.801 83.0634 | 0.230406 0.454304 | -12.8028 -122.489
86.0529 -25.1112 | 0.533496 0.230547 | -5.63105e-12 4.54747e-12
-61.5358 -5.8183 | 0.620467 0.00830329 | 1.81899e-12 0
-32.8379 -77.9513 | -0.305926 0.271132 | -620.619 786.091
-28.268 31.1412 | 0.0193679 0.296035 | 5.91172e-12 5.45697e-12
-29.0229 6.71233 | 0.146537 0.0576434 | 3.86535e-12 -9.09495e-13
14.7092 -89.6297 | 0.0237008 0.612308 | 5.45697e-12 2.16147e-11
-53.0511 37.7393 | 0.384983 0.345007 | 15.813 270.789
