42.0065 3.03305 | -0.610127 0.26806 | -787.58 -1502.03
-69.5297 -21.0609 | 0.177154 -1.93245 | 0.0670147 -1.24404
26.3385 -23.3445 | -0.213167 -0.123808 | -1837.81 -4856.28
20.1632 58.4373 | -0.418408 1.21219 | 2082.42 -3091.91
60.6942 -21.1032 | -0.0302583 0.380384 | 1200.94 6071.74
-50.0081 -9.77748 | 0.21274 0.859991 | -50.3149 -1006.74
-23.4293 -53.2951 | 0.537738 -1.10072 | -816.868 1758.68
-48.9954 10.2265 | -0.185061 0.312331 | -1.13687e-12 -9.37916e-13
-6.21925 -0.595467 | -0.758424 0.305808 | -2018.4 5086.18
18.8836 -69.3949 | 0.33508 0.673772 | 78.2366 -381.26
-52.2442 19.9423 | -0.13406 0.777294 | -71.3725 68.4728
