57.9622 -36.012 | -0.297249 -0.0436755 | -2.67164e-12 -7.7307e-12
20.9613 35.7256 | 0.172292 0.325842 | -50.731 29.7049
46.6916 -14.478 | -0.0299054 -0.191486 | 4.54747e-13 5.34328e-12
3.05347 -16.5917 | 0.463446 -0.162647 | -3.63798e-12 -2.38742e-12
59.1923 -27.3737 | 0.113859 -0.0199583 | 8.18545e-12 8.52651e-13
-12.439 -24.0191 | -0.0193641 0.0880349 | -1.81899e-12 5.22959e-12
-42.9232 36.0734 | 0.617757 -0.283926 | -104.013 -91.7321
65.5678 66.9949 | 0.675074 -0.407768 | -24.6415 -11.9368
-49.5834 -12.4565 | 0.185193 -0.104889 | -136.288 -281.449
52.1575 -80.6768 | 1.24554 -0.16885 | 1.54614e-11 2.09184e-11
74.9457 -53.0165 | 0.31517 0.0113141 | -1.36424e-12 -1.68541e-11
-20.9064 -31.211 | 0.281554 -0.063517 | 1.00044e-11 1.22782e-11
-60.0583 24.0464 | 0.0206235 -0.446418 | 1.81899e-12 -6.9349e-12
-64.0132 63.7425 | -0.262811 -0.141682 | -74.0643 1067.69
-26.0878 61.627 | -0.510448 0.160958 | 335.137 -891.133
-67.9877 -17.5658 | 0.203288 -0.800921 | -9.09495e-12 -1.09139e-11
35.231 -65.5197 | -0.367206 0.0606009 | -3.63798e-12 -9.09495e-13
84.3434 -34.0104 | 0.569563 0.0325734 | -7.95808e-12 -9.09495e-13
-30.3084 -4.42293 | 0.974616 -0.333477 | -4.54713 35.5575
-77.1942 -28.7505 | 0.588757 0.223655 | 2.72848e-12 2.22826e-11
