-74.502 0.484516 | -0.466175 0.460468 | 1.13687e-12 1.27898e-12
-70.46 -27.591 | 0.114351 0.194719 | 8.75389e-12 1.09139e-11
53.4038 21.0761 | -0.593431 0.373085 | -269.741 -2581.81
10.9708 42.3057 | -0.884964 0.2319 | 1.76215e-12 -5.68434e-13
-6.62966 82.7888 | 0.5703 -0.236546 | -45.7648 26.0087
72.9611 -39.7684 | -0.721762 -0.809172 | 934.424 -824.395
57.6315 -1.60353 | -1.13441 -0.0195848 | 50.0991 -359.075
-42.3657 42.5313 | 0.0771024 0.419498 | -26.1572 76.6515
6.64441 -48.2685 | 0.698956 -0.0851721 | 56.5722 152.221
23.04 70.9805 | 0.709144 -0.285712 | -6.18415 9864.68
-61.1 21.7173 | -0.720264 0.724427 | -201.012 320.234
-33.8608 73.8022 | -0.819489 0.0135783 | -785.015 1253.64
38.7715 -9.66351 | -0.395083 -0.154334 | -279.049 1057.54
-53.8868 -13.6089 | 0.854846 -0.533081 | 67.862 282.872
-76.4155 3.69215 | -0.734899 0.129389 | 52.7442 -190.832
-11.7474 41.23 | -0.331207 0.436389 | 30.4169 46.9149
9.78597 11.1268 | -0.489912 0.542689 | -110.94 649.782
-33.9853 15.3748 | -0.232904 0.491511 | 94.1196 121.125
-56.7768 64.8471 | 0.794644 0.449179 | -5.355 -28.4932
-75.5954 -23.4975 | 1.19813 -0.184854 | -51.6555 -120.779
-51.3976 -71.2785 | 0.470397 -0.322559 | -8.18545e-12 -1.09139e-11
-41.0576 71.2834 | -0.889845 -0.335164 | 267.712 -582.049
23.405 47.3779 | 0.0401957 0.332664 | 211.03 -1201.57
56.5594 61.4298 | 0.308697 0.17206 | -85.9803 873.084
43.24 -36.7813 | -1.25042 -0.277166 | -2.72848e-12 -4.54747e-13
-2.28241 -24.4098 | -0.120419 -1.45884 | 9.9476e-14 2.70006e-13
26.1388 70.4657 | 0.234179 -0.65326 | 1638.65 -10183.7
74.8773 20.1743 | -0.855306 -0.201457 | -29.156 -113.297
16.1018 -90.8328 | -0.821381 0.278989 | 1077.08 -1681.01
77.0548 9.0897 | 0.0695548 -0.204115 | -39.1706 -51.9434
-87.3672 -4.58367 | 0.328583 -0.738515 | -566.312 713.667
-44.5836 -74.5183 | -0.75818 -0.498081 | 7.27596e-12 -1.45519e-11
49.2061 67.2943 | 0.218877 0.493459 | 640.612 -341.903
-65.765 13.0178 | 0.376835 0.0679033 | -99.9732 -113.547
-10.9006 44.293 | 0.0651319 0.561709 | 5.45697e-12 3.18323e-12
-63.5863 26.8275 | -0.249429 0.226492 | -75.8679 67.6502
-40.4051 -11.0221 | -0.0346479 0.148283 | 56.8244 533.089
