-64.4586 24.6268 | 0.0337034 -0.27414 | 1.18234e-11 6.36646e-12
-16.2405 -59.3519 | -0.727136 0.146799 | 6.36646e-12 1.36424e-11
-91.7137 7.79604 | 0.147257 0.575991 | 3.63798e-12 -1.81899e-11
-5.5706 84.7886 | 0.323794 0.044533 | -2.27374e-12 4.94538e-12
59.6761 48.3872 | 0.0130402 -0.0156184 | 2.27374e-12 -5.22959e-12
66.1939 17.561 | 0.269903 -0.463409 | 6.59384e-12 -1.00044e-11
46.1332 19.2668 | -0.272997 0.20577 | -3.86535e-12 2.04636e-12
-41.1484 -49.7569 | 0.177655 0.28743 | 9.09495e-13 3.63798e-12
21.378 -9.58935 | -0.204762 -0.0235505 | 7.56017e-12 -6.36646e-12
-60.9628 -34.9067 | 0.564954 0.782985 | 7.27596e-12 -1.40972e-11
20.6592 -50.7746 | 0.138428 -0.024047 | 31.61 -84.4482
44.7874 81.281 | 0.049374 0.237888 | -1.22782e-11 1.81899e-11
80.9395 -24.2311 | -0.306404 0.842289 | -3.63798e-12 4.54747e-12
-50.7808 -2.60207 | 0.444438 -0.554736 | -3.52429e-12 9.09495e-13
-43.9972 -73.5403 | -0.114478 0.425173 | -421.097 -632.76
-31.0164 29.5527 | -0.533069 -0.00535471 | -9.09495e-12 -2.27374e-12
-29.4097 1.92336 | -0.335468 -0.214788 | 2.50111e-12 -5.57066e-12
24.2798 -87.3039 | -0.305796 -0.67271 | 1.09139e-11 -3.63798e-12
-46.4534 35.9878 | 0.233144 0.0467869 | -570.57 338.22
