-13.4864 -59.4326 | -0.387204 -0.236997 | 3.63798e-12 -2.72848e-12
-92.5669 4.57947 | 0.225577 0.773557 | 7.27596e-12 0
-5.93046 85.1346 | -0.0803088 0.0550818 | 0 5.22959e-12
59.6781 49.3324 | -0.0120114 -0.497202 | 1.36424e-12 3.63798e-12
65.1003 19.6611 | 0.161157 -0.786217 | -9.09495e-13 -1.36424e-12
47.3111 17.4637 | -0.252831 0.55769 | 6.36646e-12 -1.36424e-12
-42.5475 -50.0589 | 0.379509 0.380328 | 0 -3.63798e-12
21.0889 -9.69852 | 0.418392 0.325426 | -9.09495e-13 6.59384e-12
-62.0285 -37.2597 | -0.407455 -0.125135 | 26.9476 63.8637
20.3492 -51.8426 | 0.021896 0.619932 | -4.54747e-13 -1.10276e-11
45.3614 81.4938 | -0.0446234 -0.0759797 | 8.18545e-12 -3.63798e-12
82.7922 -25.985 | -0.366944 -0.00983662 | 4.54747e-12 1.36424e-12
-53.6527 -1.09422 | 0.793623 -0.0179604 | 26.0113 -26.4271
-43.4963 -73.7016 | 0.082088 0.0686912 | 6.82121e-12 7.7307e-12
-27.5086 28.2127 | -0.794467 0.177914 | -21.6256 50.4091
-27.1456 2.66392 | -0.57511 0.329151 | -158.369 688.391
24.986 -86.347 | -0.00139092 0.162091 | 1.27329e-11 2.95586e-12
-46.3882 35.9026 | -0.159613 0.175019 | -789.371 1099.7
