-9.85979 7.58587 | 0.0350679 -0.0985759 | 30.3772 -77.744
-71.1288 -12.0916 | -0.254338 0.303699 | 1655.87 -697.734
-70.8273 -29.6978 | 0.336525 -0.260268 | -3.06271 -139.864
33.0284 17.8957 | 0.398434 -0.232858 | 108.391 179.712
12.6106 48.322 | -0.0597352 -0.409946 | 1352.93 -1237.27
13.7331 80.9362 | 0.295549 -0.392791 | 227.566 -352.052
74.1859 -37.4485 | 0.260558 -0.289425 | 2229.29 -2140.66
51.5041 -10.7924 | -0.103019 0.23229 | -2054.56 1281.31
-42.7113 32.7666 | 0.321262 -0.422858 | 254.842 -330.997
7.70596 -46.6771 | 0.371073 0.700473 | 380.078 -908.635
39.7961 67.7652 | 0.169931 -0.307646 | -180.744 -293.028
-61.2396 7.55859 | 0.109345 -0.680097 | -1.5774e-12 1.45519e-11
-27.1529 72.1692 | 0.58876 0.289861 | -4.54747e-12 1.40972e-11
31.307 -25.6104 | 0.179548 0.87354 | -383.551 -953.499
-52.2681 -15.1821 | 0.0625646 0.304435 | 270.26 -28.9056
-75.0227 -11.9923 | 0.665209 -0.187587 | -1655.87 697.734
-13.0782 44.8894 | 0.0750164 -0.199279 | 0.296197 -0.576557
1.93048 16.489 | 0.595981 -0.0931402 | -101.155 1518.83
-13.1983 21.9103 | -0.0025116 0.191981 | -1.81899e-12 -3.63798e-12
-60.9222 51.806 | 0.00283888 0.230141 | 7.7307e-12 -1.81899e-12
-71.8704 -27.872 | -0.718828 0.192457 | 3.06271 139.864
-36.9935 -69.9392 | 0.0962347 0.713357 | -484.624 -1578.9
-32.181 68.941 | 0.178595 0.208934 | 348.821 -305.705
19.3344 48.1623 | 0.129337 -0.0378379 | -401.891 2175.57
70.2596 43.1199 | 0.409456 -0.494417 | 33.4828 21.2151
43.9166 -36.3161 | 0.624931 0.308478 | 216.418 -4096.09
-7.8083 -27.4106 | 0.416242 0.00146841 | -13.3568 17.8679
41.9199 65.095 | 0.164118 -0.229601 | -683.392 3400.1
48.9443 7.60667 | -0.13039 -0.246074 | -258.007 198.404
13.596 -91.8885 | 0.881208 0.10107 | 2.00089e-11 1.15961e-11
51.7381 2.61207 | -0.704861 0.793546 | 825.745 4092.5
-70.4929 -15.2131 | -0.146258 -0.102959 | 41.2144 -14.4099
-29.9527 -70.2594 | 0.135912 0.16413 | -209.705 4579.4
61.5253 51.3811 | -0.466712 -0.0811824 | -3.86535e-12 4.54747e-12
-60.494 2.53385 | -0.391148 -0.380101 | 682.72 -609.04
-10.3421 48.6096 | -0.419479 -0.220346 | 162.406 234.849
-67.9529 12.5938 | 0.102323 -0.350605 | -3.63798e-12 -6.36646e-12
-39.7746 -9.44228 | -0.0346845 0.397856 | -1.12426e-11 -2.72848e-12
42.5345 -63.7033 | -0.0219253 -0.335181 | -578.756 -692.342
