-50.1933 -23.5579 | -0.333766 -0.942437 | 8.73219 -487.1
50.8898 -64.4056 | 1.62393 -2.20179 | 159.377 -472.957
-15.216 46.8083 | 0.0168215 0.548769 | 3199.63 5581.7
-11.699 -8.03217 | 0.547887 -1.34041 | 94.2598 -308.595
-57.8481 4.66023 | -0.0662796 0.0554657 | 289.249 754.423
-40.3 35.1554 | 1.0772 1.52977 | -54.3968 -450.481
74.2076 39.9708 | 0.583148 0.456957 | -6.70724 -2074.15
7.97553 20.1255 | 1.19957 -0.201892 | 33.8092 62.8769
-59.8044 28.1516 | -1.98788 0.765694 | 4.54747e-12 1.81899e-12
-64.9548 18.7422 | -0.119314 0.075065 | -65.6045 -72.8785
2.66854 -44.152 | -0.239149 -1.32981 | -504.893 -1907.66
-1.73082 -34.7314 | 1.60556 0.90417 | -189.039 7553.5
67.0435 31.0875 | 0.796557 0.823749 | 1013.7 -1414.61
-16.0998 -76.5397 | -0.725411 -1.47271 | -1.59162e-12 -1.13687e-12
-37.4993 -66.8312 | -0.981189 -2.37867 | 2487.37 3159.49
-70.4081 23.5377 | 0.393702 0.925486 | 100.492 -143.258
2.58753 -48.7491 | -0.997292 -1.23405 | 63.3167 450.74
23.5156 50.1636 | -0.453002 0.544314 | 430.357 -564.03
-37.4295 42.5704 | -0.217317 0.761931 | 1273.94 2819.18
35.5741 -13.5803 | 0.53894 -2.1602 | 53.1998 -491.768
34.5735 -39.0426 | -0.00802847 -0.0401026 | 841.999 2585.23
31.3754 -68.4009 | 0.584247 -1.58794 | 8189.64 8891.75
18.2473 72.7635 | 0.987963 2.16552 | -479.949 -4.76185
-17.4272 -13.7491 | -2.19229 -0.0846847 | -84.9121 84.6523
63.4851 -20.294 | -0.482072 -0.801335 | -1190.66 -2486.42
-44.2035 47.7119 | -1.78645 1.29425 | -831.724 -118.386
-23.5013 -28.2959 | -1.15723 -1.33965 | -2.38742e-12 4.09273e-12
68.0835 -12.3234 | 0.333853 0.173447 | 49.8441 97.0656
17.9997 -42.7316 | -0.487798 -0.527041 | -6.82121e-12 -1.59162e-12
-43.1671 74.466 | -1.44009 1.73319 | 4.54747e-13 5.68434e-12
31.5523 -2.4985 | 0.406629 0.572345 | -234.401 -1185.55
-50.5258 78.6924 | -0.321347 2.715 | -1745.47 -146.534
3.06023 16.9947 | 0.724451 -0.657584 | -8.14177 2158.47
33.1454 24.6332 | -0.69337 0.23619 | -1127.49 2641.8
-70.4788 42.2747 | -0.235092 0.237735 | 62.5346 3385.92
54.5488 -61.3182 | 1.09467 -2.04173 | 162.062 118.024
17.1598 -58.7621 | 0.401421 -1.28385 | 1.81899e-12 0
40.9051 56.8849 | 1.01967 1.18174 | -400.885 641.563
65.1861 42.1869 | 0.0855961 0.790369 | -8866.3 4913.78
-68.0016 -41.2919 | 1.42846 -0.960492 | -14.254 -18.5784
-19.5111 57.0169 | -0.728924 1.72314 | 34.9493 109.66
8.40192 25.5004 | 0.83299 -0.414022 | 1050.75 -2969.34
77.7012 -5.83852 | 0.300667 -0.272578 | 143.754 50.1819
-13.851 -32.7515 | -0.640384 -0.209565 | -1642.82 -1762.05
-7.40949 -68.7145 | 0.49791 -1.4758 | 123.037 -1338.05
-14.2324 79.558 | 0.351867 2.48588 | 22.8502 -356.705
4.91373 96.8842 | 0.0299346 0.159754 | 2368.06 7052.78
-19.7594 25.1086 | -0.723152 0.130587 | 16.3696 -213.44
27.3937 31.4893 | -0.488622 -0.407907 | 142.166 -431.997
37.3444 3.14236 | 0.491863 0.223699 | -23.8446 -57.1498
-29.4405 -88.9931 | 1.04595 -1.12177 | -142.802 -125.059
