-6.4482 -61.7885 | 0.187628 -0.0448304 | 3.86535e-12 1.81899e-12
-89.7467 5.51695 | 0.063136 -1.02861 | -76.9163 38.523
-7.1045 84.3246 | 0.312524 0.161477 | -2.72848e-12 1.7053e-12
59.203 55.766 | 0.270426 -0.212213 | 5.00222e-12 -2.72848e-12
64.5742 18.5956 | 0.137283 -0.0527341 | 1.06866e-11 0
53.0165 15.7116 | -0.292045 0.135683 | -2.27374e-12 -3.63798e-12
-51.6278 -55.1362 | 0.388582 -0.280878 | 38.8962 -89.9783
18.3684 -18.4483 | -1.10879 0.529138 | -6.82121e-13 -5.45697e-12
-50.7498 -40.0918 | -0.960861 0.531839 | -1.45519e-11 3.63798e-12
19.7708 -55.1434 | 0.0675427 -0.0888212 | 7.27596e-12 -4.77485e-12
39.7612 83.3175 | 0.467156 -0.241334 | -2.72848e-12 6.36646e-12
86.6358 -20.6496 | 0.103807 -0.497784 | 25.7928 -48.8612
-60.177 1.03207 | 0.368176 -0.0508686 | -1.81899e-12 3.41061e-12
-43.5941 -75.5498 | -0.0386135 0.332838 | 3.63798e-12 3.63798e-12
-26.3212 33.3028 | 0.84396 -0.78605 | 4.54747e-13 6.36646e-12
-27.4593 4.99408 | 0.360562 -0.307292 | 1071.82 -3683.61
21.227 -87.2249 | 0.511287 0.0606343 | -257.313 548.885
-42.6366 38.3757 | 0.193626 0.52212 | -1.36424e-12 -1.81899e-12
