-34.0083 85.8964 | -0.637025 0.329432 | -3.63798e-12 3.18323e-12
-24.0091 35.0817 | 0.263038 -0.0833623 | -5.45697e-12 -9.09495e-13
-24.658 -77.834 | 0.275903 0.0299159 | 2.95586e-12 -5.22959e-12
-35.1795 81.1121 | -0.464248 0.0437784 | 8.18545e-12 -5.91172e-12
29.9117 75.243 | 0.0566446 0.0969057 | -126.854 167.659
38.1222 -72.5763 | 0.156796 0.793783 | 19.5994 113.066
72.9914 -27.7725 | -0.201648 0.638988 | -19.4476 -6.32982
-43.4452 17.4783 | 0.752865 -0.057402 | -9.09495e-13 6.82121e-12
-63.2101 -65.1897 | -0.569157 0.266192 | -5.96856e-12 1.09139e-11
-16.6463 -11.0971 | -0.395295 -0.104277 | -4.3201e-12 5.00222e-12
52.852 -45.4397 | 0.126001 0.100718 | -12.1905 -19.5763
62.8805 42.2039 | 0.506623 -0.229372 | 641.497 452.131
42.6083 41.4298 | -0.100653 -0.501289 | 1.04592e-11 -2.72848e-12
63.8133 57.6667 | 0.516455 -0.029831 | 1.20508e-11 -2.72848e-12
-22.957 -39.9909 | 0.796488 0.525366 | -1.47793e-11 -4.09273e-12
-6.32597 81.846 | 0.161978 -0.0939544 | -156.97 -949.679
53.7536 -64.4443 | -0.204979 0.303269 | -3.63798e-12 -6.82121e-13
-38.6898 38.7078 | 0.6621 -0.120787 | -3.2685e-12 -3.63798e-12
-39.117 71.9966 | -0.234958 0.446246 | -1.67688e-12 -7.27596e-12
-21.7517 -85.786 | 0.894788 0.31092 | -27.0403 264.61
