-64.6069 29.7396 | -1.32074 0.555108 | 172.491 647.017
-5.4048 65.6614 | 0.229993 0.612613 | 4.54747e-13 3.18323e-12
59.4554 38.8813 | 0.645825 0.257055 | 3.18323e-12 -4.09273e-12
55.1189 21.4476 | 0.549305 0.506542 | -189.729 -398.636
50.9878 17.1222 | -0.245359 -0.0396098 | -2.84217e-13 -4.09273e-12
-61.5154 -38.5182 | -1.24705 -0.0520022 | 1.36424e-12 -2.72848e-12
32.9795 -2.63387 | 0.434932 -0.572057 | 254.809 -1372.42
-73.5276 -31.1864 | 0.264006 -1.2244 | 2.95586e-12 -5.57066e-12
34.5814 -27.7338 | -0.0555805 -0.0488106 | -7.39783 58.053
29.2442 71.8607 | 1.04761 1.9237 | -2.27374e-12 5.00222e-12
67.1848 -20.9159 | 1.39386 0.609179 | 2.38742e-12 0
-49.6706 -5.6285 | -1.10018 0.187007 | -1.25056e-12 -9.09495e-13
-23.0804 -59.2734 | -1.0346 -0.336654 | -3.2685e-12 -4.77485e-12
-45.4185 10.7511 | 1.11414 1.14095 | 226.065 -527.071
-24.0475 -0.926595 | -1.10774 0.631547 | 543.992 -1144.55
21.7236 -89.2426 | -1.17186 -1.38042 | 9.09495e-13 -2.72848e-12
-50.5767 21.9024 | -0.411722 0.337602 | -172.491 -647.017
