17.0871 36.2718 | -0.506471 -0.165425 | 763.324 -232.909
48.3705 -21.6485 | 0.33307 -0.367568 | -2.72848e-12 -2.27374e-13
7.77443 -13.1403 | -0.13623 -0.164324 | -307.787 -2871.36
63.139 -26.0299 | 0.463518 -0.200562 | -1.26477e-11 2.95586e-12
-9.67904 -20.2604 | 0.21862 0.15226 | -1.13687e-11 -3.63798e-12
-34.3255 25.6489 | 0.746781 0.00140773 | 1.81899e-12 0
69.986 63.3676 | 0.0743959 -0.10818 | -1598.19 -2374.62
-43.2895 -11.3987 | 0.747788 0.438551 | -188.77 1167.97
59.6877 -74.0545 | 0.629446 -0.284943 | -1.09139e-11 1.86446e-11
73.7309 -53.1616 | 0.0725658 -0.416425 | 238.691 -430.182
-16.209 -30.2432 | 0.635004 -0.0819469 | -1.00044e-11 -1.31877e-11
-53.4407 20.0175 | 0.496133 -0.192034 | -44.8107 17.2936
-60.0984 64.3416 | 0.374793 -0.0572957 | 1.28466e-11 0
-30.5573 60.4841 | -0.419488 -0.216982 | 485.355 1084.21
-67.1813 -13.321 | 0.0475703 -0.0434707 | -4.54747e-12 -2.95586e-12
25.3856 -66.3082 | -0.676269 0.0470931 | -5.91172e-12 2.84217e-12
82.9744 -34.4254 | 0.114951 -0.469891 | -234.981 429.888
-20.1292 0.578713 | -0.243862 -0.219294 | 354.289 2602.24
-72.5982 -31.1599 | -0.0687341 -0.358781 | 772.35 3053.49
