20.275 35.8045 | -0.48842 0.0274488 | -5.22959e-12 -3.63798e-12
47.086 -15.7969 | -0.0958067 0.207972 | -1.36424e-12 -4.54747e-12
5.30988 -16.9869 | 0.447205 -0.0509792 | -2.27374e-13 9.43601e-12
60.157 -26.3169 | 0.250042 0.420022 | 2.13479 -226.862
-11.6742 -22.6247 | 0.31677 0.618812 | 4.54747e-13 4.09273e-12
-40.7017 32.6821 | 0.4385 -0.742568 | -4.54747e-12 7.7307e-12
67.3855 64.6954 | 0.591135 -0.315216 | -327.941 -286.123
-48.9325 -11.8324 | 0.0732399 0.121037 | -7.27596e-12 -4.54747e-13
54.4245 -76.279 | 0.000557901 1.45903 | 1.09139e-11 -7.27596e-12
75.9495 -53.18 | 0.236071 -0.160125 | 5.45697e-12 -1.81899e-12
-19.228 -32.4034 | 0.321322 -0.441825 | 1.25056e-12 -1.81899e-12
-59.8493 21.8943 | 0.187686 -0.324285 | 5.91172e-12 8.18545e-12
-64.4312 63.321 | 0.27047 -0.994189 | -117.299 70.8375
-27.2523 60.0807 | -0.128682 -0.683931 | -525.629 728.117
-67.8402 -17.7986 | -0.0611924 0.137856 | 731.739 686.424
33.0661 -66.0324 | -0.522855 0.179349 | 3.7943e-12 1.81899e-12
86.301 -34.1784 | 0.0303897 0.150616 | -9.09495e-12 -1.47793e-12
-25.0654 -4.07843 | 1.11168 0.366899 | -1.81899e-12 1.02318e-12
-73.7338 -28.8681 | 0.539764 -0.261397 | -2.27374e-12 6.36646e-12
