-35.2753 71.2953 | -0.116801 -0.00359791 | 4.83169e-12 4.54747e-13
70.7128 12.6903 | -0.00264546 0.0507632 | 5.45697e-12 -6.36646e-12
60.2167 -61.8333 | -0.279351 0.175175 | -98.9263 -1591.02
9.96047 15.2128 | 0.29207 0.188775 | -1.09139e-11 -2.27374e-12
-11.0271 84.4563 | -0.323908 -0.00286581 | 0 1.81899e-12
-68.0403 46.1312 | -0.310641 -0.159098 | 635.894 -1531.89
14.6688 10.4906 | -0.3325 -0.564522 | -844.221 3159.73
22.3426 -70.3999 | 0.582949 0.278868 | -173.43 364.281
48.3837 73.5157 | 0.109943 -0.033041 | -10.6711 -24.5659
66.7278 28.9618 | 0.189538 0.268544 | -137.774 403.599
57.9835 -41.1881 | 0.349279 -0.0582224 | 10.6097 41.1664
-9.28345 -73.8796 | -0.138902 0.339174 | 45.6626 52.7223
81.2581 6.54489 | 0.347802 -0.0375697 | 1.36424e-11 4.09273e-12
22.3529 70.53 | -0.152053 -0.0337433 | 1103.72 -1142.67
-36.3304 -75.0684 | 0.0310489 0.374759 | 1033.64 -4169.44
-18.1576 56.4191 | -0.266383 0.145645 | 0.0252683 0.129574
58.2818 57.151 | -0.0423671 0.363985 | -1.02318e-11 -1.09139e-11
-42.3022 -67.2423 | 0.260451 0.232283 | 6.91318 -23.4218
-24.8138 -18.8089 | -0.352205 -0.047054 | -153.364 -688.654
-53.8928 -10.897 | -0.270422 0.608276 | 202.832 -327.511
-63.0768 11.9813 | -0.259089 0.504518 | -82.9078 210.267
8.20275 -57.7312 | 0.101803 -0.388816 | -1.81899e-12 4.54747e-12
2.7254 -48.2016 | -0.0226945 0.209537 | -158.891 -288.42
-48.2102 12.4733 | -0.317816 -0.177217 | 2.27374e-12 -4.54747e-12
18.5807 57.7568 | 0.200097 -0.382972 | -0.0252683 -0.129574
-76.8905 30.4783 | 0.0803887 -0.623126 | 9.09495e-13 -1.81899e-12
-25.4708 88.4939 | -0.0886885 0.455914 | 0 1.81899e-12
-30.927 -55.5337 | 0.25151 -0.278771 | -76.0543 -283.024
-55.4791 40.0187 | -0.524375 -0.435261 | 192.02 -255.422
60.4361 -59.4387 | -0.226765 0.27699 | -431.001 2425.94
50.7169 -8.31039 | 0.169769 0.622123 | -557.242 -1159.9
70.781 -26.6972 | -0.00101236 -0.0129279 | 9.09495e-13 -2.27374e-12
49.5924 -50.635 | -0.884429 -0.322782 | 5301.63 -6627.97
-46.0899 38.2435 | -0.720943 -0.122697 | 171.055 465.315
-39.9283 66.6588 | -0.0490494 -0.00564194 | 1.63709e-11 -7.27596e-12
-39.1917 76.5123 | -0.412803 -0.730951 | -869.225 1424.48
48.1726 -70.2212 | -0.756396 -0.035318 | -32.2085 83.3577
32.6202 75.6375 | 0.00541099 0.377151 | -7.17362 -957.938
-20.3375 -0.751771 | -0.199489 0.0848869 | 13.8706 -131.334
-11.9663 -80.0473 | 0.107041 -0.0871736 | -48.0167 -133.118
26.3236 -34.1621 | 0.504665 0.380326 | 394.649 -530.221
43.6447 -41.4179 | 0.291969 -0.564891 | -43.8392 1176.87
-82.4798 8.27931 | -0.088137 0.238278 | 7.27596e-12 -1.36424e-11
70.2348 51.3224 | 0.00999538 0.528251 | -1.54614e-11 1.81899e-12
14.5991 -79.5636 | -0.634646 -0.0302936 | 9.52022 319.682
-6.53297 32.2523 | 0.0815967 -0.0716965 | -10.9086 -24.6162
52.6601 4.8427 | -0.753863 0.482313 | -23.9772 -74.8473
63.0081 -30.8414 | -0.328661 -0.296243 | -105.297 331.093
45.4463 44.1066 | 0.666303 0.530478 | 1405.28 4035.31
-25.0144 43.922 | -0.585993 0.0330845 | -22.9565 92.5408
-56.2964 -8.09384 | -0.215787 -0.312577 | -200.182 340.467
-29.3483 -82.2159 | 0.796312 -0.158634 | 7.7307e-12 2.27374e-13
-57.6804 30.5032 | 0.0157727 0.660386 | 1762.14 -3930.21
42.0495 13.346 | 0.653647 -0.366431 | -192.875 -27.2603
21.9645 -44.9365 | -0.0559994 -0.202897 | 179.087 237.464
81.5584 9.70377 | -0.238276 -0.118177 | 55.0339 -566.377
74.5956 38.096 | 0.169713 0.618727 | 1103.76 -2647.84
52.0411 -45.1028 | -0.0704838 -0.0965928 | -2485.15 1800.88
73.5028 -43.855 | -0.258818 -0.734072 | 858.399 -668.503
-30.1243 64.6773 | -0.312384 0.386348 | 97.7148 549.175
17.2629 27.9274 | 0.813662 -0.336776 | 10.9086 24.6162
-76.8959 24.0773 | 0.173712 -0.512995 | 517.949 -727.972
-4.10345 -72.7415 | 0.0356805 0.0152123 | -5.45697e-12 1.59162e-11
