-78.8639 -27.2008 | 0.370448 -0.336333 | -646.758 -843.964
57.1286 22.3634 | 0.912187 0.644563 | 147.576 686.477
21.3866 35.6138 | -0.233148 0.105473 | 280.117 1602.66
-6.59878 84.2601 | 0.169456 -0.120481 | 1036.77 1559.47
78.0917 -34.7369 | 1.25081 -1.2463 | -1480.2 -1148.75
54.8352 0.270233 | 0.281708 0.553263 | 745.344 963.037
-38.4477 33.5681 | 0.919833 0.853671 | 34.8591 -98.1639
2.19851 -39.3164 | 1.21802 -1.03845 | -275.862 649.332
28.2161 73.3759 | -0.941156 0.537637 | -601.153 653.279
-51.4669 14.4821 | -0.447143 -0.646764 | -342.72 1236.44
-37.7704 69.5391 | 0.783639 1.74033 | -1962.9 -992.289
39.1315 -7.75603 | 0.381722 -0.368377 | -5.5543 -7.01776
-57.3303 -12.8141 | -0.227122 0.883434 | 1153.45 1622.91
-66.0469 1.62587 | -1.01603 -0.527617 | 44.9093 60.4521
-7.4974 32.4067 | -0.426917 0.105536 | -823.831 2833.79
13.2879 14.1138 | 0.573996 -0.254191 | -1.69507 -6.87889
-31.597 9.547 | 0.473295 -0.221416 | 3.4833 11.6676
-52.5515 62.4489 | -0.429171 1.66143 | -147.584 108.81
-78.9391 -24.3071 | 0.0407835 -1.76955 | -513.274 856.283
-52.5029 -68.1229 | 1.01019 0.647704 | -419.466 -685.665
-45.9373 67.8335 | 1.16647 1.70741 | -678.646 4.4107
28.3578 37.7175 | -0.655176 0.63208 | -97.2583 50.9155
52.6254 59.7691 | 0.00727321 1.58756 | -138.856 -58.0613
36.4969 -26.3171 | 1.95729 -0.567462 | 898.909 -1912.59
-2.38656 -18.356 | -0.349012 -0.313537 | -12.5761 -89.4281
30.8067 71.5333 | 0.587748 -0.488899 | 502.491 -537.315
77.0605 21.4459 | 0.883344 0.515744 | 4.30666 -4.06687
11.7928 -87.8335 | 0.692604 0.284499 | -3456.19 -2503.48
72.937 8.52298 | 0.685892 0.70677 | 343.145 -343.453
-82.5353 -1.35573 | 0.406367 1.21035 | -5.45697e-12 -4.54747e-13
-45.9129 -75.9628 | 1.62655 0.707069 | -6314.13 926.654
51.1527 72.2291 | -0.124209 1.07098 | -2234.83 -5587.56
-69.1967 8.62684 | -0.354208 0.546404 | 1399.85 1443.78
-4.72129 34.8325 | -0.997564 0.463291 | -449.159 -1977.73
-58.5355 19.6964 | -0.554997 0.0497417 | -543.069 -944.58
-39.4908 -9.11596 | -0.397488 -1.05277 | 1.63844 -14.3685
49.8245 -62.6386 | -0.307435 -1.32113 | -23.4833 -71.1742
-21.8483 91.3051 | 1.18443 0.00336215 | 91.4535 847.252
