-2.9651 -0.853207 | -0.130084 0.712112 | 181.928 771.061
-75.7293 0.446769 | 0.574526 -0.221692 | 131.023 -319.445
-68.7951 -27.4469 | 0.856776 -0.1147 | 0 4.54747e-13
46.9784 20.4411 | -0.987253 -0.417193 | -158.886 -608.464
9.82644 44.1234 | 0.120863 0.416651 | 3.41061e-12 -1.81899e-12
-4.23327 82.0878 | 0.379152 0.129335 | 1.13687e-12 -2.16005e-12
68.7815 -44.4768 | -0.226872 -0.54739 | -49.7404 743.565
52.2231 -2.75632 | -0.00145173 0.535671 | -972.624 -647.727
-39.3247 45.0924 | 0.728713 -0.206871 | 55.114 88.9042
7.48849 -50.8168 | -0.0878296 -0.456075 | 4.54747e-13 1.09139e-11
25.1377 72.3762 | 0.0951904 0.521139 | 3782.64 -4041.81
-61.8373 24.1796 | 0.128896 0.416413 | 5.45697e-12 -2.72848e-12
-41.2172 74.7514 | -0.277839 -0.596217 | -3.29194 -17.6261
34.4128 -13.1041 | -0.602492 -1.77506 | -1335.69 -2779.57
-48.4599 -18.2521 | 1.03826 -0.021617 | -691.169 -2230.5
-77.014 3.51081 | 0.309722 -0.407159 | -107.514 448.85
-12.7395 42.6422 | 0.101384 -0.721494 | -761.862 1503.68
8.51802 13.3027 | -0.0712745 -0.180631 | 231.018 -408.603
-33.522 17.2199 | 0.534045 0.175356 | -38.9764 216.473
-57.2565 64.0138 | 0.156552 -0.538941 | 1520.44 -1633.66
-67.8621 -24.8695 | -0.377743 -0.244906 | -284.127 -1305.21
-51.5509 -70.8782 | -0.061052 0.275072 | -455.937 -153.686
-44.5124 71.0588 | -0.281012 -0.478025 | 200.662 1028.01
21.1507 46.603 | -0.472323 0.040596 | 65.4958 -166.434
61.9332 57.9962 | 0.988589 -0.659123 | -1.18234e-11 0
38.9942 -37.9311 | 0.411373 -0.738903 | 7.95808e-12 -2.72848e-12
-4.61425 -32.5946 | -0.4278 -1.57101 | -881.384 2755.13
27.6767 69.8568 | 0.187645 -0.392656 | 534.234 2321.66
70.1868 19.4478 | -0.693313 0.00246371 | -61.8036 -606.168
19.5326 -92.3201 | 0.533747 -0.182246 | 853.585 -7990.84
75.563 7.98824 | -0.626852 0.328547 | -0.863976 -1.27029
-85.7074 -7.13709 | 0.261947 -0.268778 | -150.655 -1728.56
-44.6 -74.4464 | 0.341901 0.55348 | -650.169 -1941.87
49.2004 66.5436 | 0.647447 -0.454999 | -118.881 -3386.39
-66.0396 14.5533 | -0.444242 0.109116 | 1221.22 -2705.57
-9.14142 45.1343 | 0.435649 0.0187217 | 129.33 -914.264
-66.7788 26.9863 | -0.384803 -0.157881 | 94.8996 -51.9187
-40.2626 -10.803 | -0.217898 -0.465988 | 1.81899e-12 7.7307e-12
40.5419 -69.1033 | 0.414137 -0.0323223 | 3588.61 1944.71
-11.3002 88.2436 | 0.270412 -0.424474 | -849.083 1360.36
17.6736 -55.6329 | -0.0584669 0.268582 | 23.662 103.018
50.0752 -63.0619 | 1.00483 1.12557 | 52.4092 325.294
-66.4708 64.493 | -0.798665 0.392576 | 1161.37 -1434.6
-15.6766 -5.35499 | 0.68116 -0.100009 | 4.77196 -63.8815
-2.33863 -64.1559 | -0.922434 -0.697632 | -866.138 1890.68
-28.4382 -84.0175 | -0.142239 -0.656808 | 1646.92 -2397.59
-62.2811 -33.2106 | -0.771524 -0.458221 | 80.5745 288.651
63.7637 -47.083 | -0.0502467 -0.580201 | -131.33 -302.362
2.56087 -5.97246 | -0.806791 -0.777934 | -4.77196 63.8815
-51.9098 -61.7739 | -0.398891 0.321034 | 380.376 4151.32
56.7906 68.063 | -0.0506462 -0.042379 | 25.0471 3570.65
-32.852 56.8567 | 0.9981 -0.586612 | -539.775 1525.22
-60.7658 45.0831 | -0.69239 0.00647661 | 287.232 -33.0135
81.5553 9.35156 | -0.702536 0.70371 | -0.733102 -14.3852
-26.2294 -79.5198 | -0.229905 -0.0899515 | 1.63709e-11 1.81899e-12
59.3832 -40.274 | -0.500473 -0.525563 | -2.72848e-12 -1.81899e-12
68.5434 -8.174 | -0.383996 -0.126154 | -3.18323e-12 -1.22782e-11
-71.3506 5.62596 | -0.551223 -0.0960263 | 98.0156 -1282.52
-11.1766 -94.3935 | 0.444122 -0.452975 | 20.4699 -47.2858
59.0081 22.0665 | -1.34896 0.0353833 | 6.26419 25.3389
-0.226187 -82.0014 | -1.26207 -0.371518 | -503.032 -115.991
24.9798 89.1673 | 0.0732263 0.856764 | 282.607 428.983
0.939736 35.1047 | -0.282618 0.688903 | 761.862 -1503.68
-10.7309 -22.0519 | 0.692227 -0.119278 | -996.679 -996.944
54.3173 55.7437 | 1.17889 -0.24435 | -2.72848e-12 5.45697e-12
60.3408 -51.676 | -0.0464755 -0.0409376 | 563.732 1462.07
-35.121 61.2627 | 0.0556066 -0.92332 | -779.519 -588.973
-47.3991 -62.6613 | 1.6098 0.196067 | -380.376 -4151.32
-55.5604 -22.4329 | 0.776641 -0.192786 | -267.61 1765.46
52.8713 -64.9756 | 0.175284 -0.472933 | -69.463 -290.102
57.5959 -27.7849 | -0.725277 -0.0976578 | -79.0569 -69.4815
56.2086 -55.2852 | -0.106928 -0.23107 | -672.103 -2328.49
-84.1714 30.93 | 0.377456 -0.11756 | 26.2154 -88.5568
28.8243 -89.8562 | -1.04012 -0.319761 | -916.115 7790.24
73.1309 -51.153 | 0.224726 -0.0170385 | 330.391 368.414
75.9699 17.0067 | -0.160497 0.0874027 | 1.59708 15.6554
-57.4938 -44.4446 | 0.943387 -0.289514 | -121.18 -116.2
-74.4237 55.0594 | 0.0938025 -0.759303 | -2268.89 2006.67
31.8173 -87.5185 | -0.379056 0.207579 | 42.0599 247.89
-67.4387 54.495 | 0.763801 0.174287 | 547.781 -1401.03
18.2143 -42.9115 | 0.550542 -0.243339 | 317.51 1199.81
-10.0213 -31.1248 | -0.666283 0.251463 | -176.29 5456.56
44.922 42.25 | 0.268069 0.371141 | 562.953 1697.99
-22.0038 76.3841 | -0.457897 0.930057 | -373.085 -25.6858
-33.6267 -66.5832 | 0.608063 0.343575 | -1123.96 4575.82
-55.5118 -49.4617 | -0.20062 -0.274802 | 408.7 1497.28
52.829 -75.832 | 0.63832 -0.0026676 | -1.09139e-11 -4.54747e-13
54.8777 28.4493 | -1.03353 -0.470896 | -930.662 564.967
-53.0365 -52.0622 | 0.20581 -0.775419 | -1372.14 163.518
16.4925 48.9487 | -0.47417 0.00126692 | -63.2739 164.257
-27.7516 30.9676 | 0.0508519 0.672059 | -68.6696 218.48
36.1702 79.6466 | 0.760092 0.527802 | 91.0991 206.861
59.0747 41.6234 | 0.464098 0.168812 | 52.9618 -116.884
16.4129 9.35963 | -0.818427 -0.443212 | 7.55307e-12 -3.63798e-12
-57.3361 -56.0465 | 0.43168 -0.740065 | -206.18 -882.069
-73.432 -15.6912 | 0.21488 -0.256332 | 566.508 2610.32
33.1474 -84.2771 | -0.510127 0.266858 | -753.764 -1919.05
2.11736 -19.0046 | -0.276431 -0.586504 | 944.6 1024.79
62.4549 21.3275 | -0.567284 0.28088 | 55.5394 580.829
-10.3494 -1.84923 | -0.297815 -0.300635 | -181.928 -771.061
65.7533 30.1585 | -0.657753 -0.27766 | 976.445 -664.56
-54.0326 80.6236 | -1.08804 0.288852 | -4384.37 8645.52
4.5676 -96.9573 | -1.73912 -0.577051 | 3.68416e-11 -1.27329e-11
24.815 83.4216 | 0.848404 0.44063 | 7.95808e-13 -8.18545e-12
6.95464 24.5373 | -0.298633 0.325678 | 130.937 208.317
-45.7076 -65.177 | 0.985481 0.0116918 | -1624.97 1315.48
-32.4828 -34.8498 | 0.16088 -0.555719 | 459.681 -2137.88
81.8994 -5.46641 | -0.189305 0.355954 | 1.63709e-11 -1.09139e-11
-63.5677 25.8927 | -0.647686 0.178074 | 1.81899e-12 2.72848e-12
57.2213 8.59232 | -0.611543 -0.138153 | -6.36646e-12 -5.6275e-12
61.1964 -59.5088 | -0.318902 0.0327326 | -0.42511 -506.22
-63.6299 -18.8147 | 0.803147 -0.0183192 | 280.022 -159.417
50.3325 49.9134 | -0.278297 0.0435723 | -2.22182 2.17669
-79.1937 24.9684 | -0.754042 -0.545411 | 5.22959e-12 -9.09495e-13
