-55.18 -37.36 | -0.0118795 -0.0950849 | -2.72848e-12 -1.36424e-12
42.9193 -74.067 | 0.22275 0.23576 | -415.397 246.879
-6.22404 70.089 | 0.51074 0.572691 | -19.9347 774.234
-14.4752 -17.0677 | 0.429924 0.15269 | -1.81899e-12 6.36646e-12
-52.4639 9.27985 | -0.521321 -0.351528 | 47.0738 -533.85
-45.5766 43.8239 | 0.0150645 -0.70501 | -401.518 -716.258
63.0862 31.9235 | -0.153138 -0.796923 | 1.27329e-11 1.27329e-11
5.19204 24.2154 | -0.0983491 0.0750437 | 3.99814 -27.29
-77.7079 20.7216 | -0.39094 -1.27862 | 2.65984 -55.2018
-72.1354 13.1643 | -0.362824 -0.52797 | -3.86535e-12 2.16005e-12
6.26788 -60.662 | -0.788379 0.242659 | -265.637 -130.3
2.74789 -51.6324 | -0.296411 0.378276 | 75.5062 120.403
53.7213 24.0352 | -0.243148 0.0739329 | -1425.24 1102.93
-24.5225 -86.2856 | 0.364939 -0.289047 | 237.193 -748.311
-13.3188 -72.271 | -0.253178 0.295855 | 2312.57 -2958.48
-78.4249 14.4724 | 0.307382 -0.458139 | -10.3197 7.39287
-0.296703 -61.0572 | 0.868751 -0.206073 | 26.7348 -309.191
38.0508 60.2832 | 0.276597 0.300655 | -7981.89 -6939.75
-45.9649 52.0721 | -0.519493 -0.176633 | 76.4905 -78.4521
40.6567 -26.1326 | 0.568508 -0.469011 | -7.6258 -60.2967
38.9523 -56.7565 | -0.0365452 -0.0850354 | 8.93263 -317.05
29.733 -80.5773 | 0.305301 0.476744 | 1.36424e-12 6.82121e-13
21.7579 81.0271 | 0.42941 -0.129972 | 6.36646e-12 -9.09495e-13
-22.3577 -22.9096 | 0.123461 -0.159344 | -85.7263 -301.451
63.2809 -28.8053 | 0.294748 1.10575 | 1782.97 -2240.04
-52.4275 55.2125 | 0.300451 -0.188675 | -239.627 158.813
-17.5385 -43.2143 | 0.12925 0.532255 | 49.3258 -62.8458
68.148 -15.8304 | 0.112506 0.42598 | 34.0998 859.387
15.6323 -59.8447 | 0.594313 0.968846 | -3.06954e-12 -8.18545e-12
-48.3825 77.7528 | -0.482493 -0.378378 | -3.75167e-12 5.00222e-12
27.0901 -17.4137 | 0.316463 -0.215257 | 117.87 514.307
-61.6749 72.4609 | -0.187045 -0.178452 | 1900.08 -3604.9
-3.45067 23.0564 | 0.0133889 0.0971086 | 8.41283e-12 4.54747e-12
30.0333 27.1577 | 0.197537 -0.225355 | 20.4408 32.7196
-81.8164 30.2047 | 0.308784 -0.960841 | -1.81899e-12 -7.27596e-12
50.3978 -68.5555 | -0.0736115 0.118355 | 1.06866e-11 7.27596e-12
14.22 -76.3486 | -0.489307 -0.343847 | 1.81899e-12 -1.18234e-11
55.3758 57.1849 | 0.0534196 -0.0512852 | 7981.89 6939.75
57.0919 37.4214 | 0.248399 -0.320067 | 911.437 2949.75
-64.6675 -55.5097 | 0.165886 0.122726 | -7.22327 195
-12.9805 78.962 | 0.583015 -0.870468 | -108.07 -156.594
11.9358 34.6415 | -0.219284 0.147941 | -1.38898 -1.35536
