72.9105 17.8509 | -0.0411035 -0.117969 | 113.828 -836.748
57.1792 -67.7914 | 0.206037 0.43921 | 6.36646e-12 -7.27596e-12
13.7012 18.4307 | -0.863175 0.0860511 | -654.844 1143.26
11.429 88.2856 | -0.203987 0.47892 | -1.81899e-12 3.41061e-12
-60.5903 49.7669 | 0.966891 -0.508087 | -150.805 -4964.67
10.9866 11.5156 | -0.559284 -0.0159789 | 654.844 -1143.26
26.376 -76.3725 | 0.166735 -0.57788 | 245.731 -402.715
47.9374 72.0334 | -0.3521 0.0310151 | 282.217 1304.79
61.0423 37.1405 | 0.275171 0.0395447 | -56.1922 -134.047
46.1997 -54.6684 | 0.228091 -0.147707 | -31.937 -44.4032
-9.06544 -79.6393 | -1.32092 0.492776 | 2048.22 479.206
84.1014 11.9258 | 0.174732 0.116385 | 1.81899e-12 -2.72848e-12
20.7029 70.1349 | -0.639202 0.321561 | 8.18545e-12 8.86757e-12
-32.9294 -82.5186 | -0.783654 -0.544866 | -990.175 -1250.52
-24.5031 59.4211 | 0.327987 -0.100725 | 53.3168 56.8888
55.0788 58.9821 | 0.655126 0.0274242 | 278.431 -380.482
-44.0402 -74.8577 | 0.40641 0.728479 | 9.09495e-13 9.09495e-12
-32.2814 -25.1632 | -0.0327302 0.309897 | -1094.83 2073.8
-63.3245 -21.3181 | -0.576716 0.421619 | -1.81899e-12 1.27329e-11
-78.8539 8.92817 | 1.00988 -0.5581 | -30.5571 117.391
-2.71971 -61.2163 | 0.798854 0.31207 | 7.7307e-12 9.89075e-12
-0.679788 -54.1981 | 0.366058 -0.0373849 | 76.0191 -1809.94
-60.3021 9.51077 | 0.798209 -0.465947 | 9.83948 59.5015
10.3181 57.6063 | 0.259214 -0.0553249 | -35.2016 842.315
-71.6686 39.1622 | -0.20462 -0.591179 | -5.9326 -137.532
-7.18466 92.323 | -0.58223 -0.475869 | -656.338 -1054.66
-33.5476 -64.8538 | 0.25855 0.606885 | 20.0375 -23.0222
-49.5796 42.276 | 0.433375 -0.546155 | 986.001 -1337.14
59.1901 -64.8962 | 0.183543 1.10116 | -9.09495e-13 -2.72848e-12
49.8052 -12.0621 | -0.397938 -0.646577 | 11.4321 -12.1115
62.9904 -39.9855 | -0.0038547 0.118402 | -0.132089 -11.1952
41.2411 -61.3919 | 0.257954 -0.131054 | 837.588 -1004.59
-42.1255 38.0358 | 0.555325 -0.592453 | -1255.08 7954.29
-37.6459 72.2152 | -0.605319 -0.0686797 | 634.703 -1733.73
-23.908 81.936 | -0.793878 0.632425 | -8.18545e-12 6.36646e-12
43.5224 -71.5046 | -0.136954 -0.435602 | 1231.29 4335.37
29.6905 74.9736 | -0.330715 -0.510458 | 1.81899e-12 9.09495e-13
-33.6442 -10.2024 | 0.607637 0.153167 | 782.788 -826.534
-9.4794 -83.5155 | 0.328261 -0.142416 | -607.942 658.55
28.8759 -41.6289 | -1.14747 -0.4199 | -58.0134 -168.847
37.9634 -53.4642 | 0.380611 0.0512928 | 22.6524 2.0135
-77.5475 20.5282 | -0.358302 -0.401233 | 74.4716 517.588
65.9641 54.3079 | -0.0795422 -0.0569565 | 10.9985 12.911
18.2816 -84.1569 | -0.805588 -0.120085 | 90.7108 157.087
-13.1077 29.5132 | 0.432595 0.0433238 | -219.897 279.361
54.1337 11.3161 | 0.569837 0.756818 | -587.948 -943.327
55.1304 -44.754 | 0.104035 0.227094 | 348.495 -479.683
39.737 50.5571 | 0.573841 -0.811762 | 357.71 -3951.41
-38.2328 50.3908 | 0.61518 -0.268435 | 800.38 -1038.02
-71.1046 -20.4897 | 0.607091 0.39226 | 59.7079 -279.794
-20.3075 -86.6737 | -0.607702 -0.0772518 | 987.73 -2921.62
-57.3046 32.0961 | -0.0411089 -0.796544 | 5.7554e-12 9.09495e-13
49.7056 21.2036 | -0.797124 -0.349558 | -1790.92 -1700.48
16.4513 -52.5493 | 0.752648 0.416225 | -66.7346 1852.33
84.9335 15.3491 | 0.140604 0.299901 | -1.36424e-11 1.27329e-11
68.4158 43.1914 | 0.84388 -0.824359 | 12.3097 11.4506
39.3707 -57.087 | -0.719054 -0.653521 | -2.72848e-12 -9.09495e-13
79.5858 -46.871 | 0.328381 0.638507 | 4.09273e-12 3.00133e-11
-31.5323 68.5093 | -0.0845888 0.0780413 | 56.5864 -121.12
2.08794 33.0277 | -0.501008 0.134139 | 5.45697e-12 -1.81899e-12
-72.5866 31.6001 | 0.500755 -0.354702 | -1699 -3443.33
-0.557274 -77.9234 | -0.380493 -0.0873517 | -524.637 868.338
29.89 -59.6122 | 0.0401556 -0.233775 | -751.651 1300.66
56.1642 21.6361 | 0.409303 -0.532326 | 1164.89 1076.66
56.3783 68.0231 | -0.179988 0.0407002 | -284.615 -1307.43
49.7811 62.1129 | -0.31669 -0.865252 | 25.8178 -67.7124
38.4076 -80.7481 | -0.27889 -0.604453 | -1183.06 1033.44
51.906 53.7888 | 0.403361 0.373999 | -677.884 4810.15
-76.3071 -1.94686 | 0.632281 -0.166173 | 5.32957 -340.846
-47.9683 14.8778 | -0.643017 -1.09613 | 1768.97 -1792.69
-52.5241 -47.2781 | -0.0409036 0.316489 | 294.609 -939.908
-50.6519 59.9373 | 0.778165 0.346468 | 13.0248 225.777
34.9321 80.9223 | 0.337463 -0.0593202 | 252.805 -382.525
-67.8463 44.0623 | -0.341107 -0.825508 | -980.068 1474.67
69.0231 -19.6585 | -0.581798 -0.187792 | 4.60446 -7.4674
44.0308 -7.76883 | 0.372871 -0.121476 | 50.7441 108.253
-34.711 27.3007 | 0.41787 -0.00364343 | 62.2265 378.467
3.19598 96.5822 | -0.924163 -0.177638 | -7.27596e-11 -3.63798e-12
-49.1403 -57.7604 | 0.264478 0.606275 | 154.457 264.97
19.5381 -77.9813 | -0.344361 -0.243131 | 35.7136 127.761
30.8175 15.7106 | -0.574702 0.286974 | 686.01 204.032
18.5364 39.7047 | -0.0919074 0.431431 | 783.287 -1001.12
48.1518 65.061 | -0.150134 -0.180235 | -18.995 52.4752
34.9756 83.4636 | 0.315815 -0.0167568 | -250.406 385.16
36.927 -85.5587 | -1.32476 0.106043 | 1126.3 -1301.42
9.94763 -23.5644 | -0.414395 -0.35226 | -1.13687e-12 3.18323e-12
-25.7401 -1.49136 | 0.200193 0.589307 | 1.00044e-11 0
91.8368 16.3305 | 0.427482 -0.376641 | -342.334 -1001.04
-44.7283 -76.8044 | 0.534608 0.325891 | 0 9.09495e-12
-27.6631 80.2917 | -0.525804 0.711967 | -72.846 142.598
-12.054 -96.1933 | -0.684839 -0.203118 | -1.00044e-11 -2.36469e-11
7.21198 -47.8264 | -0.0945706 0.607486 | 0 -1.40972e-11
-74.7189 -19.0751 | -0.191962 0.407322 | -59.7079 279.794
-31.6859 5.67916 | 0.59564 0.504506 | 2.72848e-12 3.63798e-12
-61.0762 -25.3168 | 0.316718 0.799751 | 6.82121e-12 -1.81899e-12
-78.8898 -14.7883 | 0.217581 -0.213693 | -5.45697e-12 -5.45697e-12
-94.2333 13.7184 | 0.436187 -1.01539 | -5.32957 340.846
-1.94384 49.9874 | 0.345138 0.536836 | -1.81899e-12 -5.45697e-12
80.9212 6.41836 | -0.556961 -0.00243156 | 1.81899e-12 -9.09495e-13
-66.9738 -57.7261 | -0.12378 -0.162273 | -3.82051 -69.8767
-14.9482 83.1425 | -0.214027 -0.0332381 | -1239.75 -3270.62
0.0557937 0.515521 | -0.158139 0.142828 | 1.36424e-12 3.69482e-12
-74.9199 18.8578 | -0.13594 -0.486254 | -149.799 -816.23
50.5304 44.0532 | 0.0457982 -0.197614 | -59.3295 330.246
-39.5926 -84.4325 | 0.0688166 0.130536 | -1023.54 2046.79
66.42 45.5554 | 0.676276 -0.269806 | 17.0476 7.59218
63.2679 -33.9581 | 0.177532 0.520198 | 63.3414 -199.892
-77.0973 15.0821 | 0.214162 -1.07059 | 0 1.98952e-12
76.2279 -1.33338 | -0.573358 -0.0517235 | 1.27329e-11 -1.06866e-11
