58.1938 52.5716 | 0.482028 -0.459163 | 2.72848e-12 6.59384e-12
-26.6414 26.0184 | -0.292992 -0.379973 | 3914.94 -7036.01
-35.3252 71.32 | -0.0558795 0.188318 | 189.513 650.121
70.8124 12.8219 | 0.323227 0.35019 | 2203.15 998.487
60.0598 -61.7291 | -0.282845 0.309466 | 3.78847 -27.2372
10.1108 15.3117 | 0.308259 0.205542 | -8.6402e-12 -3.63798e-12
-11.1199 84.4908 | -0.028787 0.0780773 | 435.628 636.791
-68.181 46.0215 | -0.403816 -0.15755 | -96.6644 -379.043
14.4906 10.2432 | -0.304082 -0.380976 | 92.3973 238.943
22.4632 -70.3642 | 0.0760005 0.0146603 | -51.8886 213.067
48.4022 73.4336 | -0.110293 -0.29177 | -1.81899e-12 3.63798e-12
66.8199 29.1661 | 0.232552 0.546094 | 3.949 -95.0514
58.1583 -41.2295 | 0.384797 -0.0456591 | 1.9815 36.9075
-9.30258 -73.7075 | -0.0139757 0.342317 | -1.18234e-11 -9.09495e-12
81.3756 6.45411 | 0.14235 -0.24339 | -158.248 364.702
22.3147 70.4901 | 0.0168299 -0.251581 | 6.36646e-12 1.27329e-11
-36.3575 -75.0652 | -0.0783482 -0.046995 | -7.27596e-12 -4.77485e-12
-18.2781 56.5 | -0.144479 0.114339 | 1437.67 -2210.94
58.2576 57.3255 | 0.0328589 0.36862 | -5.46382 124.764
-42.1381 -67.1184 | 0.415531 0.328549 | -8.10019e-12 5.79803e-12
-24.9234 -18.8557 | -0.137793 -0.215451 | -2.86641 -18.1809
-54.0252 -10.5871 | -0.262617 0.62773 | -3.86535e-12 -5.22959e-12
-63.2182 12.295 | -0.350623 0.772943 | 99.0827 -24.3873
8.27545 -57.8986 | 0.165109 -0.310598 | 2.27374e-12 1.18234e-11
2.68646 -48.2641 | -0.0966274 -0.193077 | -4.54747e-12 5.91172e-12
-48.3886 12.3871 | -0.389549 0.0809777 | 0.960854 14.9123
18.6692 57.5779 | 0.11481 -0.280976 | 2.27374e-12 1.36424e-12
-76.8323 30.2378 | 0.140241 -0.374222 | -149.078 203.519
-25.5151 88.7219 | -0.0886405 0.455959 | -1.81899e-11 2.00089e-11
-30.8145 -55.7159 | 0.181125 -0.501077 | 76.4832 124.244
-55.6624 39.7322 | -0.268459 -0.647202 | -9.09495e-12 2.72848e-12
60.3116 -59.241 | -0.252229 0.415371 | -3.78847 27.2372
50.7792 -8.16418 | 0.138828 0.169487 | -19.8445 -65.0343
70.7788 -26.7046 | -0.0490304 -0.0324338 | -187.029 -66.4741
49.2034 -50.8895 | -0.819269 -0.47455 | 4.16815 86.5639
-46.4698 38.1399 | -0.753462 -0.164982 | 116.622 327.775
-39.9394 66.6883 | 0.0641736 0.266556 | -187.26 -642.092
-39.406 76.264 | -0.421552 -0.392608 | 0.200071 33.579
47.7546 -70.1321 | -0.814174 0.370754 | 203.148 273.71
32.597 75.8576 | -0.143931 0.583771 | 4.77485e-12 -5.00222e-12
-20.4356 -0.722749 | -0.191092 0.0116063 | 1.81899e-12 7.27596e-12
-11.9129 -80.0932 | 0.101549 -0.0641116 | -1.81899e-12 -1.27329e-11
26.5863 -33.9873 | 0.522044 0.330491 | 150.079 -1664.96
43.7989 -41.573 | 0.381682 -0.141178 | 49.4058 545.715
-82.5239 8.39845 | -0.088137 0.238278 | -2.09184e-11 -7.27596e-12
70.1832 51.5366 | -0.238046 0.221133 | 5.46382 -124.764
14.2579 -79.6333 | -0.682334 -0.190445 | -3.63798e-12 1.27329e-11
-6.49268 32.1898 | 0.0805491 -0.136041 | -3.63798e-12 9.09495e-13
52.2321 4.97018 | -0.917234 0.120704 | -53.9937 -205.928
62.8408 -30.9213 | -0.354358 0.12647 | 158.647 2032.38
45.7959 44.4169 | 0.701549 0.588406 | -4.9267 10.1761
-25.2875 43.8906 | -0.528927 -0.123339 | 563.647 -1799.53
-56.405 -8.25167 | -0.217101 -0.318262 | -3.63798e-12 8.18545e-12
-28.9456 -82.3135 | 0.83554 -0.219823 | 8.30995 9.82155
-57.6454 30.7486 | 0.0787109 0.284546 | 282.39 -2623.11
42.3565 13.1052 | 0.545437 -0.587024 | 3.63798e-12 2.84217e-12
21.9853 -44.9564 | 0.0679694 -0.00884598 | -4.54747e-13 -6.70752e-12
81.5041 9.65616 | 0.0104263 -0.047291 | 434.044 -125.201
74.7434 38.2436 | 0.298994 0.223266 | 2.04636e-11 -1.54614e-11
51.9194 -45.0927 | -0.423519 -0.000555293 | -1515.74 852.645
73.4095 -44.2508 | -0.177429 -0.796418 | 1.81899e-12 1.40972e-11
-30.2667 64.8824 | -0.37485 0.161962 | 175.445 564.46
17.6646 27.7812 | 0.680164 -0.474185 | -2301.87 -3525.8
-76.8237 23.8747 | 0.128294 -0.184984 | -282.39 2623.11
-4.10572 -72.6896 | -0.014469 0.128307 | 55.6539 -225.724
39.5782 -50.401 | -0.286558 -0.238436 | 1464.35 -1435.27
50.6106 13.0036 | -0.561319 0.396523 | 3.18323e-12 -3.46745e-12
56.4805 68.2186 | 0.219223 0.65875 | 534.624 407.452
50.5045 61.4686 | -0.0328124 0.0424065 | 1.36424e-12 9.09495e-13
30.8134 -76.6764 | 0.210953 -0.390334 | -3.76529 12.6566
57.8821 49.7781 | -0.0628368 -0.49905 | -3.63798e-12 1.36424e-12
-63.4111 2.47378 | -0.439565 -0.139432 | -2157.19 1676.32
-36.3323 18.0484 | 0.745388 0.487007 | 22.1001 -116.557
-45.1326 -40.0638 | 0.443787 -0.411706 | -442.362 -698.365
-43.7727 53.9326 | 0.115129 -0.123314 | -641.056 1358.58
21.6947 83.1465 | 0.185962 -0.130956 | 1222.04 -2094.91
-74.6137 37.265 | -0.486216 0.266693 | -2.72848e-12 1.47793e-11
60.7701 -18.3683 | -0.320914 -0.181667 | 5.45697e-12 4.54747e-12
46.4619 -3.77657 | 0.284826 0.483558 | -2.72848e-12 2.72848e-12
-24.3879 30.6519 | -0.315575 -0.04501 | -1.45519e-11 -1.18234e-11
-9.44081 96.0382 | 0.0283483 0.248528 | 34.526 310.821
-57.3208 -51.0267 | -0.202943 0.718401 | -1.36424e-12 -1.81899e-12
13.3763 -72.1369 | 0.243373 -0.191449 | -4.54747e-12 -6.36646e-12
28.9414 11.2217 | -0.218039 0.289259 | 2.72848e-12 -2.72848e-12
28.4375 33.41 | -0.351909 -0.0291879 | -191.577 815.459
46.7593 63.9934 | -0.483331 0.748969 | 343.404 -484.888
18.1308 86.2553 | -0.190421 -0.0947076 | -1222.04 2094.91
34.4911 -82.232 | 0.226455 -0.418132 | -1.63709e-11 1.81899e-12
21.4643 -16.9267 | -0.104762 -0.303265 | 0 8.18545e-12
-12.5256 3.59558 | 0.0128607 0.316108 | -578.101 -829.176
96.4432 0.907392 | -0.0645631 0.000108458 | -6.6791e-13 2.72848e-12
-44.7498 -70.451 | 0.0414787 0.244337 | -7.27596e-12 1.27329e-11
-42.959 73.3121 | -0.103478 0.156567 | -0.200071 -33.579
-19.5342 -93.4411 | -0.2349 -0.300095 | 3.45608e-11 -3.63798e-12
9.91925 -43.1837 | -0.596527 -0.0540601 | 7.27596e-12 1.09139e-11
-57.3686 -5.27019 | -0.197865 0.489904 | 9.09495e-13 5.00222e-12
-19.7471 13.139 | 0.238565 -0.0637697 | -6.0254e-12 -1.81899e-12
-49.9205 -14.7011 | -0.167399 0.0107577 | 650.411 1847.64
-71.4715 -10.0266 | -0.126183 0.904306 | 2.50111e-11 1.3415e-11
-95.8511 -2.91101 | 0.194385 0.158698 | 150.714 -195.161
4.63072 51.1251 | -0.358031 -0.108073 | -52.9042 -106.63
79.595 0.974467 | -0.13958 0.410596 | -236.574 -439.953
-71.3519 -51.5553 | -0.77197 0.187541 | -5.45697e-12 3.06954e-11
-31.4011 80.3508 | 0.111344 0.139635 | -420.043 -751.46
2.38885 4.95881 | 0.578445 -0.292479 | 578.101 829.176
-79.0244 7.98025 | -0.365069 0.403816 | 369.748 -1327.13
58.5719 38.3893 | 0.946354 -0.509979 | 138.13 -233.909
-45.4489 -76.3552 | 0.0437113 0.619297 | 1.09139e-11 -2.27374e-11
74.3079 41.3592 | 0.439645 0.153546 | 1.09139e-11 1.09139e-11
59.1501 -26.3885 | -0.532433 -0.130115 | -144.768 -603.755
-76.6839 3.57475 | -0.458054 -0.0239395 | -102.078 364.332
69.7709 -3.15104 | -0.329079 0.0707592 | 6.54838 29.7297
