-65.6054 25.8543 | 0.0302012 -0.239932 | -3.63798e-12 -1.81899e-12
-12.457 -58.0997 | -0.381925 -0.06612 | 0 5.45697e-12
-92.5041 2.21217 | -0.0450014 0.663243 | 67.2743 -112.526
-5.94847 84.1138 | 0.0322451 0.337517 | 1.72804e-11 -2.72848e-12
59.7201 51.0726 | -0.0120114 -0.497202 | 1.40972e-11 1.03455e-11
64.8524 20.6476 | -0.0792415 0.191285 | -126.588 -84.0426
48.0432 15.3687 | -0.0137064 0.558476 | 1.00044e-11 -2.72848e-12
-43.8758 -51.39 | 0.379509 0.380328 | 4.54747e-12 -6.42331e-12
18.7728 -11.6686 | 0.750495 0.594069 | -4.3201e-12 2.72848e-12
-59.7901 -37.4333 | -0.829141 0.281287 | -9.09495e-12 4.54747e-12
20.3803 -52.987 | -0.0397567 -0.164165 | 1.81899e-11 1.35003e-12
44.693 81.1787 | 0.228497 -0.01227 | -6.13909e-12 2.27374e-12
83.9293 -25.9311 | -0.351148 -0.111257 | 110.268 -57.5275
-55.925 -1.15235 | 0.569576 -0.10865 | -1.00044e-11 6.36646e-12
-43.5188 -73.5814 | 0.124097 0.094186 | -1.09139e-11 -8.18545e-12
-24.7921 27.8328 | -0.656788 -0.0403529 | -5.45697e-12 -7.7307e-12
-25.5631 3.36538 | -0.472565 -0.181703 | 9.09495e-13 -5.22959e-12
24.9888 -87.0179 | -0.0328582 -0.130671 | 2.45564e-11 2.16005e-12
-45.9895 36.0763 | -0.360435 0.174481 | 602.784 -381.558
