-75.3487 22.1886 | 0.224875 0.565863 | 9774.79 -7119.71
-9.36295 -62.7977 | 0.94233 -0.430592 | 6.13909e-12 -3.41061e-12
-91.7224 16.0658 | 0.321221 -0.307989 | -10300 7592
-6.49381 85.1159 | 0.311982 -0.217416 | -3.63798e-12 4.54747e-13
58.123 49.9323 | -0.986359 0.361422 | 4.54747e-12 1.00044e-11
71.7282 27.4822 | 0.120836 0.10982 | -5.79803e-12 -2.04636e-12
65.395 25.8057 | -0.0204401 -0.374205 | 4.3201e-12 3.41061e-12
-58.4827 -52.871 | 0.0647663 0.673601 | -3.63798e-12 -1.27329e-11
36.7664 -6.39982 | 0.00978434 -0.362065 | -9.09495e-12 9.09495e-13
-65.7312 -40.8119 | -0.0942698 -1.2391 | -15.7761 77.2233
34.8092 -58.2986 | -0.269279 -0.860228 | -351.987 -537.649
39.0941 84.0417 | 0.440919 -0.388467 | 9.09495e-13 -4.54747e-12
77.3162 -27.2432 | 0.978193 0.156837 | -3.97904e-13 -9.09495e-13
-72.1714 -5.03529 | 0.360238 0.592971 | -1.00044e-11 1.7053e-13
-30.2643 -78.2981 | -0.276029 -0.083596 | 1464.74 1622.46
-31.9505 26.2694 | 0.889792 0.633977 | 3.63798e-12 -6.36646e-12
-26.6661 3.19097 | -0.536457 0.359595 | 0 -9.09495e-12
8.39388 -90.7186 | 1.00788 0.206223 | 826.183 1939.79
-55.2724 37.5835 | 0.0815672 0.327802 | 1124.76 2839.36
