-25.2098 -77.8939 | 0.275903 0.0299159 | 1.20508e-11 2.78533e-12
-34.251 81.0245 | -0.464248 0.0437784 | 7.27596e-12 1.81899e-12
29.6336 75.3347 | 0.0324245 -0.178302 | 4.54747e-12 -2.27374e-12
37.8441 -73.7323 | 0.201243 0.138642 | 9.09495e-13 -8.6402e-12
73.2359 -28.9983 | 0.0322781 0.215505 | -35.7287 140.537
-44.8731 17.9049 | 0.70887 -0.233726 | 9.09495e-12 0
-62.1911 -65.8724 | -0.439491 0.429681 | -1.25056e-11 4.09273e-12
-15.8555 -10.898 | -0.395462 -0.0969882 | 1.13687e-12 -2.72848e-12
52.6387 -45.7644 | 0.0820904 0.157912 | 1.09139e-11 1.40972e-11
62.3365 43.0551 | 0.259014 -0.516618 | -3.58114e-12 5.34328e-12
42.3495 41.4215 | 0.449498 0.682942 | -7.27596e-12 5.68434e-13
62.7442 57.6505 | 0.540673 0.00113305 | 1.09139e-11 -5.45697e-12
-24.6877 -40.4285 | 0.96058 -0.184973 | -6.82121e-12 -1.10845e-12
-6.72091 81.3852 | 0.281875 0.211607 | -9.09495e-13 -4.3201e-12
54.1636 -65.0508 | -0.204979 0.303269 | 3.63798e-12 6.36646e-12
-40.0154 39.0176 | 0.655502 -0.317712 | 290.154 925.857
-38.8425 71.3489 | -0.0298211 0.171158 | -22.128 693.605
-23.5815 -86.1413 | 0.924717 0.168769 | -1.01311 8.40109
