-88.3692 13.6919 | 0.0295479 0.129056 | 3.63798e-12 6.59384e-12
-10.7601 85.0565 | -0.121255 -1.38373 | 25.7486 46.3135
51.7698 59.5246 | 0.0537687 0.585517 | 52.2972 -425.018
65.0851 22.4068 | -0.519788 -0.216162 | -1.42109e-12 -4.54747e-12
60.8983 21.7807 | -0.830409 -1.0964 | 1.24921 2.62588
-50.3754 -54.151 | 0.618103 -0.629667 | 0 -2.50111e-12
31.8612 -17.4061 | -0.562212 -0.605778 | 1.81899e-12 5.05906e-12
-50.2269 -42.2337 | 0.916254 -0.613861 | -1.13687e-11 9.09495e-13
30.5436 -55.393 | -0.328998 0.398613 | -10.6996 59.6463
42.5434 83.6116 | -0.647522 -0.677627 | -220.228 994.337
86.9407 -23.3618 | 0.34129 -0.245049 | 202.965 -345.943
-59.7603 -6.43844 | -0.105946 -0.462957 | -5.00222e-12 -5.45697e-12
-35.3347 -75.1157 | -0.497137 -0.0304436 | -64.3714 -105.851
-30.2739 31.8985 | -0.525416 0.226403 | 1.36424e-12 5.22959e-12
-27.7578 7.0684 | 0.36688 -0.197064 | -2.72848e-12 -9.09495e-13
15.4592 -85.6349 | 0.104863 0.981861 | -6.50857e-12 3.63798e-12
-50.5219 38.9844 | 0.34476 0.149318 | 5.00222e-12 -9.09495e-13
