30.11 21.1152 | 0.32283 1.6381 | -271.712 -225.442
-20.5135 -91.6199 | -0.179368 -0.732145 | -60.2911 -2120.26
-33.1449 -24.457 | -0.908775 -0.549231 | 19.2052 -23.5005
21.5584 45.1695 | 0.152072 1.05651 | 27.7289 -605.259
33.6743 0.318424 | -0.102551 0.126117 | -2066.78 2631.95
65.5401 -23.0413 | -0.0119708 0.514982 | -2.6148e-12 4.54747e-12
-32.6697 73.7006 | -0.157687 -0.505277 | 458.516 -1173.58
-58.2824 53.6026 | 0.165007 1.06187 | 247.754 72.4082
47.9795 -4.50575 | 0.994423 -0.299268 | 452 -1329.24
-29.7398 -4.5528 | 0.474272 -0.328629 | 897.833 1082.9
76.4138 -49.5562 | 0.41717 -0.89459 | -464.208 304.611
-10.8232 -72.2077 | -0.794328 -0.933737 | 8.90905 49.0632
-69.6291 -40.312 | -0.0670035 -1.79494 | 1791.15 2573.33
-51.4681 -58.6474 | -0.320564 -0.130144 | 4025.16 2406.82
-48.6297 38.7298 | -1.12892 1.24686 | 193.874 281.11
16.5249 72.8565 | 0.153355 0.39666 | -258.408 189.396
-12.4712 -63.2719 | -0.189305 -0.717335 | 71.4859 -394.1
-66.7801 -59.867 | 0.454229 -0.513658 | 25.5145 59.7973
-3.9872 -56.6288 | -1.42136 -0.613097 | -145.865 523.892
-36.421 -73.3941 | -0.455959 0.347688 | 2637.77 -3828.47
-53.4427 63.3161 | 0.317298 1.30654 | -328.228 603.439
29.881 -25.8359 | 0.19412 -1.26235 | 71.839 210.746
-49.8151 -68.0058 | 0.498716 -0.41459 | -320.864 -28.3587
47.3516 33.5937 | -0.320798 0.953121 | 8.02138 603.34
-35.6577 -38.7644 | 0.103128 -1.0058 | 0 1.36424e-12
-81.1584 -4.21664 | -0.158254 -0.633104 | 0.990877 4.31741
-60.3726 -46.0157 | -0.616643 -1.19504 | 1.81899e-12 1.81899e-12
25.5933 -66.4439 | 0.0159862 0.207129 | -53.4307 -1872.76
23.3443 15.719 | 0.333808 0.409762 | -208.245 1109.79
20.8879 -71.6793 | -0.444096 -1.07118 | -10.359 -1170.09
-1.3164 51.5876 | 0.154619 0.462349 | -4.54747e-13 3.18323e-12
-70.6798 57.2592 | 0.209954 0.253706 | 356.036 -448.251
30.5051 69.3534 | 0.335152 0.20259 | 1964.75 -2729.42
-49.7301 73.0962 | 0.430791 0.998372 | -405.009 915.244
-3.17427 63.5621 | -1.42879 0.400039 | -2460.14 1199.97
17.0076 41.9686 | -0.0297316 0.726044 | 6.36646e-12 7.88702e-12
-1.84598 72.1271 | -1.08261 -0.123335 | 962.056 -578.727
36.949 67.1502 | 1.23265 0.733632 | 1.33582e-12 -6.08225e-12
14.1958 35.8673 | 0.0535486 0.234683 | -3.63798e-12 1.36424e-12
-23.7665 20.2262 | -1.04861 0.434137 | 1349.5 -5832.15
-15.7118 89.7298 | 0.70135 -0.22046 | 523.579 -3820.14
-37.7338 13.4331 | -1.07773 0.497632 | 411.816 -1329.24
28.6648 -12.3347 | 0.489465 0.0028813 | 380.549 -4227.32
88.9064 -13.13 | 0.274357 0.872035 | 112.608 -2015.55
-69.5417 -17.7296 | -0.269648 -1.21616 | -122.656 810.978
55.6616 -43.8674 | -1.39208 -0.630197 | -109.567 -187.021
1.04032 -9.994 | -0.614354 -0.206038 | -19.1585 68.2009
25.5643 -56.7694 | -1.0755 -0.259608 | -27.1033 -45.4209
33.8657 -18.2664 | 0.097633 -0.388397 | -759.441 -484.859
32.1074 24.2429 | 0.346778 1.59561 | 133.946 289.67
7.4346 93.1604 | -1.39833 -0.770626 | -58.1956 162.409
-70.8047 -28.1869 | -0.0522144 0.568837 | -1207.33 2969.02
-49.1508 1.53712 | -0.243767 -0.160427 | -1580.14 1743.26
-26.223 6.66818 | -1.14667 0.28404 | 9.09495e-13 4.37694e-12
-39.3238 -20.6174 | 0.224895 -0.568962 | -4.54747e-13 1.81899e-12
-58.1278 -60.0382 | -0.793204 -0.945991 | -4083.85 -2187.86
47.6953 -21.5732 | 0.25517 -0.954432 | -1.31877e-11 4.37694e-12
-47.5055 16.8921 | -1.30958 0.398566 | -2404.39 667.318
-43.2401 68.2633 | 1.09192 -0.406994 | -128.172 226.666
-18.6643 -24.1503 | -0.483239 -0.734338 | 63.0774 -199.61
28.8407 86.7094 | 0.189737 -0.182487 | -94.2915 139.327
73.5674 -14.4611 | 0.104731 -0.275861 | 252.411 1131.88
8.33658 -31.4649 | 1.15854 -0.689537 | 429.513 1783.76
38.7433 -2.31056 | 0.608312 0.724292 | 1991.88 -2534.14
-4.88831 33.6654 | 0.650282 0.81808 | -442.396 754.982
64.3923 -9.96405 | -1.02422 -0.0851612 | 230.621 -1592.48
26.9951 -92.0192 | -0.357089 0.470286 | -7.27596e-12 0
-68.6179 -35.1308 | 1.10834 -0.0660246 | 1.42109e-12 6.70752e-12
-57.8746 -55.6079 | -0.226412 -0.170834 | -4535.91 -4050.47
66.7953 10.4835 | 0.121711 0.135719 | -185.172 -177.635
-19.6336 -89.9427 | -0.336678 -0.491131 | 1601.56 -2905.5
-20.4123 -68.2015 | -0.0779651 -0.182582 | 151.35 -389.752
-25.5539 -67.1207 | -0.697525 -1.08329 | -2654.03 3763.37
-29.1835 -15.3094 | -0.36544 -0.601735 | 312.467 -5114.19
71.2013 33.1724 | -0.625678 0.52554 | 65.1243 -94.6408
41.1658 34.5491 | -0.917312 0.105282 | -1316.3 -3676.22
74.6934 30.266 | -0.372194 -0.206639 | -99.6511 259.607
