-65.55 27.8808 | 0.587872 0.00788622 | 29.4824 -110.332
-5.29578 -59.8963 | -0.339943 0.258561 | -5.22959e-12 -1.04592e-11
-88.3188 13.2239 | 0.338663 -0.208667 | 2.00089e-11 6.13909e-12
-9.48682 83.6412 | 0.41785 0.0114696 | 272.858 758.116
52.91 59.5266 | 0.310812 -0.407665 | 50.3249 -387.259
63.0625 20.1367 | -0.365233 -0.656244 | -206.019 -168.797
58.9411 18.2824 | -0.173409 -0.316991 | 3.86535e-12 -5.45697e-12
-48.5208 -58.153 | -0.14003 -0.0130862 | -2165.59 6952.37
28.7082 -19.5884 | -0.582496 -0.131031 | -9.09495e-12 -4.54747e-13
-46.6518 -43.0094 | 0.222819 -0.1306 | -440.122 -1125.93
27.9895 -54.9612 | -0.515729 0.313087 | 7.27596e-12 -9.09495e-13
37.4538 83.222 | -0.749638 0.263339 | 105.017 50.5445
87.47 -25.0014 | -0.204653 0.150907 | -155.486 171.525
-60.375 -6.60865 | -0.284004 0.829306 | 4.3201e-12 1.81899e-12
-40.0824 -75.4891 | -0.950379 0.246626 | 44.2079 20.5393
-32.5452 31.54 | -0.18934 -0.300455 | 0 4.54747e-13
-27.0851 4.75697 | -0.100881 -0.670512 | -2.04636e-12 -4.77485e-12
15.9187 -85.1943 | 0.0549211 -0.315316 | -9.09495e-12 4.09273e-12
-48.4053 39.644 | 0.455497 0.139039 | -29.4824 110.332
