64.506 -70.0109 | -0.168393 0.0667778 | 0 3.63798e-12
-3.15825 -43.4964 | -0.178446 0.846033 | -1.36424e-12 2.72848e-12
57.8461 2.70728 | -0.626893 -0.40147 | -9.09495e-12 -4.3201e-12
-62.5005 27.4756 | -0.32583 -0.14657 | 1.46656e-11 4.3201e-12
-6.52104 -61.8292 | 0.098839 0.213032 | 0 2.27374e-13
-89.7591 6.02733 | 0.0202767 -1.01975 | 4.09273e-12 -1.63709e-11
-7.24089 84.2994 | 0.174744 -0.222478 | -4.54747e-13 6.36646e-12
59.0678 55.8721 | 0.270426 -0.212213 | 5.68434e-13 0
64.5056 18.622 | 0.137283 -0.0527341 | 2.27374e-12 -3.63798e-12
53.1625 15.6437 | -0.292045 0.135683 | -1.08002e-12 -3.75167e-12
-51.7957 -55.0493 | 0.306384 -0.114261 | 628.598 -1326.48
18.9227 -18.7129 | -1.10879 0.529138 | 1.36424e-12 5.45697e-12
-50.2694 -40.3578 | -0.960861 0.531839 | -3.18323e-11 0
19.7555 -55.1757 | -0.0922863 0.366794 | 1085.46 -1955.99
39.5276 83.4381 | 0.467156 -0.241334 | 5.45697e-12 8.92442e-12
86.6496 -20.5149 | -0.209567 0.0164059 | 899.5 -1138.19
-60.3611 1.0575 | 0.368176 -0.0508686 | -1.13687e-11 -3.29692e-12
-43.5748 -75.7162 | -0.0386135 0.332838 | 0 -7.27596e-12
-26.7325 33.6691 | 0.71215 -0.471093 | -1.00044e-11 7.95808e-13
-27.6192 4.92402 | 0.263851 0.638513 | 6.59384e-12 -9.09495e-12
20.9673 -87.2462 | 0.534463 0.013071 | -387.784 709.094
-42.7334 38.1146 | 0.193626 0.52212 | 6.36646e-12 -3.41061e-13
