-88.6859 13.7031 | 0.414532 -0.104643 | 1.81899e-12 -1.13687e-11
-9.59598 87.1474 | -0.24431 -0.467043 | 1.81899e-12 4.54747e-13
51.6187 57.1535 | 0.0582667 0.443055 | 3.63798e-12 7.27596e-12
67.4358 24.3327 | -0.784501 -0.772165 | 219.934 -135.516
63.6292 24.4789 | -0.617004 -0.422808 | -219.934 135.516
-52.6498 -53.2313 | 0.65115 -0.2481 | -9.89075e-12 -1.93268e-12
33.8489 -14.9005 | -0.568042 -0.719295 | 1.08002e-12 -2.72848e-12
-53.7262 -41.4644 | 1.15087 -0.100143 | -826.407 6604.98
31.5772 -56.5196 | 0.0639537 0.532262 | -234.592 1049.9
43.7698 83.3346 | -0.382091 -0.0613779 | 6.36646e-12 -4.3201e-12
86.7233 -24.2485 | 0.144892 0.479044 | 9.09495e-13 -6.82121e-12
-60.7401 -6.00007 | 0.188535 -0.0875696 | 4.54747e-12 -1.59162e-12
-33.8326 -76.5047 | -0.488331 0.766075 | 3.63798e-12 1.19371e-12
-28.615 31.202 | -0.404005 0.071926 | 5.45697e-12 -2.72848e-12
-28.6875 6.88974 | 0.19168 0.123964 | 0 -6.36646e-12
14.6755 -87.9746 | 0.407402 0.581906 | 193.199 -2099
-52.0215 38.9235 | 0.677409 0.559498 | 203.184 -359.399
