18.7122 36.1932 | -0.396214 0.0208669 | -38.5206 -144.325
47.4373 -19.6462 | 0.425448 -1.01472 | -5.45697e-12 6.82121e-12
7.96128 -13.3331 | 0.0520162 0.386408 | 9.09495e-13 -3.63798e-12
62.1809 -25.4006 | 0.274174 -0.175981 | -503.755 -1287.94
-10.3612 -21.0964 | 0.288234 0.317469 | 5.9152 -48.5651
-36.094 26.0544 | 0.661902 -0.308433 | -6.36646e-12 3.41061e-12
69.4938 63.3826 | 0.216966 0.0332184 | 17.4588 17.9587
-45.7391 -12.4589 | 1.15044 0.65435 | 477.557 -2099.43
58.2389 -73.6299 | 0.512177 -0.0162308 | -2.36469e-11 2.27374e-13
73.8365 -52.7722 | -0.0869891 -0.0613733 | -4.09273e-12 1.54614e-11
-17.3438 -29.7063 | 0.2647 0.0602004 | 587.765 -1481.38
-55.0343 20.245 | 0.721691 -0.0305902 | 9.09495e-13 6.36646e-12
-61.0256 64.4481 | 0.329306 0.115949 | -1.75646e-11 -9.54969e-12
-29.7129 60.8319 | -0.158463 0.159678 | -2060.05 1184.54
-66.9926 -13.0169 | -0.0950646 -0.155346 | -1273.58 -1160.47
27.0294 -66.3278 | -0.519995 0.265008 | -2.38742e-12 4.09273e-12
83.266 -32.7561 | -0.398224 -0.510457 | 659.798 -1156.81
-19.5911 1.20798 | -0.127242 0.153163 | -6.13909e-12 4.54747e-12
-72.5503 -30.8835 | -0.00449257 0.124969 | -8.18545e-12 -1.13687e-12
