-3.45838 -61.4845 | -0.789237 1.01523 | -1.05676 2.76385
-88.6875 13.9008 | -0.167729 0.00616353 | 114.248 -225.803
-10.7583 83.5845 | 0.029689 -0.598112 | -26.3006 1278.87
51.8658 60.1219 | 0.113471 0.314936 | 991.28 -5281.96
64.2123 21.9524 | -0.680153 -0.452568 | -1.81899e-12 -2.72848e-12
60.0399 20.3118 | -0.19618 -0.884065 | 72.925 233.206
-49.4838 -55.3514 | 0.578612 -0.911497 | 3.63798e-12 4.3201e-12
31.0063 -18.1809 | -0.576263 -0.442413 | -1.67688e-12 -1.81899e-12
-48.8649 -42.9342 | 0.903312 -0.379375 | -1.45519e-11 1.81899e-12
29.9423 -54.9674 | -0.41224 0.0393141 | 24.1104 -47.9811
41.3338 82.9441 | -0.947791 -0.126985 | 0 -2.72848e-12
87.6146 -23.8951 | 0.382892 -0.373407 | 3.28271e-12 5.91172e-12
-59.9193 -7.13289 | -0.105962 -0.462965 | -2.95586e-12 5.00222e-12
-36.2963 -75.4104 | -0.692801 -0.24843 | 9.09495e-13 5.91172e-12
-31.0692 32.035 | -0.53207 0.0367569 | -1.31877e-11 -2.72848e-12
-27.2074 6.7728 | 0.36688 -0.197064 | -4.54747e-13 -2.27374e-12
15.6584 -85.0156 | 0.0520983 0.213752 | 5.91172e-12 -1.09139e-11
-50.0146 39.1922 | 0.346206 0.217477 | 425.264 2155.72
