-58.7563 -29.0344 | 0.745165 -0.879198 | 2.04636e-12 -1.08002e-12
37.7175 2.88166 | -2.16304 -0.729374 | -5.68434e-14 -3.06954e-12
-69.7012 -25.1966 | -0.617664 -0.786885 | 6.70752e-12 -1.24487e-11
28.1579 -25.0798 | 1.70932 1.20981 | -120.025 40.7145
21.3744 60.4886 | 1.06569 1.22442 | 2.38742e-12 2.72848e-12
61.4598 -20.7431 | 0.452423 -0.0507501 | -161.156 13.1291
-47.5385 -8.52942 | 0.776984 0.82288 | -1962.24 1474.93
-20.8702 -54.5148 | 1.09931 -0.466571 | 2.95586e-12 3.86535e-12
-48.1305 9.01443 | 0.682954 -0.294649 | 96.1265 -692.833
-10.3168 -0.14767 | -2.16899 0.392654 | 1.36424e-12 -1.36424e-12
21.9517 -73.2352 | 1.46704 -2.43678 | 1.59162e-12 1.25056e-12
-52.4666 22.2189 | 0.366605 0.0590197 | -25.7342 -1519.48
