-26.5966 29.6622 | -0.426107 -0.195342 | 1.05602 -2.06377
-22.4003 -78.9915 | 0.195424 0.0773368 | -3.63798e-12 -1.36424e-12
-51.8563 72.8703 | -0.740425 -0.671532 | 1.36424e-11 6.36646e-12
33.4119 71.9651 | 0.00344218 0.0266897 | -0.0744517 0.101166
51.1922 -69.7038 | 0.555743 -0.299085 | 4.54747e-12 -1.81899e-12
64.3694 -22.2473 | -0.570012 -0.00374886 | 14.1801 671.164
-33.191 15.8554 | 0.10159 0.238257 | 3800.06 -3428.62
-75.3581 -59.7759 | -0.0609538 0.44812 | 3.86535e-12 -8.41283e-12
-29.0206 -7.46837 | -0.0434467 -0.150504 | 2.16005e-12 -4.54747e-12
50.6322 -44.4232 | -0.227945 -0.095925 | -16.3927 257.715
68.1396 36.1382 | 0.0328368 -0.0434964 | 4.54747e-12 0
45.1637 33.2996 | -0.131098 -0.568024 | -24.4876 61.2385
71.1582 54.7785 | 0.194499 -0.402419 | 646.282 -2021.8
-19.2901 -38.5436 | -0.455587 -0.469258 | 5.45697e-12 -3.63798e-12
-6.43296 80.2846 | -0.163166 -0.300845 | -45.1713 -85.9166
52.7562 -64.3662 | 0.313062 0.576991 | -1.81899e-12 9.09495e-13
-32.5182 37.6847 | 0.19848 0.113148 | -1.05602 2.06377
-47.093 69.9118 | -0.430957 -0.200703 | 7.27596e-12 1.81899e-11
-10.3102 -83.656 | 0.401577 0.22341 | -6.4091e-12 5.00222e-12
