-25.4171 35.4538 | 0.928657 -0.55607 | 5.45697e-12 -2.00089e-11
-25.4857 -77.9238 | 0.275903 0.0299159 | 3.18323e-12 -2.72848e-12
-33.8342 80.8885 | -0.286622 0.388198 | 1.45519e-11 9.99023e-12
29.6012 75.513 | 0.0324245 -0.178302 | 5.68434e-13 -6.59384e-12
37.6317 -73.7216 | 0.228479 -0.165059 | 5.45697e-12 5.22959e-12
73.1541 -29.3119 | 0.156231 0.395134 | -147.21 464.184
-45.582 18.1387 | 0.70887 -0.233726 | 3.63798e-12 4.09273e-12
-61.7516 -66.3021 | -0.439491 0.429681 | 5.45697e-12 7.27596e-12
-15.4927 -10.8344 | -0.263539 0.0396493 | -10.595 -10.2426
52.6338 -45.8506 | -0.108343 -0.0207229 | -1.54614e-11 -7.3328e-12
62.1122 43.2326 | 0.116606 -0.180547 | 1805.07 1880.63
41.9 40.7386 | 0.449498 0.682942 | 9.09495e-12 -1.31877e-11
62.3689 58.0238 | 0.253074 -0.612993 | 1.36424e-12 -1.81899e-12
-25.6181 -39.8991 | 0.884395 -1.01768 | -4.20641e-12 3.63798e-12
-6.92391 81.3488 | 0.169644 -0.0370814 | 4.41955 10.1491
54.3686 -65.3541 | -0.204979 0.303269 | -9.09495e-13 -2.50111e-12
-40.6307 39.4913 | 0.589549 -0.576836 | 4.54747e-13 2.27374e-13
-38.6936 71.9601 | -0.157624 -0.963223 | -466.356 1054.23
-24.6002 -85.9021 | 1.0431 -0.341448 | 8.18545e-12 -4.51772e-12
