77.2982 16.1595 | 0.847141 -0.108401 | 506.749 -2626.99
49.5743 -65.2742 | -0.372278 -1.09697 | -8.18545e-12 -7.27596e-12
21.0587 9.63346 | 0.0133071 1.11496 | 3.13024 -274.403
14.8254 82.437 | -0.24571 0.5322 | 109.443 -586.044
-65.43 52.1083 | -0.0581771 1.13302 | 3298.41 -221.157
15.5532 2.74793 | -0.327105 -0.136714 | 2.04636e-12 -4.09273e-12
28.9504 -78.0003 | -2.20339 -0.567528 | 88.4463 -2039.38
49.652 72.3953 | 0.466183 -0.222038 | 51.3171 170.209
67.2181 33.0833 | -0.997888 0.747727 | -1271.05 2042.24
46.8563 -45.4123 | 0.448472 -0.480045 | -414.418 278.029
3.09909 -80.9966 | -1.48811 -1.63373 | 64.8476 96.1583
85.9572 15.3107 | 0.868853 -0.142707 | 76.7333 4142.43
27.0533 72.4478 | -0.879073 -0.375756 | 3577.87 -463.102
-26.1399 -83.4553 | 0.40581 -0.101456 | 108.133 -77.9641
-29.9329 68.0106 | 0.556853 0.0730899 | -1.13687e-13 -9.09495e-13
60.0366 58.2278 | -0.524147 0.338661 | 8.18545e-12 -3.18323e-12
-37.1187 -75.2194 | 1.64939 0.212179 | 3.41061e-13 4.54747e-13
-32.8497 -21.0183 | -0.141518 -0.655822 | -4.13246 -5.09592
-71.9589 -14.2555 | -1.08074 0.277528 | 1.36424e-12 -2.27374e-13
-84.3949 6.84533 | -1.02319 0.789958 | 6567.16 -3478.51
8.81785 -58.4392 | -0.556942 -0.727658 | 2.72848e-12 5.11591e-12
-3.33593 -45.3218 | 0.601284 -0.939043 | -2.72848e-12 -4.54747e-13
-57.5034 7.77348 | -0.473043 0.393679 | -439.258 462.567
10.098 54.4534 | -0.446081 0.591164 | -2.95586e-12 3.41061e-12
-73.3064 42.267 | -0.608243 -0.47238 | -1.17382e-11 1.59162e-12
-5.78684 91.8633 | -0.394004 -0.22235 | -2002.99 -6460.07
-31.9689 -62.4114 | -0.55385 -0.574587 | 4555.72 973.434
-51.9278 46.7452 | -0.788022 1.19649 | 936.79 -1258.96
52.2455 -62.1422 | -0.823025 -0.790426 | 4.54747e-12 -3.18323e-12
67.2199 -8.26062 | -0.186743 -0.212607 | 370.781 2123.18
64.394 -32.7157 | -0.0410181 -0.719571 | 26.3743 -204.753
37.973 -52.1739 | 0.027275 -1.20962 | 1371.59 887.209
-42.7987 39.3421 | -0.899177 1.32807 | -206.334 -348.38
-38.5801 79.8722 | 0.252241 -0.23113 | 33.8292 -7.84919
-29.3833 86.4001 | 0.505612 -0.173938 | 129.157 2634.34
41.256 -70.7285 | 0.222033 -0.160563 | -1.36424e-11 -4.54747e-12
37.3583 77.6495 | -1.16474 0.135096 | -4.10381 96.8589
-32.7864 -7.0888 | 0.696131 -0.138896 | -1566.34 -3532.04
-0.432304 -84.8877 | 0.058887 -0.35925 | -84.5499 816.44
22.3863 -24.6993 | 0.602975 -1.70448 | 0.445516 -20.8633
42.2997 -40.5192 | -0.102117 -1.36176 | 16.1153 -84.7213
-77.0664 20.2687 | 0.666766 0.59596 | -1.77351e-11 2.72848e-12
57.045 51.6273 | 0.732321 0.215919 | -2.72848e-12 3.18323e-12
23.0349 -85.8449 | -1.15652 -0.623278 | -450.104 -735.515
-20.9 26.8973 | 0.490216 0.460898 | 21.835 -935.13
60.6266 3.78167 | 0.451882 -0.0873996 | -817.748 944.95
64.0595 -38.762 | 0.158001 -0.711712 | 4.54747e-12 -2.72848e-12
34.2199 40.5923 | -0.181517 -0.0964797 | 2128.74 4673.42
-44.1163 56.3095 | 0.461475 0.906742 | 116.852 362.243
-76.8159 -10.9744 | 0.101434 -1.15872 | 0.800845 0.424957
-15.3981 -88.7301 | -0.878155 0.168611 | 331.418 573.665
-57.8758 29.691 | -0.659499 -0.0121344 | -5.00222e-12 -9.09495e-13
54.6607 11.0428 | 0.820128 0.681936 | -1629.05 2610.81
21.5049 -33.6269 | 0.115444 -0.106939 | -44.6408 58.7555
86.0236 17.6632 | 0.726809 -0.137772 | 8.29462 -31.7929
61.2777 40.3295 | -1.62353 0.88413 | 383.178 -6022.85
35.6301 -45.1915 | 0.182522 -0.785695 | 324.399 193.013
77.411 -53.1958 | 1.59121 -0.152363 | 786.485 -563.37
-28.3675 76.3062 | 0.297291 0.480951 | -16.3927 -5.35077
2.87668 21.2035 | 0.293899 0.961928 | -118.079 554.33
-70.28 29.2778 | -0.574519 0.877975 | -220.491 115.16
7.36832 -78.9233 | -0.161386 -1.28097 | -257.848 -253.185
27.1413 -47.9464 | 0.177341 -1.01061 | -317.139 -181.543
65.0142 12.5277 | -0.724755 0.858802 | 40.9734 -1230.8
55.2646 69.3364 | 0.438797 0.622444 | 640.493 944.817
54.4989 61.8686 | -0.368875 0.849202 | -3.18323e-12 2.72848e-12
40.9211 -80.296 | 0.859741 0.0864796 | 838.527 -68.4934
43.5232 46.9699 | 0.0932757 0.209325 | 1274.22 3119.9
-77.73 2.25768 | -0.456238 0.0882083 | -60.1985 2220.09
-44.0377 9.21916 | -0.101705 0.111624 | 124.871 182.054
-62.6117 -50.5983 | -1.38517 -1.24426 | -9.39687 13.0701
-54.1453 65.1895 | 0.0981075 1.05272 | -4066.07 -6215.69
37.6039 81.8148 | -0.140819 -1.24928 | -1823.32 -5495.55
-70.9744 47.0708 | -0.298348 0.554944 | 1709.97 -1811.54
72.4724 -17.1426 | -0.547662 0.639787 | 4.54747e-13 6.36646e-12
33.2276 -8.19203 | 0.195699 0.13592 | -172.22 -883.163
-24.0753 21.0748 | -0.931828 0.278111 | 1542.14 2565.76
0.837659 97.5371 | 0.0572278 0.200845 | -2.41016e-11 -2.54659e-11
-53.8705 -62.893 | 0.200546 -0.847338 | 17.4627 138.982
24.6244 -79.8647 | -0.521218 -0.278241 | 241.684 288.662
40.2271 7.28095 | 0.179356 0.524832 | 278.44 -696.678
19.1644 26.5974 | -0.54703 0.7572 | -6.13321 -21.6976
51.1963 64.9823 | 0.652314 0.418462 | 8.6402e-12 -1.81899e-12
36.4521 84.2086 | 0.106447 0.246878 | 1812.53 5535.38
40.7407 -85.8366 | 1.11389 0.572478 | 7.27596e-12 -2.00089e-11
7.56113 -15.1907 | 0.561474 -0.624697 | -4.54747e-12 -8.6402e-12
-29.9938 -2.08577 | -0.00891936 -0.420626 | 2163.05 8011.03
77.3833 23.7045 | 0.120749 0.174941 | -43.9843 -920.097
-39.1744 -78.6486 | 1.10051 -0.800922 | 1.63709e-11 0
-33.7556 84.1521 | -0.398695 -0.0230337 | -1390.25 -697.631
-8.17365 -96.3146 | -0.415315 0.327036 | 0.91777 -4.76591
0.449902 -33.7021 | 0.546812 -0.243479 | 129.421 -874.079
-76.5128 -8.64267 | 1.15909 -1.25573 | 4078.02 -2796.44
-32.9653 0.343511 | -0.626331 -0.337888 | 904.579 -2666.81
-75.3681 -23.0052 | 1.33589 -0.00238881 | -67.7095 -63.8163
-84.6118 -8.02026 | 0.926744 -0.584811 | -4086.91 3036.1
-76.5828 34.9236 | -1.65357 0.124842 | -1.81899e-12 -4.54747e-12
-7.10686 46.5043 | 0.504793 -0.0835258 | -5.45697e-12 1.81899e-12
88.4997 7.95136 | -0.780402 -0.860688 | -649.884 -277.058
-66.8117 -63.8939 | -0.887494 0.195832 | 5.91172e-12 -1.72804e-11
-10.4569 81.9322 | -0.504183 -0.0425161 | -76.6421 -396.622
7.00145 -2.94325 | -0.0508685 -0.27622 | -3.3291 -4.27231
-77.7096 16.4992 | -0.199162 0.093377 | 7.27596e-12 0
47.0257 35.5077 | -0.348343 0.925788 | 148.411 826.235
-37.2481 -84.1373 | 1.18333 0.100691 | -107.63 -133.038
58.8209 42.0359 | 0.529802 0.221642 | -379.723 6047.66
74.9877 -30.3094 | -0.674262 -0.493868 | 95.9674 -244.877
-81.1531 11.2168 | 0.689903 0.297105 | -6567.16 3478.51
79.7847 -0.445976 | -1.30761 0.250568 | 2108.57 -3050.82
