-4.89293 -63.8749 | 0.946915 -0.0361665 | -3.86535e-12 5.22959e-12
-91.6062 15.6943 | -0.0187031 -0.0682868 | 28.8555 -23.5538
-6.15612 84.9751 | -0.0359757 0.705785 | 2.27374e-12 -2.72848e-12
53.9727 51.5991 | -0.874448 0.0229635 | -1.81899e-12 -2.72848e-12
71.9388 27.0025 | 0.0356445 -0.139567 | -23.3614 2160.53
66.0446 26.8664 | -0.175966 0.34484 | 23.3614 -2160.53
-58.5994 -51.847 | 0.226838 0.168595 | -5.00222e-12 -9.09495e-13
36.5504 -8.6317 | -0.0776251 -0.54911 | -6.0254e-12 -3.63798e-12
-64.4333 -41.7153 | 0.988424 0.771741 | 20.1039 74.4649
33.4159 -61.9593 | -0.283591 -0.578046 | 33.3249 303.835
41.1351 82.2287 | 0.425844 -0.450783 | 1.09139e-11 -8.86757e-12
81.5447 -26.4924 | 1.05944 -0.000945822 | -2.27374e-12 8.18545e-12
-68.271 -4.15181 | 0.938651 -0.248899 | -1139.47 -2124.02
-31.1168 -79.0701 | -0.143111 -0.213379 | -683.965 347.05
-30.3369 28.644 | 0.166541 0.304661 | 9.09495e-12 -1.81899e-12
-28.804 4.37482 | -0.399422 0.137767 | -6.82121e-13 -2.72848e-12
11.8564 -92.9936 | 1.01906 -0.283869 | 1.22782e-11 -4.54747e-12
-54.1934 38.9752 | 0.287986 0.0514822 | -113.95 -5870.54
