-34.0135 72.2453 | -0.0531444 -0.220982 | -2.16005e-12 -6.36646e-12
72.9246 9.97982 | -0.237155 0.408469 | -2.04636e-12 -9.09495e-13
61.2613 -61.8792 | -0.495972 -0.459386 | -2.54659e-11 7.7307e-12
9.78617 15.7002 | -0.256612 0.443534 | -1.81899e-12 4.09273e-12
-6.50362 85.5044 | -0.652451 -0.193118 | -222.452 299.208
-68.4043 45.8615 | 0.00402255 0.25626 | 59.8445 -182.593
12.2309 10.6508 | 0.288269 0.769083 | 444.997 -737.944
18.6463 -70.7576 | -0.188408 -0.0277018 | 3.18323e-12 1.36424e-12
49.3626 71.8953 | 0.00798939 0.235411 | 4.54747e-12 9.09495e-12
63.3948 28.8932 | 0.705781 0.178857 | 28.824 -440.222
55.7737 -41.6312 | 0.344853 -0.0808267 | 4.09273e-12 1.27329e-11
-8.25493 -74.1155 | 0.187218 -0.208069 | 86.5269 211.111
80.9389 7.83015 | -0.161113 0.563604 | -1.81899e-12 4.54747e-12
22.3496 70.5853 | -0.124401 -0.042155 | -2.27374e-12 6.13909e-12
-37.5361 -75.8259 | 0.0422719 0.318118 | -4.43142 8.53231
-17.2208 58.7911 | 0.29497 -0.358663 | -5.00222e-12 2.16005e-12
58.1539 56.0064 | 0.290048 0.351185 | 117.012 -54.7735
-42.985 -68.2763 | -0.075311 0.358884 | 1.36424e-12 9.09495e-12
-24.659 -19.4428 | 0.140361 0.354546 | 23.9485 -40.0517
-52.6805 -11.9385 | 0.308468 0.398623 | 104.578 -813.176
-62.3586 12.0947 | -0.208155 -0.110776 | -280.997 184.616
9.14032 -57.1225 | -0.186089 -0.118457 | -496.112 3377.27
4.58564 -47.4398 | -0.667031 -0.0891483 | 643.549 718.211
-48.4713 9.24242 | 0.39621 0.545744 | 280.997 -184.616
16.9606 59.3452 | -0.00515292 -0.183576 | -76.2075 100.125
-71.7604 34.8191 | -0.741477 0.021634 | -45.1519 -346.025
-25.2038 88.3185 | -0.339104 0.218548 | -390.524 -2097.82
-31.3672 -53.2675 | -0.0290698 -0.105054 | -228.658 -163.386
-51.5784 39.9507 | -0.0823144 -0.375891 | -1242.32 2335.79
61.9556 -58.5414 | -0.388026 -0.313538 | -2.55452 -11.029
47.8189 -9.75809 | 0.362116 0.205618 | -3.63798e-12 -5.91172e-12
71.3264 -26.0588 | -0.204263 -0.20493 | -16.2958 -305.683
53.938 -48.9648 | 0.00650394 0.232734 | -188.27 184.216
-43.2529 38.0486 | -0.12866 -0.242405 | 1287.47 -1989.77
-38.2768 66.5787 | -0.04007 0.450997 | 4.86359 7.22705
-39.199 77.3053 | -0.350357 -0.701437 | 1.04592e-11 -6.82121e-13
50.8189 -69.8194 | 0.00710833 0.348789 | -1.43245e-11 5.00222e-12
31.3877 76.1873 | -0.0844651 -0.379391 | -1.45519e-11 8.6402e-12
-19.4165 -3.35728 | -0.0744644 0.319418 | -66.0615 308.862
-14.0424 -79.3919 | 0.555785 0.423218 | -2.18247 4.29073
25.1832 -34.1497 | 0.0432206 -0.152368 | -7.27596e-12 -8.66862e-12
44.5278 -40.6965 | -0.186096 0.0487628 | -55.0141 -202.419
-81.1228 7.21465 | 0.11891 -0.311313 | 1823.5 -271.764
68.8764 50.637 | -0.10868 0.122406 | -40.8044 -45.3515
15.0449 -79.6325 | 0.227539 0.0483589 | -58.8563 -395.868
-9.3782 31.5594 | 0.209099 -0.0653932 | 292.301 -1575.56
53.2719 2.67742 | 0.667543 -0.28096 | -1.81899e-12 6.48015e-12
61.8457 -30.6332 | 0.261162 0.512396 | -6.36646e-12 -2.72848e-12
40.5389 45.4131 | -0.173793 0.197351 | 116.533 -183.395
-20.7337 45.0456 | -0.299437 -0.434572 | 1.27329e-11 -5.22959e-12
-55.5547 -10.7783 | 0.015818 0.298451 | -67.5654 524.071
-31.6427 -83.2772 | 0.0357899 0.053218 | 0 5.45697e-12
-59.4092 29.3906 | 0.0692641 0.71501 | 2.72848e-12 6.65068e-12
42.9561 11.9303 | -0.600799 0.46825 | -203.921 -226.533
22.0854 -43.1271 | 0.177374 0.0912767 | -230.361 -390.858
82.5432 9.85875 | -0.138538 -0.366965 | -3447.78 -677.523
72.6903 36.2204 | 0.797512 0.0273295 | -424.845 -779.809
48.8577 -45.896 | 0.194194 0.0905738 | -1.36424e-12 -4.66116e-12
79.4529 -42.6267 | -0.349821 -0.511518 | -19.0367 6.38648
-29.8499 63.9847 | -0.217624 -0.241141 | -1219.21 2490.64
12.3424 29.0932 | 0.693761 -0.0851719 | -118.349 -190.921
-77.384 25.9231 | 0.183693 -0.192231 | 197.024 -70.5705
-3.51497 -73.3039 | -0.236842 -0.130808 | -27.6706 184.758
41.617 -50.6332 | 0.194183 -0.388155 | -27.3081 20.7449
50.0942 12.3783 | 0.642348 -0.251241 | 231.433 248.541
58.0786 67.3399 | -0.21607 0.172586 | -2.72848e-12 -1.00044e-11
53.0001 59.7333 | -0.739895 0.0502292 | -1.76143 -5.08389
32.4633 -76.889 | -0.328389 0.435818 | 2.69275 -8.50386
53.0422 49.8152 | 0.463531 0.107575 | 383.923 -685.757
-64.2829 -2.59867 | 0.628596 0.860262 | -100.438 145.558
-35.2224 16.9493 | -0.219352 0.303731 | -807.989 851.731
-46.2944 -37.6275 | -0.408054 -0.583867 | 41.2134 -108.548
-41.3673 54.6769 | -0.801312 0.327874 | -28.581 -448.552
21.7257 83.2446 | -0.492539 -0.220872 | -23.3526 497.262
-74.4867 38.4309 | -0.769547 -0.147187 | 3376.39 -4611.45
57.9389 -19.7698 | 1.09235 -0.0776985 | -72.8086 107.448
46.4732 -4.30972 | -0.113979 0.287785 | 4.54747e-12 -6.36646e-12
-21.8561 28.956 | -0.31576 0.238128 | 6.36646e-12 -2.72848e-12
-12.1882 93.7631 | 0.391934 0.0837631 | 1.09139e-11 -1.18234e-11
-53.3633 -52.1719 | -0.79397 0.114538 | 4.51707 -134.318
14.1167 -73.2615 | 0.0624105 0.471899 | -3.63798e-12 -5.57066e-12
29.7236 10.4658 | 0.304665 -0.107421 | -444.997 737.944
26.6759 33.1643 | 0.782902 0.367171 | 118.349 190.921
50.0315 62.0757 | -0.166061 -0.150056 | 1.76143 5.08389
19.6367 85.1823 | 0.236804 0.450694 | 1.00044e-11 1.81899e-11
30.9472 -85.1129 | 0.560036 0.50093 | 2.18247 -4.29073
19.9659 -16.3247 | 0.0749318 0.257123 | 233.064 75.2493
-14.9891 1.98177 | 0.862976 0.330838 | -422.277 1063.69
95.0433 2.28208 | 0.380564 -0.324952 | 4041.09 606.652
-45.3935 -70.1535 | 0.146958 0.147472 | 9.09495e-12 -3.63798e-12
-40.1069 74.0197 | -0.465366 0.0105149 | -2.00089e-11 -1.63709e-11
-19.0362 -94.652 | -0.33551 -0.614971 | -6.36646e-12 -8.18545e-12
8.61036 -41.998 | 0.32235 -0.582378 | 230.361 390.858
-56.6491 -8.08829 | -0.477066 0.752138 | -163.376 72.9742
-21.1022 10.5999 | -0.516586 0.167893 | 19.1928 -25.8659
-50.2534 -16.3837 | 0.170577 0.461648 | -44.6569 789.816
-69.9188 -12.3382 | 0.209094 -0.571879 | 1.63709e-11 4.54747e-12
-95.5627 -4.80187 | -0.107156 0.190975 | -2020.52 342.334
6.55046 51.1563 | -0.0188667 -0.74813 | 1.36424e-12 6.36646e-12
80.3442 -1.24985 | -0.0615095 -0.130839 | -164.382 421.572
-68.1273 -54.2744 | -0.810232 0.316372 | -30.6217 39.2765
-30.1748 80.7795 | -0.157189 -0.0355435 | 222.452 -299.208
1.4188 4.43062 | -0.373013 0.103714 | -7.27596e-12 -2.27374e-12
-76.3041 6.60514 | -0.986299 0.551642 | 102.476 -926.908
52.8106 38.3787 | 0.137987 0.0299469 | 432.804 173.315
-46.1899 -75.7687 | 0.165842 -0.216176 | 4.43142 -8.53231
69.2014 40.5347 | 0.846514 -0.0780701 | 312.233 1030.27
59.5873 -26.9807 | 0.629038 0.877731 | -821.101 -2191.69
-74.9566 2.01695 | -0.039577 0.753418 | 1.00044e-11 -1.81899e-12
71.4383 -4.25052 | -0.0858316 0.260248 | -428.925 -350.701
