-25.4406 31.2572 | -0.308515 -0.137903 | 6.0254e-12 -7.02016e-12
-23.4214 -78.6991 | -0.0880536 0.223734 | -9.23706e-14 -7.04858e-12
-46.7774 76.8963 | -0.69358 -0.736936 | 1.42677e-11 -1.81899e-12
33.3849 73.6428 | -0.0126546 -0.342345 | 2.72848e-12 0
45.7896 -72.9299 | 0.715682 0.334369 | 27.4913 319.69
66.7448 -22.5929 | -0.118299 0.12416 | -14.1984 193.653
-33.8333 15.0847 | 0.390329 -0.297686 | 137.358 152.782
-72.0747 -60.4869 | -0.994184 -0.110388 | -9.09495e-13 1.81899e-12
-24.9334 -7.74434 | -0.827301 0.480795 | -5.74119e-12 5.45697e-12
51.1064 -45.1437 | -0.287836 0.335437 | 7.27596e-12 -9.32232e-12
69.3393 37.5772 | 0.109718 -0.359277 | 8.6402e-12 -9.32232e-12
42.0542 35.7115 | 0.174994 -1.03344 | -947.676 -1214.76
70.4936 54.6141 | 0.309945 0.138741 | 2.09184e-11 3.63798e-12
-16.1227 -36.9456 | -0.382648 0.0374662 | -1.09139e-11 -1.81899e-12
-5.98488 81.0031 | -0.00782513 0.231351 | 9.17421 -25.6925
51.2824 -61.6517 | 0.204318 -0.517469 | -1.90425e-12 -4.54747e-13
-34.3001 36.3278 | 0.401255 -0.161583 | 3.24007e-12 1.81899e-12
-44.4826 71.8478 | -0.457681 -0.359752 | -8.18545e-12 -6.36646e-12
-10.7226 -82.652 | -0.129426 -0.23893 | 5.45697e-12 -1.54614e-11
