64.3366 -69.5341 | 0.391911 -0.561805 | 1.06866e-11 -2.36469e-11
-9.43682 22.4257 | -0.905352 0.080917 | 3.63798e-12 -5.45697e-12
4.05111 -62.541 | -0.0524945 0.570633 | 9.09495e-12 -1.81899e-12
-1.65211 89.5015 | 0.521748 -0.340152 | 5.11591e-12 -3.63798e-12
-26.8215 50.1262 | -0.608859 -0.902107 | 170.051 -185.501
-40.932 -70.3058 | -0.234738 -0.0441796 | 9.09495e-12 4.77485e-12
-75.1706 -1.86762 | 0.41094 0.118782 | -8.18545e-12 2.72848e-12
65.7604 -38.7904 | 0.0799184 -0.057377 | 3.63798e-12 1.13687e-11
23.5393 73.5262 | -0.90202 0.289607 | 1.03275 -7.0375
-46.3105 82.1863 | 0.0877097 0.133464 | 7.27596e-12 3.63798e-12
6.32166 0.899058 | -0.202618 0.228445 | -358.946 273.235
-12.4298 -24.5346 | -0.0914946 0.606394 | 4.54747e-12 6.36646e-12
13.5976 39.711 | -0.882238 -0.190915 | 22.0634 62.5383
56.8526 -46.9714 | 0.408882 0.201288 | 8.18545e-12 -3.63798e-12
-94.4075 21.268 | 0.111813 0.0130502 | -5.45697e-12 -1.18234e-11
43.6185 70.3409 | -0.363662 -0.284601 | -9.09495e-13 -1.5234e-11
-38.0202 -24.7397 | -0.247252 -0.307785 | 3.63798e-12 7.27596e-12
-45.7075 12.113 | 0.947436 0.268199 | -599.579 791.225
-47.2168 57.8692 | -0.743732 -0.23558 | 248.026 415.605
-1.74367 59.2989 | -0.495623 -0.140824 | -6.36646e-12 1.81899e-12
-46.0613 54.1848 | 0.8397 -0.161368 | -248.026 -415.605
33.5637 81.3191 | -0.170607 -0.180065 | -3.41061e-12 1.59162e-12
86.443 12.2468 | 0.179287 0.199139 | -1.63709e-11 1.18234e-11
-25.8738 37.9795 | -0.0604589 -0.0874863 | 265.387 -177.387
-88.4947 -18.7342 | 0.256377 0.338319 | -2.72848e-12 2.72848e-12
41.1862 10.9331 | -1.0505 -0.0590211 | 9.09495e-12 -1.00044e-11
65.6133 -57.35 | 0.0620701 0.221019 | 4.54747e-12 8.86757e-12
8.16061 -47.323 | 0.418892 0.407506 | 2.72848e-12 -2.84217e-12
-46.0367 20.5632 | -0.494462 0.01541 | -9.09495e-13 -5.28644e-12
55.3366 -16.2493 | -0.376927 -0.845334 | -4.54747e-12 -7.38964e-12
-13.502 7.39661 | 0.215687 -1.13758 | 599.579 -791.225
-31.1027 55.3471 | 0.00259892 -0.0443916 | 0 2.72848e-12
-11.4536 67.9032 | 0.163398 -0.305413 | 1.81899e-12 1.31877e-11
-8.51398 77.2653 | -0.05708 0.480121 | 398.154 873.262
-48.9211 44.5855 | -0.571239 -0.68392 | -170.051 185.501
9.33482 -93.5922 | 0.553979 0.058025 | -2.36469e-11 -1.09139e-11
-14.1592 -36.0442 | 0.272229 0.451204 | 5.45697e-12 4.54747e-13
-67.4382 -26.8176 | -0.586776 0.380504 | -2.45564e-11 9.54969e-12
5.82016 52.3391 | -0.465594 0.519025 | 4.54747e-12 3.46745e-12
-45.5497 3.23432 | -0.0671407 0.0892586 | 4.54747e-12 -1.09139e-11
-7.25813 95.4649 | -0.470736 -0.110834 | 1.13687e-13 2.68301e-11
-6.77476 -91.117 | 0.371864 0.459225 | -7.27596e-12 1.27329e-11
66.1329 -50.5443 | 0.154759 -0.268906 | 1.47793e-12 1.27329e-11
-18.05 -13.7475 | 0.40881 0.176976 | 245.836 -810.621
6.6248 -75.5197 | 0.363054 -0.188708 | 10.5791 -57.2347
-42.9001 65.1692 | -0.00415274 -0.0888153 | 0 -5.00222e-12
88.3758 22.2187 | -0.37182 -0.680921 | 1275.09 481.125
-60.8916 65.7135 | -0.0959049 0.0983986 | 76.9924 -726.082
34.1054 -65.4926 | -0.541417 -0.231297 | -564.372 -478.573
29.7485 -20.0536 | -0.989584 0.806067 | 4.54747e-12 7.27596e-12
29.8841 60.0824 | 0.619889 -0.28397 | -7.38964e-12 1.36424e-12
-25.027 -59.5229 | -0.144464 -0.209324 | -5.00222e-12 -1.29603e-11
27.4629 -41.7978 | 0.689749 0.250157 | 1.81899e-12 3.86535e-12
41.2158 64.0545 | 0.457597 -0.0210529 | -9.09495e-13 -9.09495e-12
63.8312 44.4807 | 0.623554 -0.390779 | -1275.09 -481.125
-22.6166 -9.04914 | 0.175405 0.262742 | -245.836 810.621
16.2535 -67.69 | -0.0797937 0.530444 | -221.376 1345.9
-43.393 -49.0079 | -0.0171891 -0.202268 | -5.57066e-12 -3.63798e-12
8.90306 19.8195 | -0.49978 -0.42969 | 3.63798e-12 8.86757e-12
9.15044 8.19818 | -0.541483 -0.188811 | 5.91172e-12 2.27374e-13
80.6801 3.24582 | 0.0829382 -0.19086 | 6.36646e-12 9.09495e-12
37.446 -35.703 | -0.246023 0.871754 | -1.36424e-12 -9.09495e-13
5.91454 -70.888 | 0.609461 -0.291198 | 221.376 -1345.9
-5.67596 73.573 | -0.388671 -0.175616 | -399.187 -866.225
-72.3168 -62.7741 | -0.104231 0.376988 | 9.54969e-12 -3.63798e-12
-72.6588 -50.7347 | -0.063125 0.479697 | -520.141 -546.227
-29.5303 77.6697 | -0.221054 0.0929714 | -76.9924 726.082
67.2049 -18.0706 | -0.0912224 0.749092 | 1.13687e-11 4.9738e-12
-73.9937 38.9052 | 0.357477 0.102609 | -4.54747e-12 -5.91172e-12
-14.7963 -80.6909 | -0.0774732 -0.461599 | -10.5791 57.2347
20.9995 91.0847 | -0.0972705 -0.52851 | -4.54747e-13 -5.00222e-12
-63.483 -22.1914 | 0.551677 0.313162 | 0 4.54747e-12
11.2238 31.1394 | -0.146348 -0.521148 | -1.81899e-12 -9.09495e-12
-11.7274 -6.11049 | -0.385992 -0.131239 | -3.63798e-12 0
56.1043 -29.7464 | -0.495167 0.135586 | -556.824 994.555
16.9629 48.2796 | 0.650178 -0.102041 | 0 0
-6.03381 -33.8381 | 0.0378713 0.649709 | -2.27374e-13 0
9.68202 -78.7204 | -0.228641 0.167397 | -9.09495e-13 9.09495e-12
42.8384 -0.350086 | 0.0574541 -0.443528 | -8.18545e-12 3.63798e-12
-2.76733 -45.7273 | -0.0444486 0.813528 | 1.27329e-11 -1.13687e-12
59.0679 3.41368 | -0.281019 -0.0404926 | 3.63798e-12 -6.82121e-12
-62.0431 27.9985 | -0.0597863 -0.28798 | -265.387 177.387
-6.36254 -61.9911 | -0.374855 0.0761257 | -4.54747e-13 -4.54747e-12
-89.7522 8.73152 | -0.0178824 -1.0856 | 0 -3.63798e-12
-7.3424 84.94 | -0.00990808 -0.0251826 | 1.47793e-12 8.45546e-13
58.3563 56.7363 | 0.461923 -0.207973 | 2.41585e-12 6.36646e-12
64.1624 18.7538 | 0.137283 -0.0527341 | -3.41061e-12 9.09495e-13
54.2381 15.6018 | -0.63792 -0.225294 | -1.81899e-12 5.54223e-12
-51.6867 -55.7855 | -0.218609 0.633089 | 2.72848e-12 -2.72848e-12
21.4901 -19.1509 | -1.08859 -0.0996216 | 358.946 -273.235
-48.1148 -42.3615 | -0.765977 0.705314 | 3.63798e-12 7.04858e-12
19.9596 -55.7073 | -0.0851412 -0.264638 | 564.372 478.573
38.4242 84.1529 | 0.291132 -0.134849 | -2.31921e-11 1.59162e-12
86.9407 -21.0757 | -0.0782018 0.398066 | 556.824 -994.555
-61.2815 1.18468 | 0.368176 -0.0508686 | -6.82121e-13 -1.09139e-11
-43.4614 -76.322 | -0.193157 0.239294 | 520.141 546.227
-28.5306 34.5758 | 0.764055 0.247912 | -22.0634 -62.5383
-28.1105 3.32406 | 0.127648 0.663932 | 1.7053e-12 1.81899e-12
19.9425 -86.6542 | 0.352061 -0.367797 | 9.09495e-12 6.30962e-12
-43.3865 36.9781 | 0.427788 0.289043 | 2.04636e-12 3.63798e-12
