-70.9718 -0.369776 | -2.07477 0.730028 | -993.054 2325.03
-70.8426 -26.8141 | 0.61715 0.489005 | -430.378 -2868.9
55.3698 20.6421 | -0.63968 0.0181622 | 101.653 1064.61
14.0074 40.8783 | -1.25769 0.431988 | 53.37 591.892
-8.62838 83.1168 | 0.0198485 -0.124922 | -1230.65 -2074.05
75.3822 -38.125 | -0.337876 -0.742015 | 426.489 -444.407
60.327 -0.887139 | -0.674235 -0.0306742 | -2.72848e-12 5.00222e-12
-41.6121 41.0428 | -0.522065 0.784132 | 345.533 -623.627
4.68064 -47.1784 | 0.600167 -0.175588 | 7.36885 286.073
23.1012 72.5783 | -0.412251 -0.965968 | 82.0637 -7.41733
-59.5143 20.5625 | -0.422137 0.58123 | 19.1054 -109.541
-31.9001 74.7006 | -0.331084 -0.532483 | -2.72848e-12 -5.45697e-12
39.3892 -9.34365 | -0.0925892 -0.129743 | -1.13687e-11 9.09495e-13
-55.8309 -14.7803 | 0.156723 -0.0558366 | 824.479 3116.17
-73.9715 3.0231 | -0.894444 -0.805788 | -8.18545e-12 -1.36424e-12
-11.932 39.268 | -0.00715739 0.717672 | 0 4.3201e-12
10.5121 10.9744 | -0.208992 -0.28317 | -110.36 3632.27
-32.7273 13.3509 | -0.0183099 0.741389 | -111.99 16.9516
-59.611 63.9745 | 1.01102 0.105795 | 603.475 593.691
-78.0787 -23.5556 | 0.482823 0.0842876 | -2094.02 933.853
-52.7927 -68.9057 | 0.494776 -0.959148 | 1377.07 -2048.02
-38.0401 72.2399 | -0.59941 -0.418115 | -574.637 1382.69
23.7377 43.793 | -0.26473 0.794471 | -282.042 612.02
56.0875 61.3982 | 0.123315 0.108102 | 1.27329e-11 3.63798e-12
46.8505 -36.0874 | -0.731546 -0.15651 | -552.764 380.724
-1.92926 -21.5342 | -0.1398 -0.354762 | 5.00222e-12 4.43379e-12
26.536 70.3768 | 0.165079 0.314634 | -51.4002 18.5954
76.8442 20.7951 | -0.31753 -0.16668 | 737.219 3916.4
18.7677 -90.2659 | -0.678776 -0.596561 | -686.704 -359.399
77.076 8.7906 | -0.0392695 -0.0790955 | 142.822 -152.339
-88.1995 -1.99727 | 0.798383 -0.603746 | 218.433 -668.59
-41.4159 -73.2998 | -0.901435 0.269091 | -264.41 -349.884
49.3353 68.7097 | 0.00746482 -0.36956 | -6011.47 -5293.54
-67.5418 11.8991 | 0.720722 0.666453 | -0.36802 -7.81986
-10.0403 42.7439 | 0.0573842 1.14675 | -52.3906 -188.106
-62.0497 25.8263 | -0.432806 0.389218 | 1517.21 -789.375
-41.1114 -10.2264 | 0.431776 -0.225846 | -7.27596e-12 -1.04592e-11
42.3178 -68.1294 | -0.796717 -0.303171 | 2.10797 -379.072
-14.819 90.2904 | -0.418748 0.614916 | 841.757 1550.04
13.9802 -53.1519 | -0.0557594 0.159884 | -165.831 -475.05
46.6641 -63.3545 | -0.988843 -0.805909 | -527.74 -1182.78
-66.6553 66.7219 | 0.0966622 -0.399675 | 21.6097 99.2473
-14.93 -3.35402 | -0.34034 -0.743824 | 4.09273e-12 1.59162e-12
-2.46518 -60.2657 | 1.69934 -0.551354 | -186.574 576.896
-28.913 -82.1431 | 0.0516027 -0.634278 | 167.936 -637.013
-63.9592 -32.9864 | -0.199302 -0.185957 | 3114.52 -4952.5
68.0718 -42.0489 | -0.667416 -0.625336 | -461.524 591.477
5.33071 -1.86419 | -0.222219 -0.177188 | 908.165 -1552.83
-55.1143 -57.5106 | -0.0533115 -0.411878 | -607.602 3997.71
54.7151 70.5934 | -0.056198 -0.257962 | 6003.37 5321.38
-33.2063 56.0554 | -0.0545553 1.34282 | 60.7091 201.031
-58.813 46.0117 | 0.177714 0.592156 | 674.869 -2504.02
86.1128 7.34161 | 0.76847 -0.153161 | -341.209 -432.151
-22.4885 -75.5508 | -0.201618 -0.0130906 | -167.936 637.013
63.6062 -37.6413 | -0.386116 -1.10282 | 565.311 -442.488
72.9986 -6.93446 | -0.14756 -0.493587 | -90.7669 -242.848
-68.6883 4.66705 | 0.10251 -0.572733 | 6.36646e-12 4.09273e-12
-9.77487 -93.9035 | -0.639378 -1.17564 | 60.5607 -161.112
66.59 20.8068 | -1.1885 -0.183347 | -408.854 423.419
-0.831459 -78.7902 | -0.0544098 -0.443623 | -22.5617 68.719
19.7096 88.0428 | 1.46524 -0.701259 | -4.14668 -15.9967
4.54741 31.9787 | 0.106617 0.687688 | 0.543773 1.31973
-11.0096 -16.3015 | -0.274058 -0.159826 | -349.373 481.386
46.1874 59.3647 | 0.460961 -0.489458 | -1282.85 4893.05
59.3885 -47.7716 | -0.908207 -0.996038 | 1958.63 -2033.85
-39.0379 61.6527 | 0.802717 -0.428769 | -687.622 -2380.89
-59.8517 -60.9581 | 0.784729 -0.375451 | 130.69 -3205.01
-63.1106 -19.2599 | 0.216569 -0.264329 | 2223.7 768.198
49.757 -65.6258 | -1.03996 0.602831 | 32.0466 57.3302
60.8742 -25.4949 | 0.482741 -0.13387 | -373.237 -495.954
55.1921 -54.1038 | -0.228288 -0.114246 | 1669.32 2230.14
-87.6232 30.4103 | 0.0717046 -0.448775 | -768.623 1681.21
25.882 -87.3486 | 0.1488 0.219414 | 84.5087 70.7838
73.0231 -48.227 | 0.567532 0.732067 | 461.524 -591.477
82.5069 12.8369 | -0.102357 0.859436 | -531.9 -3312.69
-64.4359 -41.5691 | 1.36118 -0.077956 | -29.6128 -46.4701
-76.3572 55.0072 | 0.769856 0.168419 | -114.777 -961.335
28.3769 -84.3848 | 1.93871 -0.410078 | 661.17 1011.44
-71.7009 54.5121 | -0.396765 -0.513229 | -96.226 655.89
11.2371 -36.3446 | 1.068 -1.20946 | 4.54747e-13 8.52651e-13
-10.4808 -20.7119 | 0.151333 -0.674978 | -773.775 -1449.15
48.3694 44.4923 | -0.885535 0.519977 | 228.672 -1203.91
-16.9743 74.3406 | -0.466026 -0.166973 | -2971.21 1344.64
-36.5038 -65.3173 | 0.489195 -0.139345 | -918.032 322.987
-60.5507 -46.1516 | 0.193795 -0.778534 | -1.59162e-12 9.09495e-13
56.5565 -73.7728 | -1.51257 -0.931898 | -14.4267 -47.7655
65.6564 29.1403 | -1.07944 0.0477756 | -475.689 618.839
-56.8128 -49.748 | 1.12609 -0.942585 | -5.00222e-12 3.63798e-12
18.7064 47.4142 | -0.28451 0.981464 | -4.17799e-12 -6.48015e-12
-28.6032 22.5973 | -0.206783 0.689252 | -327.246 -720.87
35.8101 81.3744 | 0.424999 -1.23784 | -193.757 1184.52
62.4527 46.3229 | -0.403272 -0.417953 | 8.18545e-12 3.63798e-12
20.1415 10.7434 | -0.851255 -0.830145 | 62.7451 -3506.3
-59.1979 -53.6102 | 1.02191 -0.0708484 | 190.395 1601.76
-77.2582 -9.09269 | -0.572933 -0.42185 | -71.7039 -70.3606
32.1797 -81.3018 | 0.802278 0.514126 | 226.773 -344.142
1.89457 -13.0279 | -1.07912 -1.35189 | -54.7925 81.3453
70.0319 20.3582 | -0.638847 0.422427 | 307.201 -1488.03
-8.51972 0.27264 | 0.365687 0.851849 | -152.071 282.48
76.0729 30.5614 | -0.603997 0.659935 | 474.878 -623.93
-48.4054 82.6158 | -0.883151 0.0711279 | -117.49 0.79807
12.9443 -96.1072 | 0.439796 -0.874298 | -119.535 -561.709
22.5628 81.3059 | -0.030484 -0.567271 | 263.83 1019.34
5.97472 22.9028 | -0.270524 -0.146401 | 4.3201e-12 -1.69109e-12
-58.5909 -62.7667 | 0.897693 -0.0754832 | 476.912 -792.701
-29.8961 -30.3191 | -0.40364 -1.18909 | -1.36424e-12 -1.27329e-11
82.8193 -3.38881 | 0.478203 -0.763737 | -135.226 -821.923
-59.8307 23.1838 | -1.3104 0.495538 | -19.1054 109.541
60.6063 9.53993 | -0.70751 -0.435862 | -457.364 510.608
57.641 -59.0355 | -0.101938 -0.891301 | 850.281 937.192
-69.5849 -16.3955 | 1.58973 -0.154698 | -523.785 -1949.32
50.0393 52.8803 | -0.992781 -0.402433 | 93.9229 -298.908
-77.8463 28.787 | -0.199261 -0.0939119 | 487.97 474.807
