-34.0765 -56.2623 | 0.775325 -0.337085 | -440.524 2740.74
-78.3162 31.6217 | -1.58866 -0.32117 | 3.41061e-12 1.02318e-11
-0.954558 74.076 | 0.32032 0.770858 | -2.27374e-13 -1.81899e-12
62.713 42.8722 | 0.0164781 0.494602 | 1.45571 1.60465
58.9426 23.8412 | 0.432853 0.0284928 | 3.86535e-12 1.13687e-13
57.9546 16.931 | 0.648111 0.829885 | -3.86535e-12 6.25278e-12
-64.7631 -44.0353 | 0.277724 -1.16039 | -3.06954e-12 4.66116e-12
36.2057 -3.14177 | 0.222302 -0.490829 | -0.56667 -3.07978
-72.3739 -34.8002 | 0.0144703 0.0357556 | 2.18279e-11 -1.81899e-12
34.1592 -33.6411 | 0.424498 -0.545483 | -5.91172e-12 -3.52429e-12
36.7572 81.1321 | 0.514968 -0.0727578 | 145.659 229.514
78.7003 -18.0093 | 0.494103 0.0266531 | 956.131 -390.605
-62.8899 -4.44279 | -0.798378 0.927017 | 1169.48 827.624
-23.7911 -71.5825 | 0.0621278 -1.28999 | -3294.61 -3210.07
-39.7083 17.0397 | 0.0907275 1.57263 | 366.568 -163.149
-24.7463 0.46444 | 0.373186 -0.0222106 | 5.30468 -51.8861
14.0672 -87.7766 | -0.850873 0.702627 | -1.63709e-11 -1.81899e-11
-57.4224 29.8753 | -0.703584 0.391483 | 6.36646e-12 -2.27374e-13
