14.5773 18.4025 | -0.847932 -0.0540004 | -1169.29 1144.63
11.4651 88.1034 | 0.0782136 0.0119512 | 21.7363 -41.9631
-61.3777 49.9094 | 0.567924 -0.199581 | -390.83 -315.064
11.6127 11.1988 | -0.694469 0.468095 | -22.1597 32.1167
26.203 -76.05 | 0.29959 -0.352634 | -59.9037 89.7179
48.561 72.4853 | -0.807441 -0.912517 | 12.4097 8.74132
60.9013 36.8007 | 0.234059 0.765627 | -353.889 -70.3582
46.0147 -54.2468 | 0.123478 -0.204522 | -3.14285 151.782
-7.75418 -79.6004 | -1.40542 -0.172979 | -135.541 222.193
83.9 11.8839 | 0.189551 -0.0429962 | 74.1297 237.106
21.3429 69.8213 | -0.650176 0.197838 | 28.0119 419.093
-32.3311 -82.3184 | -0.214512 0.408474 | -582.223 -626.659
-24.9175 59.8856 | 0.472929 -0.612349 | -7.27596e-12 -3.63798e-12
54.434 58.941 | 0.610295 -0.0709652 | -42.4122 648.744
-44.1844 -75.5968 | 0.0476047 0.667432 | 496.475 -1071.38
-32.3112 -25.3049 | 0.199391 0.274533 | -1.37974 1.63718
-62.7417 -21.7741 | -0.275513 0.450183 | -965.936 3519.15
-79.885 9.41939 | 1.07815 -0.476086 | 0 -3.63798e-12
-3.34857 -61.205 | 0.478965 -0.137121 | 3130.38 -4805.63
-1.08117 -54.2337 | 0.561685 0.0253193 | -660.965 74.0773
-61.012 9.87869 | 0.535917 -0.0981957 | 1485.81 -1416.78
9.8221 58.0756 | 0.560895 -0.436396 | 7.04858e-12 -1.36424e-12
-71.5688 39.8066 | 0.219328 -0.788937 | -2655.42 -1432.85
-6.65685 92.4096 | -0.536248 -0.00256615 | 9.09495e-12 -1.04592e-11
-33.8007 -65.3283 | 0.610032 0.150827 | -1341.33 -2052.22
-49.9862 42.7375 | 0.439603 -0.601802 | 747.922 3283.5
58.9478 -65.7636 | 0.50503 0.280274 | -3270.05 1861.4
50.3204 -11.7519 | -0.643403 0.0130412 | -206.445 -530.131
62.9996 -39.892 | 0.0469874 -0.304466 | 34.0048 -70.2415
40.9007 -60.9274 | 0.330715 -0.633306 | 192.215 -335.595
-42.5651 38.7534 | 0.341235 -0.884903 | 1797.67 -1539.03
-37.0498 72.268 | -0.514706 -0.250884 | -112.927 438.072
-23.1934 81.4543 | -0.525918 0.228147 | -160.517 588.183
43.7102 -71.2456 | -0.0889801 -0.0793675 | -30.9418 -67.88
30.3948 74.6535 | -0.874555 0.693138 | 1.18234e-11 1.20792e-12
-34.1853 -10.5921 | 0.606354 0.622544 | -4.20641e-12 5.45697e-12
-9.46243 -83.245 | -0.578352 -0.0561489 | -923.939 -7571.71
29.8824 -41.688 | -0.826274 0.333429 | -123.98 567.814
37.7703 -53.3574 | 0.226223 -0.577728 | 122.723 95.0441
-77.3075 20.7847 | -0.0577817 0.0789747 | -46.7043 -372.389
66.2031 54.4057 | -0.238455 -0.0637719 | 113.536 -480.369
18.9186 -83.6881 | -0.440581 -0.556008 | -346.932 815.81
-13.5867 29.5073 | 0.422933 0.10054 | -6.82121e-12 -5.34328e-12
53.6968 10.8576 | 0.384789 0.509832 | -166.523 -956.304
55.242 -45.5156 | -0.295806 0.734022 | 293.788 653.355
39.2731 50.7365 | 0.587558 0.176206 | -159.468 -403.834
-38.7292 50.5347 | 0.32311 -0.65748 | -70.8233 125.482
-71.7255 -20.9756 | 0.679499 0.288449 | 122.44 -418.92
-19.6136 -87.3326 | -0.585732 0.53401 | 25.6268 385.881
-57.1961 32.7702 | -0.195118 -0.856288 | 437.578 2225.96
49.887 21.5804 | 0.186172 -0.296545 | -305.324 -372.862
15.5392 -52.8111 | 0.894479 0.124874 | 637.956 938.183
84.8904 14.8987 | 0.0120071 0.431157 | -378.342 -258.922
67.4477 43.8168 | 1.13303 -0.454163 | 491.421 710.563
39.9413 -57.0144 | -0.541211 0.174238 | -277.996 -583.581
79.3106 -47.561 | 0.224783 0.745896 | -7.31685 6.26967
-31.3943 68.3531 | -0.251653 0.39954 | -332.534 1691.09
2.53068 32.6094 | -0.383818 0.549272 | -4.54747e-12 1.81899e-12
-73.0413 31.5463 | 0.286452 0.375288 | 289.313 -344.374
-0.336435 -77.9408 | -0.0777913 0.0913673 | 68.1557 48.6411
29.8633 -59.2386 | 0.151495 -0.228911 | 30.6234 -421.353
56.13 22.365 | -0.122778 -0.720385 | 274.821 253.045
56.4808 68.184 | 0.00324051 -0.271765 | -411.627 865.433
50.277 62.3108 | -0.587191 0.114882 | 3.21043 -9.29238
38.7934 -80.4587 | -0.370893 -0.22631 | -465.984 567.876
51.4397 54.1046 | 0.500113 -0.296029 | -351.942 -545.298
-76.9966 -1.65906 | 0.726857 -0.409628 | 5.91172e-12 1.81899e-12
-47.3379 15.8478 | -0.817225 -0.690215 | -436.763 220.393
-52.4671 -47.4362 | -0.102826 -0.106758 | -36.857 85.9137
-51.3704 59.8219 | 0.841725 -0.159389 | -3268.88 -2443.42
34.4547 81.3965 | 0.350538 -0.0902155 | 3.63798e-12 9.09495e-13
-67.6029 44.9772 | -0.167053 -0.917048 | -178.457 279.884
69.328 -19.8825 | -0.259906 0.611162 | 737.093 -3341.16
43.66 -7.64271 | 0.370656 -0.1265 | -5.45697e-12 -4.54747e-12
-35.01 27.6165 | 0.132623 -0.745725 | 670.724 1774.34
3.94161 96.7772 | -0.576301 -0.234272 | -2.72848e-11 5.45697e-12
-49.2903 -58.745 | 0.033468 1.23156 | 16.69 24.747
19.9256 -77.3648 | -0.583513 -0.530621 | 61.4481 -151.219
31.3979 15.3827 | -0.574673 0.0281193 | 1169.29 -1144.63
18.5498 39.4789 | -0.096606 0.18044 | 770.816 -1101.99
48.2164 65.3627 | -0.0404198 -0.374149 | 210.872 -570.968
34.6058 83.4733 | 0.434288 -0.247733 | -9.09495e-13 -1.81899e-12
38.2321 -85.6407 | -1.07259 -0.196079 | -1362.94 1534.32
10.2801 -23.4532 | -0.472521 0.319765 | 1422.24 -1555.4
-25.9402 -2.08067 | 0.200193 0.589307 | -4.54747e-12 2.72848e-12
91.3683 16.7363 | 0.430847 -0.444691 | 379.226 256.875
-45.3937 -77.1552 | 0.407196 -0.425544 | 3217.89 8135.52
-27.2286 79.8258 | -0.479259 0.309228 | 160.517 -588.183
-11.434 -95.7092 | -0.510868 -0.3177 | 2.16183 -7.22028
7.35927 -48.3943 | -0.266964 0.449285 | -41.4134 81.4437
-74.4636 -19.2803 | -0.270676 -0.214996 | -130.358 450.462
-32.2815 5.17466 | 0.59564 0.504506 | -5.91172e-12 2.27374e-12
-61.2158 -26.3343 | 0.0834358 0.975915 | -258.313 180.7
-79.1431 -14.447 | 0.297002 -0.446995 | -3.63798e-12 -1.72804e-11
-94.547 14.7776 | -0.255638 -0.96809 | 1.18234e-11 -3.63798e-12
-2.6567 49.8902 | 1.01572 -0.262934 | -371.941 -741.25
81.5329 6.35613 | -0.736025 0.0603245 | -127.092 -647.618
-66.6215 -57.4891 | -0.431709 -0.0888515 | 1.27329e-11 -1.55751e-11
-14.8209 83.0406 | -0.060656 0.0474836 | -112.622 44.2617
0.212527 0.37151 | -0.124112 0.171893 | -898.24 -798.209
-74.994 19.2765 | 0.0631729 -0.825604 | -757.886 -1055.54
50.198 44.6414 | 0.48535 -0.500052 | 29.7975 -128.019
-39.7809 -84.0578 | 0.285463 -0.784227 | -1457.52 -2031.91
65.9705 46.0761 | 0.00512964 -0.64976 | -1.2195 9.69361
62.9375 -34.0324 | 0.404286 0.120196 | 656.892 -2889
-77.0969 15.9646 | -0.111081 -0.53894 | 323.647 -255.091
76.6473 -1.4049 | -0.506639 0.0448774 | 848.57 257.755
