15.6802 7.5287 | 0.187491 -0.431459 | -2239.56 -478.571
26.7319 79.0038 | -0.441455 1.69792 | 3.61525 18.5998
-55.7528 39.8036 | -1.96936 0.387358 | 682.115 2775.26
22.0609 3.51566 | -1.01546 0.11947 | -896.13 -1217.3
45.0092 -61.747 | -1.41399 -1.27145 | -19.052 -620.457
49.9818 61.7118 | 0.641413 2.4177 | 4.73149 53.6043
57.8274 28.2354 | 2.08248 0.67667 | 149.455 -449.629
51.0605 -37.1921 | -0.275318 0.384699 | 750.392 2446.55
12.1743 -65.5343 | -0.971626 -1.30294 | 113.833 2391.81
72.7588 16.2474 | 2.06639 0.750549 | 2.19194 -8.24823
33.4741 62.8976 | -0.462447 1.30528 | 636.468 2341.87
-31.8713 -70.9107 | -1.42171 -1.68532 | 4.09273e-12 -4.54747e-13
-30.0365 52.8101 | 2.11982 0.433276 | -523.966 -633.328
64.5107 49.0843 | 0.497667 1.53651 | -25.5459 34.6361
-40.9376 -66.1232 | 0.0407601 -1.48891 | -8.52651e-14 -6.82121e-13
-24.3327 -18.8414 | 0.637512 -0.637846 | -2004.36 2891.58
-55.1481 -10.1267 | -1.23592 -0.895089 | -1505.35 7709.7
-82.6782 7.80167 | -0.0506499 -0.485561 | 564.668 757.628
4.83759 -44.9315 | 0.345144 -0.259882 | -508.586 -354.193
-5.89542 -34.5091 | -1.26814 0.00845264 | 2972.3 1648.99
-48.3325 8.15746 | -1.15949 -0.511406 | -808.175 -924.719
2.48145 48.0125 | -0.144847 -0.333853 | -1182.35 -543.311
-56.2567 32.4884 | -1.38103 0.440734 | 1268.85 3110.01
-6.91237 83.324 | -0.263741 1.67558 | -2938.06 -1797.15
-28.6107 -49.4233 | -0.190398 0.63145 | 645.221 -3276.5
-32.7464 33.5406 | -1.03164 -0.00462009 | -346.442 117.773
54.469 -52.0632 | 0.824838 -1.78154 | 1.36424e-12 -2.95586e-12
61.4167 -10.2643 | 0.221244 -0.219157 | 113.046 -127.855
64.2021 -26.8703 | 0.602295 -0.783799 | 1.19371e-12 -3.86535e-12
38.5753 -42.4109 | -1.57367 -0.953474 | 0.204323 1625.02
-37.4831 27.3923 | 0.314916 -0.0231051 | -2020.92 -7262.57
-39.0052 66.3291 | -0.777768 0.686314 | -1941.82 -2532.87
-35.4095 78.9215 | 0.301138 2.60775 | -1072.36 -3357.53
51.869 -58.707 | 0.75873 -1.65445 | 0.00810622 -0.810274
45.435 69.311 | -0.939906 2.66148 | -235.469 -1138.5
-29.7237 -9.78976 | 0.186715 -0.681546 | -799.663 -2974.27
4.25981 -71.4578 | 1.33191 -1.50323 | 0 -1.25056e-12
15.8624 -25.9585 | -0.618419 0.124508 | 1368.57 9.2909
36.5054 -32.8764 | -0.313679 0.246667 | 260.745 4908.45
-72.4951 19.1303 | 0.301809 -0.0680992 | -573.539 1100.28
53.4511 45.1608 | -0.840572 0.254565 | -392.513 -48.4665
23.5608 -73.1881 | -0.245185 -2.08224 | -589.137 -990.023
-23.09 21.5617 | -1.41475 0.5896 | 777.549 -310.488
59.9445 1.72437 | 2.46888 -0.28141 | 0.643523 -7.60009
62.0688 -31.3081 | 2.00707 -0.00997451 | -4.09273e-12 4.54747e-12
34.6518 32.3687 | -0.858966 -0.36346 | -940.456 1653.4
-29.6794 41.6274 | -1.23798 1.29714 | -51.7226 -1623.86
-55.2196 -7.2867 | -2.12447 -0.106491 | -13.8435 1241.32
-14.7732 -76.3518 | 0.742969 -2.32061 | 5.79803e-12 6.82121e-12
-52.1991 22.0021 | -0.350147 1.4688 | 77.8765 763.577
43.4758 9.98534 | 1.12743 0.605385 | 1243.14 4466.98
7.74366 -31.5856 | 0.530414 -0.412516 | -563.283 -2665.5
72.8814 19.9737 | 0.951549 -0.553853 | -47.9059 152.61
70.8683 36.2344 | 1.10697 1.21905 | -462.577 -1082.1
36.9158 -37.0073 | -0.909075 -0.748851 | -1032.98 -3818.39
69.4501 -47.6298 | 0.854223 -1.21381 | 567.739 -1363.05
-37.6974 60.8401 | 0.0786549 1.07163 | 47.1403 626.681
1.90834 21.5007 | 0.408182 -0.415564 | 1981.23 2987.1
-67.0349 24.9442 | -1.33333 -0.292993 | 17.8459 -163.114
15.3973 -62.7176 | -0.582631 -1.79092 | 49.6233 -161.594
25.802 -38.6138 | -0.416466 -0.241815 | -3711.69 -7117.06
57.4064 9.19755 | -1.01114 1.05358 | 5.31925 -75.1453
56.8258 59.5953 | 1.96355 2.65592 | -959.261 2321.92
52.5891 51.178 | 0.237209 0.980568 | 58.8814 1113.94
40.7987 -69.3146 | 0.775983 -2.93167 | -129.501 -203.628
34.1629 39.5739 | 0.89629 -0.121265 | 84.5724 313.905
-66.5374 5.99313 | -0.841298 -1.74199 | -230.744 -928.523
-25.4702 10.6897 | -2.85594 1.03329 | -254.245 1548.73
-47.8726 -35.8522 | 0.661079 -0.355821 | -2359.59 -57.2211
-50.1711 49.1676 | 0.0951647 1.4924 | -386.292 -2505.94
43.9041 72.8436 | -0.133407 2.16429 | -5890.76 8461.72
-53.4888 35.0442 | -1.07614 0.752666 | 109.288 326.062
72.5487 -16.6978 | 1.46004 -0.609352 | -370.06 1516.4
28.6239 -8.42046 | 0.454533 -0.0995702 | 1721.05 3195.08
-16.1107 20.596 | 0.428008 -0.310128 | -4743.5 2460.64
8.88454 97.029 | 0.685171 0.183446 | -1246.63 3329.23
-45.9881 -49.0309 | -0.429128 -0.650796 | 57.4915 -209.421
36.3768 -63.1581 | -0.536995 -2.19954 | 138.629 178.634
35.2802 5.39778 | -1.94805 0.0183124 | 1999.75 -358.93
9.61857 24.9465 | 0.119263 -0.4315 | 2634.64 4437.27
46.5274 51.8795 | 1.49502 0.781774 | 258.931 -1392.07
38.9685 74.8404 | -0.218118 2.05521 | 67.8599 488.257
45.8579 -80.587 | 1.20871 -1.85705 | 475.303 -1401.79
6.11479 -14.6684 | -0.396796 -0.236164 | -3.87963 68.3821
-25.9601 -4.10808 | 0.774466 0.315335 | 256.209 -1393.95
62.2402 20.5181 | 2.78678 -0.0803893 | 755.729 -1899.71
-40.3904 -68.9444 | -2.67166 -3.52181 | -4.54747e-13 7.27596e-12
-35.2062 73.2204 | -0.641397 2.13433 | 1940.65 2539.51
-1.54672 -93.6689 | -0.0268017 -3.761 | -3.75167e-12 -5.45697e-12
-0.90486 -29.8736 | 0.0640201 -0.494677 | -7.51307 42.4705
-54.3552 -5.81427 | -2.43077 0.361296 | 343.018 1064.96
-23.9645 0.450158 | -0.0193525 0.341754 | 1729.33 6250.81
-79.6897 -16.8952 | -0.811182 -1.34402 | -1004.87 -2029.85
-72.0296 -3.55529 | 1.03621 0.348359 | 234.734 276.459
-69.7821 31.8698 | 0.661021 0.288368 | 174.3 4768.58
-7.42134 42.6254 | -1.21129 0.847411 | -24.8547 1672.08
80.6778 7.58443 | 1.52853 0.507865 | 26.2558 -1120.62
-66.1459 -53.6341 | -0.314684 -0.538224 | 326.936 -558.138
-17.977 77.0119 | 1.69448 1.24775 | 664.64 2158.76
1.20775 -0.920769 | 1.2745 -0.842459 | -2279.7 -3820.54
-69.4257 15.2079 | -2.12439 0.17699 | 653.944 -1643.83
43.3405 29.6911 | 0.462852 0.26358 | 3433.74 -7729.08
-39.6093 -78.1522 | -0.899583 -2.01828 | -9.66338e-13 -1.05729e-11
67.9528 38.0105 | -0.656144 1.42663 | 165.307 2228.32
76.8909 -24.8925 | 0.357591 0.10791 | -9.09495e-13 1.45519e-11
-76.0125 11.6598 | -1.39878 0.317862 | -2060.83 1915.16
80.4815 -2.61583 | 1.43842 0.40351 | 3082.79 4030.23
