49.7472 3.15749 | 0.129876 0.323228 | 286.169 -356.57
-60.3667 -43.1399 | -0.368633 -0.0294689 | -3.30692 28.0275
-69.9102 16.7772 | 0.138344 -0.507894 | -8.18545e-12 -1.59162e-12
-19.9478 51.1833 | -0.38431 -0.334995 | -71.9956 -113.046
-43.2027 68.581 | -0.277649 -0.576614 | 1.81899e-12 -1.44951e-12
-63.2915 -21.5366 | -0.0838805 0.615964 | 1107.03 500.716
1.33944 91.5241 | -0.148964 0.251035 | 129.02 1316.42
-19.8302 86.6355 | -0.436511 -0.432435 | -129.579 -1317.82
62.6618 15.3244 | -0.117511 -0.94045 | 9.09495e-12 1.81899e-12
-4.24455 -84.0276 | 0.288674 -0.23964 | 6.82121e-13 -5.00222e-12
32.2341 76.761 | -0.148055 -0.0608626 | -1.81899e-12 4.77485e-12
59.8485 45.3152 | 0.361637 0.37123 | 760.199 363.938
81.7701 -15.1958 | 0.204598 0.504327 | -1676.31 2661.07
-58.0846 -59.8941 | 0.355582 0.307514 | 7.10543e-12 -1.81899e-12
-58.2989 -67.1227 | 0.332831 0.411334 | -287.864 -233.218
-57.3388 -48.3071 | -0.330001 0.854109 | 8.29914e-12 4.54747e-13
28.7695 82.313 | -0.64105 -0.439497 | 1260.09 -1524.39
8.06007 12.5322 | 0.917093 -0.396611 | 4.54747e-12 -8.18545e-12
-43.4769 62.692 | -0.211758 -0.829876 | -380.593 -1295.6
45.365 -46.2949 | -0.0879182 0.730908 | 28.7377 40.5252
-9.24052 -4.73557 | 0.576607 -0.18098 | 108.469 413.173
42.0351 31.6285 | -0.205083 -0.235166 | 9.09495e-13 8.6402e-12
32.5214 30.0177 | -1.01532 -0.228752 | -57.2942 -252.408
5.84174 87.8124 | 0.280022 0.497184 | 2547.61 -2274.91
16.3847 -28.5497 | -0.259206 -0.189379 | -7.27596e-12 -1.02318e-12
-56.2684 56.4751 | -0.298841 0.0060073 | 859.287 -1284.82
-33.6578 41.0662 | -0.0930879 -0.844824 | -456.19 574.868
-52.8794 4.00529 | -0.20463 0.0736187 | 90.125 578.712
67.8687 54.6696 | -0.402256 -0.692122 | 258.226 119.863
68.7316 -34.0953 | 0.398366 0.737442 | -1.22782e-11 -4.54747e-12
35.9223 5.25072 | -0.49812 0.0231693 | -286.169 356.57
49.7421 52.8594 | -0.930126 0.0435392 | -4.54747e-12 1.81899e-12
71.7344 -30.4603 | 0.519161 -0.121772 | 152.785 -190.91
4.38537 -87.0094 | 0.312631 -0.13184 | 478.549 -1466.81
23.733 69.6301 | 0.905332 0.0912969 | -1522.37 2094.5
-2.0861 -71.6811 | -0.354096 0.218922 | -9.09495e-13 2.72848e-12
11.1208 -93.5952 | 0.496918 -0.233109 | 1916.41 2791.57
63.8664 -43.3553 | 0.583382 0.488334 | 544.458 -323.847
-27.5059 12.2307 | 1.74193 -0.0664516 | 5.45697e-12 4.54747e-13
-54.7223 -10.7411 | 0.861856 0.592021 | -169.027 -87.6701
-10.1803 61.6296 | 1.0431 -0.949371 | -29.8038 -138.345
83.9054 17.9822 | -0.33955 -0.107682 | -2047.23 -2092.59
50.4771 32.3705 | -0.572776 -0.221952 | 8.18545e-12 6.0254e-12
-30.7835 69.3302 | -0.115429 -0.308797 | -172.431 2173.96
-56.0877 43.7758 | 0.509738 -0.576882 | -75.6933 382.215
-54.0948 46.4889 | 0.37496 -0.468087 | 2.72848e-12 -5.00222e-12
68.3089 62.1716 | -0.166181 -0.316609 | 2.54659e-11 -1.54614e-11
59.6329 -51.8246 | 0.116294 -0.066919 | 226.46 1026.24
-52.8038 76.9857 | 0.182759 -0.406141 | -11.0932 -22.815
83.5942 30.7154 | 0.0447242 -0.593199 | -3055.11 1357.53
6.10026 -57.9099 | -0.484554 -0.471203 | -1480.51 990.392
4.80062 94.782 | -0.805364 0.0498208 | -2.61857 -6.8269
0.00875715 24.3782 | 0.100914 0.351773 | 4.54747e-12 3.86535e-12
29.535 -71.3769 | -0.498386 0.0420101 | -2.41585e-13 5.91172e-12
55.9476 42.3746 | -0.628819 0.401894 | 206.312 207.236
63.5987 -46.185 | -0.151197 0.54455 | -6.22001 -68.469
-8.34393 96.3328 | -0.313409 -0.098017 | 3.17805 8.23451
77.5308 -9.57559 | -0.394997 0.0474802 | 348.851 1363.22
27.2694 -69.0697 | -0.307902 0.153644 | 1.09139e-11 -3.63798e-12
56.8705 38.479 | 0.334967 0.00387151 | -516.358 -405.363
58.4417 8.52164 | -0.313574 -0.524051 | -27.6147 -42.9858
-54.5882 -33.979 | 0.208421 -0.49484 | -418.954 -252.783
40.9815 29.2481 | -0.729102 -0.441227 | 57.2942 252.408
-72.8066 -7.76822 | 0.322654 0.578424 | 110.156 439.542
-20.1587 91.9904 | 0.0319284 -0.820142 | -1.45519e-11 3.63798e-12
-0.654413 16.3576 | 0.512659 0.166399 | -3.63798e-12 -5.45697e-12
64.1461 -53.1327 | 0.883661 0.30453 | -772.343 855.483
-50.7218 74.8356 | 0.345524 -0.236625 | 8.8537 29.8402
63.3222 -0.736042 | -0.898765 -0.288727 | 257.38 499.451
-12.5608 77.0167 | -0.295562 0.271367 | -281.046 432.774
-59.8808 50.1989 | -0.148336 -0.22251 | 333.159 34.7827
28.885 63.0039 | 0.871031 -0.0320935 | -1614.52 -3486.67
-39.4152 61.6239 | 0.256829 -0.545721 | -748.349 1358.38
-22.2628 5.23273 | 1.02104 0.224135 | 144.121 754.737
